etime(s)	ex	ey	tx	ty	dx	dy	ds
0.000000	566.585432	394.171028	608.371495	410.482384	41.786062	16.311356	44.856832
0.033333	567.618859	396.575021	606.560680	410.708477	38.941820	14.133456	41.427285
0.066667	567.885359	398.525901	605.034056	411.235815	37.148697	12.709914	39.262802
0.100000	566.379381	400.222692	603.030009	411.115900	36.650628	10.893208	38.235200
0.133333	562.237501	398.344497	601.327415	411.106498	39.089914	12.762002	41.120434
0.166667	560.457970	397.557762	600.574608	411.946098	40.116638	14.388336	42.618879
0.200000	558.897548	399.361076	599.164775	412.156114	40.267228	12.795038	42.251185
0.233333	558.848438	402.531480	599.198385	412.602368	40.349947	10.070887	41.587750
0.266667	558.501650	403.311991	599.929517	412.840971	41.427867	9.528980	42.509641
0.300000	560.010111	403.867832	600.493252	412.873462	40.483141	9.005629	41.472715
0.333333	562.173944	404.783822	602.015914	413.766686	39.841969	8.982863	40.842066
0.366667	563.264554	405.144585	602.833611	414.202596	39.569057	9.058011	40.592584
0.400000	564.529669	407.309224	603.298393	414.286574	38.768725	6.977350	39.391591
0.433333	562.728851	406.908348	604.159832	414.668836	41.430981	7.760488	42.151529
0.466667	563.642208	407.876065	603.640777	414.267841	39.998569	6.391776	40.506053
0.500000	561.715278	407.356183	603.481873	414.130741	41.766596	6.774558	42.312447
0.533333	559.489659	406.223221	603.219723	413.853798	43.730063	7.630577	44.390812
0.566667	555.963375	404.284369	602.599952	413.582875	46.636577	9.298506	47.554522
0.600000	554.064665	404.247341	602.843734	414.449216	48.779069	10.201875	49.834484
0.633333	555.459505	405.543219	602.462194	415.032541	47.002689	9.489322	47.951017
0.666667	555.766631	405.778700	602.289113	415.239065	46.522482	9.460366	47.474623
0.700000	554.526013	405.016910	603.066223	415.660454	48.540210	10.643545	49.693430
0.733333	553.062631	403.896841	603.124808	415.590452	50.062177	11.693612	51.409747
0.766667	553.022395	403.786321	604.612724	416.460033	51.590328	12.673712	53.124241
0.800000	552.136499	402.536153	606.237505	417.314887	54.101006	14.778734	56.083240
0.833333	554.420310	401.150543	606.405409	417.293565	51.985099	16.143022	54.433884
0.866667	556.170921	401.450707	606.709498	417.530577	50.538577	16.079869	53.034988
0.900000	561.527589	402.355684	606.630112	417.477234	45.102523	15.121550	47.569936
0.933333	564.879980	402.247051	606.751229	417.399411	41.871249	15.152360	44.528591
0.966667	567.517208	402.800722	607.508196	417.492191	39.990988	14.691469	42.604206
1.000000	569.126102	405.021125	607.307511	416.812836	38.181409	11.791711	39.960786
1.033333	570.668061	406.366988	607.948825	417.025761	37.280765	10.658772	38.774538
1.066667	571.212008	407.677805	608.229457	417.266784	37.017449	9.588980	38.239248
1.100000	569.231379	407.090613	607.596054	416.568237	38.364675	9.477624	39.518017
1.133333	567.254446	407.264011	608.093723	416.240020	40.839277	8.976009	41.814056
1.166667	566.424807	404.989758	608.496922	416.040391	42.072115	11.050633	43.499188
1.200000	569.296216	402.516077	608.917218	416.229525	39.621003	13.713449	41.927110
1.233333	570.797841	402.862616	609.903793	416.721616	39.105952	13.859001	41.489123
1.266667	572.938204	403.828403	609.648984	416.227953	36.710780	12.399550	38.748293
1.300000	571.631373	403.562886	609.656632	416.366536	38.025259	12.803650	40.122983
1.333333	570.097056	401.985479	609.382535	416.792359	39.285480	14.806881	41.983242
1.366667	568.481551	400.549670	608.957712	416.758687	40.476162	16.209017	43.601054
1.400000	568.628373	400.160063	609.849722	416.864794	41.221349	16.704731	44.477496
1.433333	569.299099	398.381134	610.312977	416.471399	41.013879	18.090265	44.826286
1.466667	570.601143	396.617860	610.799223	416.508413	40.198081	19.890554	44.849970
1.500000	572.591153	396.110314	611.796990	417.268290	39.205837	21.157976	44.550618
1.533333	574.510944	396.082450	611.541632	416.979338	37.030688	20.896888	42.520016
1.566667	576.155485	395.072875	612.523607	416.950958	36.368121	21.878083	42.441616
1.600000	577.852250	393.138047	614.093751	417.031992	36.241501	23.893946	43.409297
1.633333	579.577494	393.357760	614.798440	416.888845	35.220946	23.531085	42.358317
1.666667	581.891571	394.263244	615.629560	417.358546	33.737989	23.095302	40.885754
1.700000	583.837879	394.734646	615.606310	417.280040	31.768432	22.545394	38.955462
1.733333	586.314174	394.817687	615.561065	416.923728	29.246891	22.106041	36.661392
1.766667	586.277706	393.881336	616.149947	417.042852	29.872241	23.161515	37.799558
1.800000	584.436551	393.111340	615.619878	416.608427	31.183327	23.497087	39.045012
1.833333	582.037029	393.446294	615.858900	416.641955	33.821871	23.195661	41.011677
1.866667	581.657776	394.097990	615.937402	416.642215	34.279626	22.544225	41.028464
1.900000	581.442299	393.999577	615.107689	416.607445	33.665391	22.607868	40.552117
1.933333	581.459055	394.536448	614.956799	417.519657	33.497744	22.983209	40.624214
1.966667	581.877867	394.931053	614.415205	418.049283	32.537337	23.118230	39.914043
2.000000	582.067034	397.515884	614.108115	418.392107	32.041081	20.876223	38.241960
2.033333	581.546914	399.600490	614.553540	419.053976	33.006626	19.453486	38.312863
2.066667	581.129227	400.465781	613.937506	418.839655	32.808278	18.373874	37.602957
2.100000	581.724248	400.593857	614.254122	418.968178	32.529874	18.374320	37.360519
2.133333	581.252150	400.010430	614.685597	418.809782	33.433447	18.799352	38.356369
2.166667	580.483041	399.539194	614.514923	417.982901	34.031881	18.443707	38.708388
2.200000	579.925001	399.721859	615.283445	417.844451	35.358444	18.122592	39.732202
2.233333	580.964623	400.231746	615.715518	417.799369	34.750895	17.567623	38.939005
2.266667	581.125998	401.639159	616.311220	418.006677	35.185222	16.367518	38.805869
2.300000	581.078911	403.042320	617.782306	418.592253	36.703395	15.549932	39.861505
2.333333	582.767292	403.261459	618.404576	418.583176	35.637284	15.321717	38.791378
2.366667	583.349279	402.426759	619.815938	419.531515	36.466659	17.104755	40.278901
2.400000	586.223534	406.138219	620.860601	420.302785	34.637067	14.164566	37.421402
2.433333	589.481152	410.302377	620.956578	419.820206	31.475426	9.517829	32.882997
2.466667	592.258738	411.613276	621.848714	419.554217	29.589976	7.940940	30.636991
2.500000	594.036264	411.807071	622.045218	419.179776	28.008954	7.372705	28.963050
2.533333	593.620330	411.182139	621.752780	418.695138	28.132450	7.512999	29.118377
2.566667	594.555779	410.825237	621.888326	418.315634	27.332546	7.490397	28.340327
2.600000	594.831005	408.280032	621.279322	417.273066	26.448317	8.993035	27.935428
2.633333	593.047840	406.941151	621.883586	417.094070	28.835747	10.152920	30.570935
2.666667	590.655639	406.558150	622.467655	417.136086	31.812016	10.577936	33.524575
2.700000	589.176953	406.595171	622.149732	416.718611	32.972779	10.123440	34.491857
2.733333	589.548892	406.023045	622.468988	416.624760	32.920096	10.601716	34.585099
2.766667	589.456166	406.533443	622.091338	416.203777	32.635172	9.670335	34.037771
2.800000	589.823556	405.028023	621.464625	416.194460	31.641069	11.166436	33.553637
2.833333	589.443060	405.631423	621.375204	416.621410	31.932144	10.989988	33.770425
2.866667	588.011493	404.444873	620.284744	415.757130	32.273252	11.312257	34.198391
2.900000	587.906187	404.045905	620.186122	415.256637	32.279935	11.210732	34.171256
2.933333	587.489766	403.206030	620.274744	414.868728	32.784978	11.662697	34.797604
2.966667	587.368488	403.530212	619.708526	413.797536	32.340037	10.267324	33.930752
3.000000	588.306010	401.407462	619.672836	412.984033	31.366826	11.576571	33.434933
3.033333	588.255574	400.290909	618.908435	411.825740	30.652861	11.534831	32.751339
3.066667	590.615754	399.961677	618.280393	410.833306	27.664639	10.871629	29.724141
3.100000	590.714871	399.436387	618.448755	410.631048	27.733884	11.194660	29.908004
3.133333	590.630326	397.868462	617.489767	410.175339	26.859441	12.306876	29.544691
3.166667	588.825396	396.121601	617.417227	410.802308	28.591831	14.680707	32.140566
3.200000	585.479679	396.586856	617.282296	412.282927	31.802618	15.696071	35.465097
3.233333	585.725812	396.257194	616.054629	414.181802	30.328817	17.924609	35.229657
3.266667	588.988570	398.562562	615.399353	416.454685	26.410783	17.892123	31.900745
3.300000	591.969619	401.792046	614.417572	417.407615	22.447953	15.615568	27.345138
3.333333	593.586518	407.184679	613.726616	418.026721	20.140098	10.842042	22.872985
3.366667	594.389189	411.695205	614.109699	419.507374	19.720510	7.812169	21.211518
3.400000	595.124975	416.975510	613.791584	420.275444	18.666610	3.299934	18.956051
3.433333	595.171527	416.489532	614.186720	420.940067	19.015193	4.450536	19.529077
3.466667	594.791517	415.140543	614.199718	421.016251	19.408201	5.875708	20.278121
3.500000	591.563197	411.983212	613.372024	420.607745	21.808828	8.624533	23.452240
3.533333	589.342619	410.309645	613.403695	420.960593	24.061076	10.650948	26.313078
3.566667	588.381320	409.347614	613.291171	420.961780	24.909851	11.614166	27.484351
3.600000	591.547360	410.515324	613.724099	420.683007	22.176739	10.167683	24.396507
3.633333	593.510077	411.313426	614.774812	420.572965	21.264735	9.259538	23.193275
3.666667	593.457131	410.375554	614.197983	419.688821	20.740852	9.313267	22.735872
3.700000	590.846341	409.289112	614.185187	419.455222	23.338846	10.166110	25.456856
3.733333	590.010613	407.300094	613.874685	419.250444	23.864072	11.950350	26.689039
