etime(s)	ex	ey	tx	ty	dx	dy	ds
0.000000	672.724470	432.932538	671.863939	442.064292	-0.860531	9.131754	9.172210
0.033333	667.227522	434.521357	668.149766	440.590598	0.922244	6.069241	6.138910
0.066667	663.697098	433.275053	665.033901	438.351831	1.336803	5.076777	5.249830
0.100000	660.296974	429.859736	662.551291	436.357357	2.254317	6.497621	6.877574
0.133333	656.920832	423.694694	659.578594	435.167446	2.657762	11.472753	11.776577
0.166667	654.200112	416.979324	656.539996	434.955841	2.339884	17.976517	18.128161
0.200000	654.092340	416.186933	654.835433	436.169941	0.743094	19.983008	19.996820
0.233333	654.036589	417.458396	652.744483	437.079418	-1.292105	19.621022	19.663521
0.266667	653.430783	421.947862	651.762350	438.185150	-1.668433	16.237288	16.322781
0.300000	653.712961	426.104985	652.899529	440.489316	-0.813432	14.384331	14.407312
0.333333	656.366730	429.200516	653.309151	442.746601	-3.057579	13.546085	13.886872
0.366667	660.450730	433.079417	654.629523	445.956938	-5.821207	12.877521	14.132126
0.400000	663.716885	435.020133	656.091284	448.930070	-7.625600	13.909937	15.863043
0.433333	662.695373	438.099099	656.322175	450.392625	-6.373198	12.293527	13.847326
0.466667	659.936942	437.851540	656.758623	451.221538	-3.178319	13.369998	13.742582
0.500000	659.214497	435.336246	657.417231	451.669998	-1.797267	16.333751	16.432334
0.533333	659.176287	436.757341	659.722692	453.320132	0.546406	16.562792	16.571802
0.566667	661.174966	441.528495	662.830461	455.731649	1.655495	14.203154	14.299309
0.600000	663.839526	445.896986	663.068980	455.803171	-0.770546	9.906185	9.936108
0.633333	665.717364	446.112851	662.287887	454.689377	-3.429477	8.576525	9.236780
0.666667	665.369300	441.011093	659.866035	453.007859	-5.503265	11.996766	13.198800
0.700000	663.540807	438.513331	655.463899	451.132678	-8.076907	12.619347	14.982802
0.733333	658.493373	435.410587	652.260928	450.195821	-6.232445	14.785234	16.045140
0.766667	652.707965	436.683811	649.519627	448.960006	-3.188337	12.276196	12.683472
0.800000	645.842522	434.776848	646.406463	447.542588	0.563941	12.765740	12.778191
0.833333	639.311970	429.154248	643.594290	446.718225	4.282320	17.563977	18.078483
0.866667	633.969576	427.671743	640.259461	445.428933	6.289885	17.757190	18.838271
0.900000	630.236549	422.160877	637.142053	444.478590	6.905504	22.317713	23.361641
0.933333	624.772074	420.480196	632.223741	442.991988	7.451668	22.511792	23.713037
0.966667	621.339271	416.436738	625.704460	440.784455	4.365189	24.347717	24.735930
1.000000	616.611490	415.916796	620.136375	439.073910	3.524885	23.157114	23.423850
1.033333	610.532663	413.588460	614.056938	436.877254	3.524275	23.288793	23.553947
1.066667	602.646629	411.572187	608.355428	434.935651	5.708799	23.363464	24.050818
1.100000	592.373911	409.929006	605.091710	434.234000	12.717800	24.304994	27.431281
1.133333	583.361509	408.228588	602.016257	433.146102	18.654748	24.917514	31.126872
1.166667	574.440769	405.054139	598.770301	431.981462	24.329532	26.927323	36.290589
1.200000	571.218426	401.015830	594.420260	429.934516	23.201834	28.918686	37.075807
1.233333	567.186831	398.935198	589.996916	427.236554	22.810085	28.301356	36.349233
1.266667	560.715446	396.835619	586.531942	425.731282	25.816495	28.895663	38.748558
1.300000	558.225410	394.824962	579.629200	424.737478	21.403789	29.912516	36.781528
1.333333	553.372782	395.546053	569.002575	424.229163	15.629792	28.683110	32.665138
1.366667	544.540136	398.482244	559.151223	424.233542	14.611087	25.751298	29.607655
1.400000	531.595372	398.679877	551.800195	423.657498	20.204823	24.977620	32.126568
1.433333	518.277391	396.714071	548.240530	424.391313	29.963139	27.677242	40.789943
1.466667	510.692734	394.711030	545.599593	425.447013	34.906859	30.735982	46.510100
1.500000	505.660782	395.447432	542.686502	424.536722	37.025720	29.089290	47.085993
1.533333	505.339453	399.308432	541.427411	421.613229	36.087958	22.304797	42.424576
1.566667	505.752204	399.343711	540.116292	416.855643	34.364088	17.511931	38.568877
1.600000	505.326652	395.477165	538.454186	412.259745	33.127534	16.782579	37.136080
1.633333	501.213118	388.515606	537.243749	408.605063	36.030630	20.089456	41.252789
1.666667	497.851366	384.384007	535.292215	404.446717	37.440849	20.062710	42.477400
1.700000	496.030905	383.610416	534.630195	401.719092	38.599290	18.108676	42.636010
1.733333	497.403595	384.470486	534.835122	400.584073	37.431526	16.113587	40.752507
1.766667	497.302908	383.533805	535.312936	400.169162	38.010028	16.635357	41.490931
1.800000	498.766549	383.559667	537.352806	400.856092	38.586257	17.296424	42.285524
1.833333	500.764371	384.803343	540.832458	401.828422	40.068087	17.025079	43.535100
1.866667	497.022835	384.245670	546.804916	403.700233	49.782081	19.454563	53.448439
1.900000	504.375813	384.420734	553.247724	406.470091	48.871911	22.049357	53.615649
1.933333	509.636181	382.884994	556.495016	407.592111	46.858835	24.707117	52.973503
1.966667	516.381182	385.858630	559.909848	407.411115	43.528666	21.552485	48.572157
2.000000	520.829954	386.570817	563.280626	406.283916	42.450672	19.713099	46.804549
2.033333	523.783711	388.499707	564.293406	405.455826	40.509695	16.956118	43.915206
2.066667	528.624790	387.711399	564.889580	406.405266	36.264790	18.693867	40.799457
2.100000	528.532519	386.905939	565.887700	407.490749	37.355181	20.584810	42.651424
2.133333	527.630557	387.304690	567.549680	407.930854	39.919123	20.626164	44.933006
2.166667	529.409070	388.097336	569.638863	407.094800	40.229793	18.997464	44.489773
2.200000	533.097175	386.985371	570.715820	404.045046	37.618646	17.059675	41.306114
2.233333	539.099383	383.622891	571.935178	402.060294	32.835795	18.437404	37.658031
2.266667	540.242778	380.679364	572.170789	402.246642	31.928011	21.567278	38.529798
2.300000	541.664027	378.837085	572.277566	403.580156	30.613539	24.743071	39.362524
2.333333	537.926881	381.595632	574.915864	405.400775	36.988983	23.805143	43.987153
2.366667	538.284460	384.946163	577.976270	406.118821	39.691810	21.172658	44.985789
2.400000	543.462666	386.518260	579.965777	406.394486	36.503111	19.876227	41.563704
2.433333	544.543776	388.088632	581.158112	407.416841	36.614336	19.328209	41.402769
2.466667	547.207387	390.975368	579.965275	407.985028	32.757888	17.009661	36.910808
2.500000	548.586285	394.056330	577.875984	408.297549	29.289699	14.241220	32.568371
2.533333	549.143415	395.803101	576.317706	407.473208	27.174291	11.670107	29.574203
2.566667	545.743597	393.535253	575.150249	405.178585	29.406651	11.643331	31.627809
2.600000	541.038298	388.411353	572.100417	402.315893	31.062119	13.904540	34.032212
2.633333	536.668844	386.905785	566.235524	399.050181	29.566680	12.144396	31.963650
2.666667	528.964421	384.279674	561.953067	396.962271	32.988646	12.682597	35.342595
2.700000	522.660485	382.030458	558.089757	396.333385	35.429271	14.302926	38.207420
2.733333	516.158097	379.732833	550.233143	396.302374	34.075046	16.569540	37.890084
2.766667	515.197453	382.284486	543.095475	398.135968	27.898022	15.851481	32.086899
2.800000	514.865862	387.557077	535.639738	397.291803	20.773876	9.734726	22.941639
2.833333	508.413195	386.995297	523.229639	390.294598	14.816444	3.299302	15.179342
2.866667	496.071852	379.005322	511.791384	383.445498	15.719532	4.440176	16.334591
2.900000	482.860579	371.773267	507.066379	381.967160	24.205799	10.193893	26.264733
2.933333	474.341113	370.361378	506.399242	382.869221	32.058129	12.507843	34.411768
2.966667	471.650552	373.280972	505.180087	380.376561	33.529536	7.095589	34.272104
3.000000	470.275478	372.295034	502.318577	374.119390	32.043098	1.824356	32.094991
3.033333	467.950439	369.011626	501.008233	370.016602	33.057794	1.004976	33.073067
