etime(s)	ex	ey	tx	ty	dx	dy	ds
0.000000	629.407133	431.398108	627.527211	411.364712	-1.879922	-20.033397	20.121409
0.033333	629.202945	432.874932	627.037407	411.560304	-2.165539	-21.314628	21.424354
0.066667	628.551591	434.061057	626.572725	412.273306	-1.978866	-21.787752	21.877432
0.100000	626.904669	433.142517	625.978411	413.536683	-0.926258	-19.605834	19.627702
0.133333	625.951202	431.449868	625.845844	414.801374	-0.105358	-16.648495	16.648828
0.166667	621.836174	428.417368	625.717375	416.288601	3.881201	-12.128767	12.734626
0.200000	619.502247	426.884239	624.644704	417.992322	5.142456	-8.891917	10.271857
0.233333	618.149099	426.925170	624.309039	419.482335	6.159940	-7.442834	9.661296
0.266667	617.245360	429.703568	624.369400	420.784699	7.124040	-8.918870	11.414823
0.300000	617.404669	431.439400	623.396057	421.674079	5.991388	-9.765321	11.456798
0.333333	615.965907	434.342037	623.085461	421.829592	7.119554	-12.512445	14.396157
0.366667	615.460420	437.932628	623.177848	422.268689	7.717428	-15.663939	17.461892
0.400000	641.982413	446.896142	622.013271	423.613712	-19.969141	-23.282431	30.673086
0.433333	637.343191	421.193776	620.539023	424.232530	-16.804169	3.038754	17.076712
0.466667	613.141439	451.366652	620.647251	424.595942	7.505813	-26.770710	27.803024
0.500000	608.051933	463.191811	621.005802	425.940064	12.953869	-37.251747	39.439769
0.533333	609.532329	459.668094	619.650040	426.794171	10.117711	-32.873923	34.395681
0.566667	605.766793	461.524060	619.372663	427.239329	13.605870	-34.284730	36.885803
0.600000	619.195230	447.724585	620.327130	427.497067	1.131899	-20.227518	20.259163
0.633333	659.652637	378.456695	620.545320	427.547444	-39.107317	49.090749	62.763714
0.666667	725.121996	262.365295	620.557257	427.680927	-104.564739	165.315632	195.609414
0.700000	660.315892	366.367937	621.743309	427.926685	-38.572583	61.558748	72.645190
0.733333	607.520627	478.483443	623.608203	428.343473	16.087576	-50.139970	52.657637
0.766667	623.620499	451.073070	624.595172	428.668479	0.974672	-22.404591	22.425781
0.800000	615.552342	461.545520	625.599884	429.189705	10.047542	-32.355814	33.879962
0.833333	621.916772	444.314967	627.050908	429.840063	5.134137	-14.474905	15.358458
0.866667	619.271591	446.478896	627.699709	430.003852	8.428118	-16.475044	18.505681
0.900000	621.537384	442.193618	627.946968	430.057215	6.409584	-12.136403	13.724979
0.933333	622.528788	441.252340	628.755356	430.505109	6.226568	-10.747231	12.420673
0.966667	623.011127	436.974812	629.784668	430.827551	6.773542	-6.147260	9.147113
1.000000	621.778637	438.115131	629.743455	430.308497	7.964818	-7.806635	11.152662
1.033333	624.733336	439.109383	629.454854	430.282495	4.721518	-8.826888	10.010329
1.066667	625.847535	439.090695	629.483808	430.943065	3.636273	-8.147630	8.922239
1.100000	625.417684	438.189078	628.297636	430.401216	2.879952	-7.787862	8.303308
1.133333	625.423272	438.781419	627.752748	430.123725	2.329476	-8.657694	8.965608
1.166667	625.406679	440.978360	628.738645	430.959561	3.331966	-10.018799	10.558330
1.200000	622.828872	443.006320	629.895350	431.765513	7.066478	-11.240807	13.277457
1.233333	622.311312	443.047871	630.639760	432.382114	8.328447	-10.665757	13.532236
1.266667	621.855562	444.384138	631.937062	433.595454	10.081501	-10.788683	14.765918
1.300000	623.017829	448.277028	633.657566	434.979948	10.639737	-13.297080	17.029866
1.333333	624.746394	452.193500	634.174469	435.354369	9.428075	-16.839131	19.298833
1.366667	623.342507	455.465039	634.532847	435.690968	11.190341	-19.774070	22.720862
1.400000	622.174241	456.068345	634.998675	436.211768	12.824434	-19.856577	23.637888
1.433333	621.223171	457.888434	634.243866	436.079829	13.020695	-21.808606	25.399877
1.466667	618.561489	456.872079	633.499634	436.088682	14.938145	-20.783398	25.594878
1.500000	619.508296	457.174079	633.652372	436.337110	14.144076	-20.836969	25.184006
1.533333	619.240295	459.370858	633.675601	436.410619	14.435307	-22.960239	27.121037
1.566667	619.906128	462.199756	632.971801	436.274336	13.065673	-25.925419	29.031693
1.600000	620.574658	462.929685	633.032111	436.466706	12.457452	-26.462980	29.248545
1.633333	618.644955	461.373166	633.565383	437.512539	14.920428	-23.860627	28.141583
1.666667	615.184150	460.231389	632.408137	438.611568	17.223987	-21.619822	27.642041
1.700000	610.952384	460.463508	631.507162	439.756865	20.554778	-20.706644	29.176429
1.733333	608.375498	464.884391	631.359134	442.036317	22.983636	-22.848074	32.408055
1.766667	608.366587	469.528193	631.370459	447.123352	23.003872	-22.404841	32.111602
1.800000	609.925618	473.735018	632.530410	453.725170	22.604791	-20.009848	30.188915
1.833333	613.032765	473.283656	634.960658	458.936664	21.927893	-14.346992	26.204363
1.866667	615.582487	474.406591	637.190536	462.306474	21.608049	-12.100117	24.765310
1.900000	618.826292	474.981298	638.248203	463.366196	19.421912	-11.615101	22.630096
1.933333	618.296408	472.171440	639.298528	459.969366	21.002120	-12.202074	24.289497
1.966667	619.248517	464.084415	639.893279	450.606084	20.644762	-13.478331	24.655052
2.000000	618.111623	448.750876	638.963798	438.538700	20.852175	-10.212177	23.218565
2.033333	618.102517	431.905061	637.829340	426.470573	19.726822	-5.434488	20.461700
2.066667	619.149726	418.041752	637.004412	410.774688	17.854687	-7.267064	19.276931
2.100000	622.951083	411.071600	636.411413	393.958963	13.460329	-17.112637	21.772065
2.133333	627.667181	400.948140	636.253596	383.199315	8.586416	-17.748825	19.716676
2.166667	627.648117	393.548376	636.763041	379.247632	9.114924	-14.300744	16.958571
2.200000	627.402206	402.282775	637.897206	384.796232	10.495000	-17.486543	20.394220
2.233333	630.199373	410.307336	639.922945	397.103093	9.723573	-13.204244	16.398168
2.266667	630.861689	397.763659	644.854088	405.342750	13.992399	7.579091	15.913197
2.300000	630.410396	399.316369	650.214636	412.208983	19.804241	12.892614	23.631069
2.333333	630.459393	410.982941	651.323998	420.798487	20.864605	9.815546	23.058115
2.366667	633.990531	410.396239	649.069519	422.432085	15.078988	12.035846	19.293457
2.400000	630.664893	416.384301	648.411411	423.276998	17.746518	6.892697	19.038072
2.433333	627.622558	425.728076	647.869683	429.502814	20.247125	3.774739	20.595988
