etime(s)	ex	ey	tx	ty	dx	dy	ds
0.000000	621.686367	460.218828	646.844588	462.446174	25.158220	2.227346	25.256625
0.033333	621.294452	456.881822	647.764515	462.313202	26.470063	5.431380	27.021549
0.066667	620.161006	458.563803	647.477647	461.920470	27.316642	3.356667	27.522102
0.100000	617.540050	451.407982	648.207431	461.343363	30.667381	9.935381	32.236626
0.133333	616.163913	457.013624	649.014677	460.861721	32.850764	3.848097	33.075377
0.166667	613.134795	442.396598	648.731537	460.279921	35.596742	17.883323	39.836432
0.200000	622.501275	471.884293	648.302859	460.054187	25.801584	-11.830106	28.384382
0.233333	624.193682	390.945544	646.220386	460.137892	22.026704	69.192348	72.613750
0.266667	579.133709	309.607371	644.115552	460.537710	64.981843	150.930340	164.324701
0.300000	625.632269	485.379217	642.142519	460.838800	16.510251	-24.540417	29.577364
0.333333	618.182654	460.989228	633.202315	460.796303	15.019661	-0.192925	15.020900
0.366667	598.090098	468.534338	618.846041	461.067519	20.755942	-7.466819	22.058162
0.400000	589.612170	459.251649	606.649037	462.077559	17.036867	2.825911	17.269644
0.433333	576.615226	463.486572	595.492903	464.621393	18.877677	1.134820	18.911756
0.466667	562.219287	466.692167	582.730911	467.745658	20.511624	1.053491	20.538661
0.500000	543.678456	471.910984	567.533699	470.984373	23.855243	-0.926612	23.873232
0.533333	528.326491	472.241692	549.471329	474.340963	21.144838	2.099270	21.248791
0.566667	516.497336	473.570347	536.092932	476.378059	19.595596	2.807712	19.795722
0.600000	507.888225	472.608837	525.828819	476.352521	17.940595	3.743684	18.327032
0.633333	500.975919	473.914651	511.069740	474.833140	10.093821	0.918489	10.135524
0.666667	491.322931	472.436460	499.841152	473.482202	8.518221	1.045743	8.582172
0.700000	482.665433	469.294891	491.108399	473.205518	8.442966	3.910626	9.304658
0.733333	468.617561	463.958564	477.130880	472.408005	8.513319	8.449441	11.994568
0.766667	459.787133	459.598717	467.951361	471.423252	8.164228	11.824535	14.369212
0.800000	452.301332	463.846573	465.263541	473.823160	12.962209	9.976587	16.356991
0.833333	455.809355	468.717343	460.115946	477.803420	4.306591	9.086076	10.055024
0.866667	455.320475	475.303012	456.803015	480.425312	1.482540	5.122301	5.332531
0.900000	458.305227	484.209079	459.999939	488.547112	1.694712	4.338033	4.657314
0.933333	460.471371	498.334399	464.493040	502.455851	4.021669	4.121452	5.758488
0.966667	461.137746	504.916325	468.046781	511.275650	6.909035	6.359325	9.390196
1.000000	464.433024	506.172006	473.863826	514.714868	9.430802	8.542863	12.724800
1.033333	469.409008	505.337066	480.308826	516.974011	10.899818	11.636945	15.944420
1.066667	476.988652	507.736187	484.366404	516.944546	7.377752	9.208360	11.799369
1.100000	483.576989	509.405192	486.848150	514.585864	3.271161	5.180671	6.126977
1.133333	485.370454	507.574406	489.159106	511.837460	3.788653	4.263053	5.703290
1.166667	486.974556	506.032664	490.610609	509.683900	3.636053	3.651236	5.152903
1.200000	485.043758	504.807048	490.588252	508.325419	5.544495	3.518371	6.566609
