etime(s)	ex	ey	tx	ty	dx	dy	ds
0.000000	620.586092	434.134178	616.653122	417.208704	-3.932970	-16.925474	17.376419
0.033333	620.391768	433.314031	617.205337	417.204715	-3.186431	-16.109316	16.421431
0.066667	620.791248	434.451995	617.011881	417.172552	-3.779367	-17.279443	17.687927
0.100000	622.488595	435.447231	617.565799	417.804908	-4.922796	-17.642323	18.316262
0.133333	620.700485	433.848468	617.327655	416.836165	-3.372830	-17.012303	17.343426
0.166667	620.300176	432.612175	617.809833	415.563069	-2.490342	-17.049106	17.230026
0.200000	619.948357	433.074150	618.312840	414.816883	-1.635516	-18.257267	18.330377
0.233333	620.514631	432.365285	618.185135	414.333490	-2.329496	-18.031795	18.181644
0.266667	622.436176	434.000057	619.073634	414.398220	-3.362542	-19.601836	19.888154
0.300000	625.307521	434.652450	619.327946	413.554979	-5.979576	-21.097472	21.928489
0.333333	627.418826	434.833891	620.402137	413.117347	-7.016689	-21.716544	22.821968
0.366667	628.217065	434.571102	621.161173	412.843575	-7.055892	-21.727527	22.844497
0.400000	626.853130	434.112914	621.054867	412.541081	-5.798263	-21.571833	22.337498
0.433333	624.518048	433.703617	621.470468	412.980250	-3.047581	-20.723367	20.946257
0.466667	624.356971	433.431301	620.741413	412.817350	-3.615558	-20.613951	20.928622
0.500000	624.186321	434.014721	621.023777	413.204180	-3.162544	-20.810541	21.049472
0.533333	624.940748	435.454842	621.499575	413.306312	-3.441173	-22.148530	22.414260
0.566667	624.136090	435.021462	621.791633	412.976545	-2.344457	-22.044917	22.169232
0.600000	623.575133	432.980902	622.619281	413.239244	-0.955853	-19.741659	19.764785
0.633333	622.639025	432.448542	621.943220	412.917597	-0.695805	-19.530945	19.543336
0.666667	623.812850	432.394984	622.272318	413.256523	-1.540532	-19.138461	19.200363
0.700000	625.248086	430.101708	622.554108	413.254265	-2.693978	-16.847443	17.061473
0.733333	624.405846	430.232332	622.447648	413.044694	-1.958198	-17.187638	17.298828
0.766667	622.601504	429.673021	622.591649	413.517084	-0.009855	-16.155936	16.155939
0.800000	619.819549	430.678305	621.211577	413.495830	1.392027	-17.182475	17.238770
0.833333	618.888396	430.769109	620.565184	414.038562	1.676788	-16.730548	16.814364
0.866667	618.666576	429.498042	619.939158	413.980973	1.272582	-15.517069	15.569165
0.900000	617.897866	429.324028	619.735652	413.547792	1.837786	-15.776236	15.882918
0.933333	617.246553	429.258085	619.817389	413.511223	2.570836	-15.746861	15.955339
0.966667	616.711551	428.539672	618.302734	413.040581	1.591183	-15.499090	15.580554
1.000000	616.935641	428.781273	618.045806	413.375615	1.110165	-15.405658	15.445606
1.033333	617.662651	428.561833	617.805295	413.424248	0.142644	-15.137585	15.138257
1.066667	617.502167	428.165719	617.032100	413.577465	-0.470067	-14.588254	14.595826
1.100000	614.558516	428.547211	616.288229	414.293132	1.729713	-14.254079	14.358645
1.133333	612.737051	430.237651	615.495559	414.523341	2.758508	-15.714311	15.954590
1.166667	611.892945	431.534826	616.475709	415.164071	4.582764	-16.370754	17.000097
1.200000	612.618936	434.415664	616.395555	415.178486	3.776619	-19.237179	19.604384
1.233333	611.031604	435.877891	615.686685	415.398836	4.655081	-20.479054	21.001463
1.266667	610.630294	435.921703	615.588559	416.081488	4.958265	-19.840214	20.450391
1.300000	611.265913	435.816115	615.332374	416.150431	4.066461	-19.665683	20.081713
1.333333	609.764640	435.918164	615.936874	416.569868	6.172234	-19.348296	20.308940
1.366667	608.902612	436.476919	615.329021	416.409461	6.426410	-20.067457	21.071345
1.400000	607.603367	435.203467	614.843625	416.539150	7.240258	-18.664317	20.019442
1.433333	607.129552	435.910488	614.822323	416.983001	7.692771	-18.927487	20.431067
1.466667	607.066556	433.816704	614.168461	416.987887	7.101906	-16.828817	18.265984
1.500000	607.187523	433.826721	614.413268	417.481268	7.225746	-16.345453	17.871352
1.533333	607.187262	434.497688	613.927660	417.155689	6.740397	-17.342000	18.605857
1.566667	607.822755	437.517887	613.820532	416.815319	5.997777	-20.702569	21.553879
1.600000	608.491636	440.964389	613.870344	416.562027	5.378708	-24.402362	24.988112
1.633333	609.695575	441.818567	613.551519	416.255191	3.855944	-25.563377	25.852554
1.666667	610.943224	445.797743	614.314289	417.043251	3.371066	-28.754492	28.951423
1.700000	611.072048	446.051278	613.964430	417.553549	2.892382	-28.497729	28.644134
1.733333	610.732950	447.289308	613.852547	418.506263	3.119597	-28.783045	28.951607
