etime(s)	ex	ey	tx	ty	dx	dy	ds
0.000000	440.465739	528.242339	439.689662	522.050826	-0.776077	-6.191513	6.239963
0.033333	440.536024	528.308653	440.025958	521.976404	-0.510066	-6.332249	6.352759
0.066667	440.997824	528.710120	440.435643	522.340160	-0.562181	-6.369960	6.394720
0.100000	441.074995	528.439777	440.595315	522.572327	-0.479680	-5.867450	5.887025
0.133333	441.309151	528.948522	440.686560	522.455652	-0.622590	-6.492870	6.522651
0.166667	442.166489	528.769255	441.169825	522.321044	-0.996664	-6.448211	6.524781
0.200000	442.539105	528.749917	441.559089	522.282766	-0.980015	-6.467151	6.540984
0.233333	442.577868	529.175718	441.692923	522.294853	-0.884945	-6.880865	6.937538
0.266667	442.662592	529.018323	441.438170	521.865635	-1.224422	-7.152688	7.256731
0.300000	444.146224	529.047920	441.286219	521.630023	-2.860005	-7.417897	7.950146
0.333333	444.958882	529.411023	441.486846	521.894158	-3.472036	-7.516865	8.279994
0.366667	445.180827	529.758409	442.028416	521.763164	-3.152411	-7.995245	8.594280
0.400000	445.650995	530.252579	442.382578	521.214886	-3.268417	-9.037693	9.610538
0.433333	446.066164	529.991835	442.348373	520.914275	-3.717791	-9.077560	9.809387
0.466667	446.554943	529.018797	442.452229	520.651598	-4.102714	-8.367199	9.318921
0.500000	447.000297	528.351495	442.885622	520.664342	-4.114676	-7.687153	8.719110
0.533333	446.883792	528.581519	443.590270	520.997223	-3.293521	-7.584296	8.268544
0.566667	447.574693	528.912229	444.051147	521.091282	-3.523546	-7.820948	8.578030
0.600000	448.742941	528.277995	443.985888	521.523043	-4.757054	-6.754952	8.261897
0.633333	449.234478	528.860046	443.898999	521.618263	-5.335479	-7.241783	8.995040
0.666667	448.765743	528.776754	444.385047	521.272401	-4.380697	-7.504353	8.689408
0.700000	448.679746	529.734001	444.805180	521.348119	-3.874566	-8.385881	9.237709
0.733333	448.752619	530.087606	444.874915	521.701210	-3.877704	-8.386396	9.239493
0.766667	448.912383	530.153286	444.811993	521.773646	-4.100390	-8.379640	9.329071
0.800000	449.779324	529.470001	444.646936	521.804082	-5.132388	-7.665919	9.225384
0.833333	448.529521	529.933176	444.560578	522.028187	-3.968943	-7.904989	8.845415
0.866667	447.665148	529.548597	444.380715	521.824086	-3.284433	-7.724511	8.393781
0.900000	448.170982	529.236656	444.329961	521.404409	-3.841021	-7.832246	8.723390
0.933333	448.152149	529.002481	444.240852	520.711788	-3.911297	-8.290694	9.166998
0.966667	448.304280	527.927172	444.101050	520.339192	-4.203230	-7.587980	8.674363
1.000000	448.811711	527.798592	443.999837	520.356321	-4.811875	-7.442271	8.862366
1.033333	448.617950	527.661744	443.947917	520.418881	-4.670034	-7.242864	8.617905
1.066667	448.660805	528.000108	444.098910	520.452676	-4.561895	-7.547432	8.818992
1.100000	449.079183	527.902401	444.374027	520.686991	-4.705156	-7.215410	8.613979
1.133333	449.111981	528.295845	444.832969	521.076899	-4.279013	-7.218946	8.391849
1.166667	449.887108	528.551503	445.229739	520.678566	-4.657369	-7.872937	9.147362
1.200000	449.409390	528.715867	445.230187	520.387378	-4.179202	-8.328489	9.318233
1.233333	448.806300	528.591652	445.104200	520.285732	-3.702101	-8.305920	9.093616
1.266667	448.617109	528.031759	445.182157	520.162725	-3.434952	-7.869033	8.586069
1.300000	448.950686	528.249121	445.435990	519.976204	-3.514696	-8.272917	8.988562
1.333333	449.740999	528.262680	445.370978	520.056378	-4.370021	-8.206303	9.297338
1.366667	449.564755	528.468504	445.076578	520.263638	-4.488178	-8.204865	9.352195
1.400000	448.997290	528.604828	445.212956	520.160614	-3.784334	-8.444214	9.253428
1.433333	448.641090	528.664845	445.945392	519.988439	-2.695698	-8.676407	9.085528
1.466667	448.201519	528.977948	446.892809	519.221562	-1.308709	-9.756386	9.843769
1.500000	449.098618	528.967739	447.179126	518.738474	-1.919492	-10.229265	10.407800
1.533333	450.989453	529.137332	446.964826	518.878523	-4.024626	-10.258810	11.020018
1.566667	451.514511	530.203597	446.858197	519.370922	-4.656314	-10.832675	11.791018
1.600000	451.556154	530.167833	446.804619	520.121993	-4.751535	-10.045840	11.112874
1.633333	451.681995	530.087763	446.887546	520.968112	-4.794449	-9.119652	10.303145
1.666667	451.666335	530.872181	447.063247	521.537008	-4.603089	-9.335174	10.408357
1.700000	451.965939	530.753908	447.279032	521.900120	-4.686907	-8.853788	10.017817
1.733333	451.657194	532.392684	447.365755	522.215205	-4.291439	-10.177479	11.045249
