etime(s)	ex	ey	tx	ty	dx	dy	ds
0.000000	489.073443	574.507429	478.796348	561.266773	-10.277095	-13.240656	16.761076
0.033333	489.403198	575.226996	478.648660	561.757967	-10.754538	-13.469029	17.235858
0.066667	489.036790	575.689833	478.765415	562.407028	-10.271375	-13.282805	16.790892
0.100000	489.265860	576.056337	479.172972	563.092731	-10.092888	-12.963606	16.429287
0.133333	488.801553	577.231449	479.193403	563.444085	-9.608150	-13.787364	16.804998
0.166667	488.352112	577.943812	478.905699	563.500792	-9.446413	-14.443020	17.257912
0.200000	488.835667	578.206506	478.665085	563.008686	-10.170582	-15.197820	18.287003
0.233333	489.320140	578.172269	478.648018	562.208482	-10.672121	-15.963787	19.202517
0.266667	490.450668	578.068992	479.551282	561.447526	-10.899386	-16.621466	19.876362
0.300000	490.750344	577.741045	481.018225	561.445548	-9.732119	-16.295497	18.980447
0.333333	490.264961	577.625080	482.401151	562.156891	-7.863811	-15.468189	17.352360
0.366667	490.463367	577.418254	484.344188	562.699720	-6.119179	-14.718534	15.939875
0.400000	490.353740	576.931337	486.449408	562.860579	-3.904332	-14.070758	14.602398
0.433333	493.999594	577.205464	488.586168	562.663115	-5.413426	-14.542348	15.517251
0.466667	500.505594	578.407365	491.755735	563.383311	-8.749859	-15.024054	17.386266
0.500000	506.419919	579.190959	494.907969	564.882513	-11.511950	-14.308447	18.364549
0.533333	511.154961	580.574607	497.957410	566.503692	-13.197551	-14.070915	19.291605
0.566667	512.702916	581.467556	501.193959	568.960377	-11.508958	-12.507179	16.996636
0.600000	510.789827	580.728743	502.756952	570.347600	-8.032874	-10.381143	13.126127
0.633333	509.313859	580.526848	501.548992	568.763748	-7.764867	-11.763100	14.094811
0.666667	506.077004	578.789186	498.948138	566.260598	-7.128867	-12.528588	14.414793
0.700000	498.006866	574.469253	494.061004	562.728720	-3.945862	-11.740534	12.385877
0.733333	492.186921	567.993359	486.401752	557.664839	-5.785169	-10.328521	11.838349
0.766667	484.008163	557.071285	478.133843	553.146208	-5.874320	-3.925077	7.064974
0.800000	466.775384	552.461810	465.523477	548.804287	-1.251907	-3.657523	3.865844
0.833333	450.444775	553.092720	450.593100	547.427342	0.148325	-5.665378	5.667319
0.866667	437.859004	555.331527	439.482920	548.682279	1.623916	-6.649249	6.844677
0.900000	422.151071	557.416426	425.651949	551.124116	3.500878	-6.292310	7.200647
0.933333	411.630289	558.177081	410.708523	555.458816	-0.921765	-2.718265	2.870299
0.966667	407.558136	558.079170	402.798836	560.701284	-4.759300	2.622114	5.433822
1.000000	401.558683	559.573050	397.272630	565.760074	-4.286052	6.187024	7.526587
1.033333	397.603614	560.832740	392.819060	567.219106	-4.784554	6.386366	7.979826
1.066667	395.340295	564.059074	389.536059	566.756179	-5.804236	2.697105	6.400275
1.100000	395.143336	568.686973	384.583098	568.069500	-10.560239	-0.617473	10.578276
1.133333	393.972056	573.143307	380.801626	571.803745	-13.170429	-1.339562	13.238377
