etime(s)	ex	ey	tx	ty	dx	dy	ds
0.000000	449.061780	466.724304	526.694896	497.114127	77.633116	30.389823	83.369311
0.033333	445.882320	473.331153	523.817912	496.632946	77.935591	23.301793	81.344514
0.066667	447.223869	476.234666	522.077549	496.143225	74.853680	19.908558	77.455949
0.100000	443.934791	480.549422	521.336719	495.695186	77.401928	15.145764	78.869846
0.133333	451.799790	454.485687	521.361074	495.141615	69.561284	40.655929	80.570942
0.166667	434.014873	420.023766	522.022045	494.667917	88.007172	74.644150	115.399357
0.200000	445.517434	335.769413	522.624685	494.241769	77.107251	158.472356	176.235683
0.233333	468.902023	326.251066	523.320837	493.211892	54.418815	166.960826	175.605594
0.266667	455.452668	379.728307	523.841173	491.494640	68.388504	111.766334	131.029389
0.300000	459.389318	406.947478	523.222095	489.692998	63.832777	82.745520	104.505715
0.333333	444.387934	436.266239	522.188786	487.555936	77.800852	51.289697	93.185865
0.366667	451.785325	454.629537	520.913025	484.279278	69.127700	29.649741	75.217990
0.400000	451.676921	457.492506	519.431795	481.334506	67.754875	23.842000	71.827321
0.433333	449.768530	457.543187	518.490725	479.719564	68.722195	22.176378	72.211715
0.466667	444.939586	454.749743	517.911149	479.087736	72.971563	24.337993	76.923254
0.500000	445.614116	456.812312	517.447885	479.072904	71.833769	22.260592	75.203885
0.533333	446.629474	459.435598	517.438790	479.405843	70.809317	19.970245	73.571530
0.566667	446.897280	458.808944	518.134613	479.980884	71.237334	21.171941	74.316948
0.600000	447.667357	459.855250	518.855978	480.564092	71.188620	20.708842	74.139570
0.633333	445.876318	456.597071	519.115913	480.471035	73.239595	23.873964	77.032490
0.666667	448.706789	459.162900	519.874262	479.483123	71.167472	20.320222	74.011624
0.700000	438.017480	441.406727	520.505791	478.126769	82.488311	36.720042	90.292209
0.733333	463.286958	397.117694	521.081295	477.586537	57.794337	80.468843	99.072802
0.766667	529.059019	383.786724	521.916176	478.447543	-7.142843	94.660819	94.929926
0.800000	523.659045	337.574365	522.589281	479.247200	-1.069764	141.672835	141.676874
0.833333	514.029263	275.675655	523.249535	479.112097	9.220272	203.436442	203.645278
0.866667	497.862675	270.845807	523.965354	478.633653	26.102679	207.787846	209.420961
0.900000	478.414384	300.855245	524.534580	478.308032	46.120195	177.452787	183.348204
0.933333	497.024942	336.716434	524.884306	478.094719	27.859364	141.378285	144.097063
0.966667	500.546022	351.964760	524.645167	477.185391	24.099145	125.220630	127.518528
1.000000	489.839762	343.363845	524.022434	476.430080	34.182672	133.066235	137.386600
1.033333	445.127647	337.808249	523.147786	475.759599	78.020139	137.951349	158.485699
1.066667	386.973684	332.368469	522.407810	474.074399	135.434125	141.705930	196.017787
1.100000	390.948968	320.122261	522.161895	472.647756	131.212927	152.525495	201.198556
1.133333	399.298329	285.196469	522.158416	471.704585	122.860087	186.508116	223.338035
1.166667	376.489758	373.765694	522.214360	470.831888	145.724601	97.066194	175.092848
1.200000	409.416052	425.637032	522.331056	470.562482	112.915004	44.925450	121.524048
1.233333	414.682597	435.828761	522.303328	470.554177	107.620731	34.725415	113.084377
1.266667	420.433888	447.731711	522.956922	470.932958	102.523033	23.201247	105.115509
1.300000	425.633239	451.006487	523.767910	471.615080	98.134671	20.608593	100.275260
1.333333	436.050900	454.947772	524.284268	472.185779	88.233368	17.238007	89.901480
1.366667	453.142211	458.660678	524.694211	472.840987	71.552000	14.180309	72.943608
1.400000	458.654285	461.386739	524.441468	473.550787	65.787182	12.164048	66.902298
1.433333	460.742353	465.317522	524.345303	474.235678	63.602949	8.918156	64.225140
1.466667	457.863354	462.975745	524.772968	474.878255	66.909615	11.902510	67.960034
1.500000	461.792195	455.636915	524.868736	475.186893	63.076541	19.549979	66.036745
1.533333	431.510266	409.826619	525.032639	475.701298	93.522373	65.874680	114.393652
1.566667	405.353210	333.106549	525.132302	476.384361	119.779093	143.277812	186.750000
1.600000	419.733481	303.571845	524.997210	476.927190	105.263729	173.355345	202.811558
1.633333	418.432448	342.130027	524.812674	477.703596	106.380227	135.573569	172.328016
1.666667	440.195432	389.589559	524.634413	478.618804	84.438981	89.029245	122.703496
1.700000	437.523185	420.666079	524.499808	479.842743	86.976623	59.176663	105.198909
1.733333	438.651312	447.523132	524.229200	481.360052	85.577888	33.836920	92.024519
1.766667	442.137221	453.238760	523.927649	482.667377	81.790428	29.428617	86.923630
1.800000	443.930163	455.430582	523.790857	483.900696	79.860694	28.470115	84.783712
1.833333	447.133707	463.051347	523.716932	485.176809	76.583226	22.125462	79.715284
1.866667	451.982075	466.612194	523.839460	486.641651	71.857385	20.029457	74.596669
1.900000	453.899485	469.770510	523.786466	487.661025	69.886981	17.890515	72.140561
1.933333	455.083333	474.773671	524.050278	488.808132	68.966945	14.034461	70.380435
1.966667	456.289359	473.746085	524.634592	490.376728	68.345234	16.630643	70.339528
2.000000	457.371940	475.579112	524.919805	491.556229	67.547866	15.977117	69.411688
2.033333	458.007382	475.737624	524.969444	492.515015	66.962062	16.777390	69.031866
2.066667	459.592997	475.073113	525.513946	493.383019	65.920949	18.309906	68.416549
2.100000	463.043948	475.745179	526.048221	493.955280	63.004273	18.210102	65.583125
2.133333	462.673396	477.185055	526.307855	494.304738	63.634459	17.119682	65.897100
2.166667	462.422064	476.858456	526.345787	494.209350	63.923723	17.350894	66.236666
2.200000	461.363610	479.460708	526.224879	493.900199	64.861269	14.439491	66.449101
2.233333	461.252221	480.047583	526.183693	493.749548	64.931472	13.701966	66.361434
2.266667	460.933786	479.654128	525.887968	493.755064	64.954182	14.100937	66.467151
2.300000	459.477016	480.384153	525.472161	493.243617	65.995146	12.859464	67.236337
2.333333	458.495021	480.280988	525.131471	492.819775	66.636450	12.538788	67.805882
2.366667	458.329186	480.963793	524.844311	493.005255	66.515125	12.041462	67.596292
2.400000	457.623721	480.552883	524.546140	493.209694	66.922419	12.656812	68.108774
2.433333	457.294215	480.807988	524.546741	493.140707	67.252526	12.332719	68.373958
2.466667	457.315498	481.002961	524.858900	493.136934	67.543402	12.133973	68.624663
2.500000	458.054666	480.189837	525.001360	493.197526	66.946694	13.007689	68.198679
2.533333	458.058585	481.096735	524.999746	493.260550	66.941161	12.163815	68.037323
2.566667	457.655372	480.154963	525.065937	493.285070	67.410565	13.130107	68.677391
2.600000	456.956600	479.217489	525.228328	493.258011	68.271727	14.040522	69.700538
2.633333	457.133203	480.139395	525.288543	493.274682	68.155341	13.135287	69.409554
2.666667	457.004934	480.073419	525.360130	493.428094	68.355195	13.354675	69.647542
2.700000	456.515200	479.646827	525.438679	493.281948	68.923478	13.635121	70.259251
2.733333	457.193259	479.355267	525.601055	493.153670	68.407797	13.798403	69.785547
2.766667	456.977844	479.621717	524.977239	493.443772	67.999394	13.822056	69.389962
2.800000	457.305922	479.853474	524.209575	493.876125	66.903653	14.022651	68.357395
2.833333	456.095105	480.242151	523.366964	494.134969	67.271860	13.892818	68.691437
2.866667	455.713290	479.848826	522.963757	494.149971	67.250467	14.301145	68.754258
2.900000	454.683152	479.304558	522.587742	493.905015	67.904590	14.600457	69.456510
2.933333	454.375529	478.450685	522.494224	493.476105	68.118695	15.025421	69.756146
2.966667	453.292856	477.404102	522.793492	493.297195	69.500637	15.893093	71.294662
3.000000	451.814093	477.245997	522.101292	492.711155	70.287199	15.465158	71.968475
3.033333	452.376559	475.342624	521.550515	490.941643	69.173956	15.599019	70.910970
3.066667	451.823651	473.095003	520.686732	488.638001	68.863082	15.542998	70.595388
3.100000	451.385573	470.028498	519.054801	486.015766	67.669228	15.987268	69.532130
3.133333	449.974656	465.401468	518.144799	484.244088	68.170143	18.842620	70.726323
3.166667	449.932997	464.359666	517.435812	482.442323	67.502814	18.082657	69.882848
3.200000	447.278140	464.589180	517.286432	481.060152	70.008291	16.470972	71.919773
3.233333	446.152511	462.217807	517.804331	480.495023	71.651820	18.277215	73.946197
3.266667	446.892656	461.623551	518.973519	480.390548	72.080863	18.766997	74.483898
3.300000	446.934106	461.392605	520.292541	480.323057	73.358435	18.930452	75.761613
3.333333	447.649505	460.951372	521.304483	480.793594	73.654978	19.842222	76.280859
3.366667	447.844191	460.598103	522.272674	481.717265	74.428483	21.119162	77.366776
3.400000	448.937112	460.232779	522.340676	483.097940	73.403564	22.865161	76.882370
3.433333	449.697698	462.833970	521.477991	485.461349	71.780292	22.627379	75.262266
3.466667	448.336994	466.903699	520.109111	487.289767	71.772117	20.386068	74.611182
3.500000	446.318343	469.299017	518.218696	488.516478	71.900353	19.217461	74.424267
3.533333	443.721087	471.508723	516.933312	488.926138	73.212225	17.417415	75.255540
3.566667	442.751435	471.697425	516.456390	488.643263	73.704955	16.945838	75.627917
3.600000	443.349042	471.688406	515.253750	487.163938	71.904707	15.475532	73.551200
3.633333	443.186708	470.868993	514.118834	485.281687	70.932126	14.412694	72.381574
3.666667	442.530558	470.522439	512.873313	485.199388	70.342755	14.676949	71.857610
3.700000	439.422890	470.295274	511.880385	485.810449	72.457495	15.515175	74.099994
3.733333	437.004988	469.124523	511.907442	485.682645	74.902455	16.558121	76.710815
3.766667	436.889468	468.856880	511.715682	485.129722	74.826214	16.272842	76.575242
3.800000	435.246963	468.270832	511.663358	484.742444	76.416395	16.471612	78.171475
3.833333	435.170016	468.764556	511.629458	484.642156	76.459441	15.877600	78.090616
3.866667	435.435150	468.634911	511.625311	484.518516	76.190160	15.883605	77.828205
3.900000	435.515942	467.450871	511.973274	484.444762	76.457332	16.993892	78.323151
3.933333	436.104377	467.495232	512.709357	484.866217	76.604980	17.370985	78.549820
3.966667	436.420819	467.240017	513.168294	484.983361	76.747476	17.743344	78.771831
4.000000	437.575737	466.378274	512.832064	483.127123	75.256327	16.748849	77.097593
4.033333	437.208060	464.931962	511.716840	481.104326	74.508780	16.172364	76.243712
4.066667	436.182657	464.713888	510.525890	480.609890	74.343234	15.896002	76.023676
4.100000	435.462722	465.100132	510.124995	481.577585	74.662273	16.477452	76.458888
4.133333	435.357144	465.055057	510.126711	482.959582	74.769568	17.904525	76.883420
4.166667	436.015598	467.308949	510.391276	483.787655	74.375678	16.478707	76.179323
4.200000	438.063840	469.161221	510.903322	484.087771	72.839482	14.926550	74.353158
4.233333	438.583503	469.142349	511.024763	483.600046	72.441260	14.457697	73.869893
4.266667	438.378729	468.726113	510.643163	483.588003	72.264434	14.861890	73.776854
4.300000	437.827130	468.054899	509.129167	483.736432	71.302037	15.681533	73.006103
