etime(s)	ex	ey	tx	ty	dx	dy	ds
0.000000	433.222842	470.281380	496.422740	479.653099	63.199898	9.371719	63.890971
0.033333	433.275860	469.838200	497.732934	478.932067	64.457074	9.093867	65.095413
0.066667	435.460147	469.212454	499.252257	477.889131	63.792109	8.676677	64.379484
0.100000	437.400856	468.553608	501.042837	477.220769	63.641982	8.667161	64.229444
0.133333	438.089381	468.423465	502.544871	476.289015	64.455489	7.865550	64.933635
0.166667	438.325097	466.041839	503.406319	474.637416	65.081222	8.595577	65.646397
0.200000	437.510776	463.834195	503.855305	473.435770	66.344529	9.601575	67.035713
0.233333	437.858524	463.254674	504.259777	472.559359	66.401253	9.304685	67.050008
0.266667	438.535050	461.979325	504.354626	471.806897	65.819576	9.827572	66.549213
0.300000	438.772408	461.092643	504.609544	471.701762	65.837135	10.609119	66.686444
0.333333	438.294131	461.031267	505.078324	471.851443	66.784193	10.820176	67.655042
0.366667	438.260010	461.751104	506.373801	473.942496	68.113791	12.191393	69.196233
0.400000	439.507826	463.436654	508.148285	476.504268	68.640459	13.067614	69.873280
0.433333	441.004518	463.668992	509.288627	477.553466	68.284109	13.884474	69.681405
0.466667	442.212288	464.852857	510.214380	478.442737	68.002092	13.589879	69.346733
0.500000	442.836004	466.015050	510.522684	478.384629	67.686681	12.369579	68.807654
0.533333	443.305903	466.552532	510.317362	477.786134	67.011459	11.233602	67.946519
0.566667	443.656176	466.212775	509.358450	476.531014	65.702275	10.318240	66.507556
0.600000	443.427229	465.092901	508.524446	475.466014	65.097217	10.373113	65.918504
0.633333	442.256831	463.662158	508.103866	474.776613	65.847036	11.114456	66.778464
0.666667	442.060206	463.254512	507.806886	474.432381	65.746681	11.177869	66.690110
0.700000	439.829637	463.100856	507.625315	474.579835	67.795677	11.478979	68.760605
0.733333	439.010237	462.265847	507.171597	474.612964	68.161360	12.347117	69.270645
0.766667	439.927637	461.615002	506.522735	474.205933	66.595098	12.590930	67.774911
0.800000	439.830108	461.173464	505.939027	473.551900	66.108919	12.378436	67.257823
0.833333	441.051119	461.676613	505.803988	472.683661	64.752869	11.007049	65.681727
0.866667	440.530231	461.660750	506.187105	472.262801	65.656874	10.602051	66.507358
0.900000	439.558413	461.338727	506.353380	472.650593	66.794967	11.311866	67.746040
0.933333	439.837425	461.739930	506.465718	473.334172	66.628293	11.594241	67.629549
0.966667	439.918462	462.196340	505.903962	473.763609	65.985499	11.567270	66.991700
1.000000	438.369573	463.361299	504.917927	473.824354	66.548354	10.463055	67.365858
1.033333	438.411584	463.054147	504.466584	473.631756	66.055001	10.577609	66.896554
1.066667	439.853961	462.127244	504.732708	473.095148	64.878747	10.967905	65.799291
1.100000	439.408530	461.974571	505.356736	472.217218	65.948206	10.242647	66.738877
1.133333	440.276758	461.065213	505.920125	471.491890	65.643367	10.426677	66.466287
1.166667	440.994008	460.951915	506.945851	471.177887	65.951844	10.225972	66.739914
1.200000	442.887933	460.509514	508.431240	471.150237	65.543307	10.640724	66.401432
1.233333	443.680743	460.268927	509.550464	471.193719	65.869721	10.924792	66.769538
1.266667	444.037463	458.840987	510.425472	470.836713	66.388009	11.995726	67.463066
1.300000	444.605772	457.940860	511.105807	470.237075	66.500035	12.296215	67.627299
1.333333	444.940534	457.998990	511.546673	470.148492	66.606139	12.149502	67.705156
1.366667	445.466078	457.599886	511.463126	469.865765	65.997048	12.265879	67.127208
1.400000	445.652287	457.949674	511.374203	469.572734	65.721917	11.623060	66.741785
1.433333	445.799723	457.742125	511.481190	469.450030	65.681467	11.707905	66.716791
1.466667	446.234628	457.308779	512.355801	469.659329	66.121172	12.350550	67.264742
1.500000	446.080864	457.062629	513.412512	470.106581	67.331648	13.043952	68.583493
1.533333	446.850420	457.211756	514.407574	470.647434	67.557154	13.435678	68.880233
1.566667	448.185642	457.486043	515.538879	471.033030	67.353237	13.546987	68.702106
1.600000	448.507317	456.606081	516.140047	471.337404	67.632729	14.731323	69.218480
1.633333	448.797120	455.942330	516.521204	471.597606	67.724085	15.655276	69.509994
1.666667	448.990239	456.332417	517.121095	472.018808	68.130856	15.686390	69.913349
1.700000	448.975569	454.815623	517.708429	472.411522	68.732860	17.595899	70.949431
1.733333	449.848511	455.020832	518.293533	472.149922	68.445022	17.129091	70.555842
1.766667	450.410076	455.316042	518.767361	471.636031	68.357285	16.319989	70.278450
1.800000	449.706920	455.338113	519.516804	470.957036	69.809885	15.618923	71.535801
1.833333	449.662295	456.001916	520.148759	470.384378	70.486463	14.382462	71.938840
1.866667	449.551809	456.232811	520.861644	469.571808	71.309834	13.338997	72.546684
1.900000	451.007586	455.138659	521.484216	468.162648	70.476630	13.023989	71.669936
1.933333	452.224257	454.500172	521.697941	467.167974	69.473685	12.667803	70.619163
1.966667	451.962078	453.941506	521.843640	467.691323	69.881562	13.749817	71.221417
2.000000	452.336264	454.506880	521.224325	470.120659	68.888061	15.613779	70.635367
2.033333	452.790067	457.344223	520.103049	473.596945	67.312982	16.252722	69.247299
2.066667	453.249173	458.696909	518.571099	476.055132	65.321925	17.358223	67.588918
