etime(s)	ex	ey	tx	ty	dx	dy	ds
0.000000	482.713707	550.610590	453.868469	493.832906	-28.845237	-56.777684	63.684795
0.033333	482.364969	553.721673	454.075183	495.244265	-28.289787	-58.477408	64.960906
0.066667	482.509586	553.761785	453.496149	495.844316	-29.013436	-57.917469	64.778181
0.100000	482.900122	551.890033	452.944037	496.333721	-29.956086	-55.556312	63.117912
0.133333	481.838506	551.019861	452.621129	496.914340	-29.217377	-54.105521	61.490345
0.166667	481.844011	552.072821	452.579040	497.944294	-29.264971	-54.128528	61.533211
0.200000	483.746203	553.925779	452.056657	498.244565	-31.689547	-55.681213	64.067347
0.233333	483.585233	553.894366	451.861702	498.383742	-31.723532	-55.510624	63.935998
0.266667	482.788876	551.611219	451.258336	498.133320	-31.530540	-53.477900	62.081082
0.300000	481.848771	552.023949	450.367752	497.782114	-31.481018	-54.241835	62.715478
0.333333	481.265362	551.103667	449.072874	497.107113	-32.192489	-53.996554	62.864808
0.366667	480.212287	551.737922	447.947672	497.316303	-32.264615	-54.421619	63.267037
0.400000	479.103071	552.321757	447.065873	498.156180	-32.037198	-54.165577	62.930849
0.433333	478.900982	553.865678	446.812978	499.229318	-32.088004	-54.636361	63.362228
0.466667	478.694685	555.241095	445.909364	499.377503	-32.785321	-55.863592	64.773592
0.500000	478.204840	555.229404	445.276650	499.623110	-32.928189	-55.606295	64.624497
0.533333	477.464392	556.240484	445.184479	499.987857	-32.279913	-56.252626	64.856386
0.566667	476.358288	553.986659	444.520095	500.589190	-31.838193	-53.397470	62.168805
0.600000	474.500453	552.668953	442.770489	500.793035	-31.729963	-51.875918	60.810373
0.633333	472.527792	553.781443	442.092453	501.200785	-30.435339	-52.580658	60.753892
0.666667	471.087401	552.571214	440.579679	501.081774	-30.507722	-51.489440	59.848839
0.700000	468.248542	548.907212	437.382861	500.846170	-30.865681	-48.061042	57.118772
0.733333	465.929786	547.121954	433.411003	500.210022	-32.518784	-46.911931	57.080650
0.766667	462.784120	544.433634	429.106659	499.624510	-33.677461	-44.809124	56.053804
0.800000	460.678356	542.773510	424.883381	498.981969	-35.794976	-43.791541	56.559520
0.833333	460.266596	542.870301	422.138801	499.057186	-38.127794	-43.813115	58.080270
0.866667	458.685109	542.831355	419.661897	498.854460	-39.023212	-43.976895	58.794374
0.900000	456.701683	544.282296	418.164634	498.678759	-38.537049	-45.603537	59.705835
0.933333	454.216274	544.222990	417.096943	498.497886	-37.119331	-45.725104	58.895075
0.966667	452.988944	543.138985	415.713547	498.577321	-37.275397	-44.561665	58.096447
1.000000	451.977866	543.440509	414.063969	498.059018	-37.913897	-45.381491	59.134959
1.033333	452.624279	543.190618	413.548378	498.028921	-39.075902	-45.161696	59.720222
1.066667	452.022866	542.238356	414.045798	498.516888	-37.977067	-43.721468	57.912213
1.100000	452.291833	541.954050	415.582177	499.221213	-36.709657	-42.732837	56.335550
1.133333	452.670000	542.080631	416.498594	498.517278	-36.171407	-43.563352	56.622755
1.166667	452.313404	541.632771	417.044276	497.081591	-35.269128	-44.551180	56.821818
1.200000	455.203977	541.703676	418.484458	496.023553	-36.719519	-45.680122	58.608844
1.233333	454.986151	539.753611	420.268350	496.284853	-34.717802	-43.468758	55.631454
1.266667	454.930002	538.519215	419.687544	496.881371	-35.242458	-41.637844	54.550352
1.300000	453.584186	539.091889	418.363156	497.877764	-35.221030	-41.214126	54.213699
1.333333	450.810620	538.303696	416.855957	497.139147	-33.954662	-41.164549	53.361402
1.366667	443.056288	537.100085	413.455400	494.225994	-29.600888	-42.874091	52.099906
1.400000	434.870330	536.246428	407.576361	490.330003	-27.293969	-45.916425	53.416091
1.433333	425.039248	533.227033	401.729196	487.209494	-23.310052	-46.017538	51.584614
1.466667	414.327914	530.098926	396.476336	484.328129	-17.851579	-45.770797	49.128858
1.500000	409.598947	530.190794	391.768346	482.273640	-17.830601	-47.917154	51.127135
1.533333	403.350137	528.122724	386.496184	481.018189	-16.853953	-47.104536	50.028922
1.566667	401.102750	529.325581	380.237490	481.618807	-20.865260	-47.706774	52.070100
1.600000	395.522662	529.902409	373.417432	483.515287	-22.105230	-46.387121	51.384883
1.633333	387.733025	530.835368	368.169282	485.415632	-19.563743	-45.419736	49.453942
1.666667	383.282101	531.674514	363.857747	486.311509	-19.424355	-45.363005	49.346812
1.700000	377.173875	530.683167	359.729128	488.153946	-17.444747	-42.529221	45.967965
1.733333	374.011579	530.683760	356.144142	489.764872	-17.867437	-40.918888	44.649756
1.766667	372.212534	531.247699	353.433488	490.834680	-18.779046	-40.413019	44.563042
1.800000	370.579070	530.799167	350.148715	491.756475	-20.430355	-39.042692	44.065079
