etime(s)	ex	ey	tx	ty	dx	dy	ds
0.000000	628.134297	496.881517	615.441986	453.348694	-12.692311	-43.532824	45.345358
0.033333	628.211349	497.199354	616.113857	452.989474	-12.097492	-44.209879	45.835169
0.066667	629.730476	496.965955	617.498656	453.377805	-12.231820	-43.588150	45.271892
0.100000	631.248601	496.121967	617.957234	452.758462	-13.291367	-43.363505	45.354757
0.133333	632.785492	495.834508	619.201884	452.267345	-13.583608	-43.567163	45.635645
0.166667	633.419676	495.544893	620.345015	451.968258	-13.074661	-43.576635	45.495823
0.200000	633.506760	495.096407	619.994994	450.993209	-13.511766	-44.103198	46.126564
0.233333	633.433641	494.051061	619.920958	450.388485	-13.512683	-43.662576	45.705723
0.266667	633.604423	495.402634	619.574420	450.260948	-14.030003	-45.141685	47.271690
0.300000	633.301213	497.472380	618.677780	450.540386	-14.623432	-46.931994	49.157470
0.333333	632.831803	496.808034	618.830774	450.976988	-14.001029	-45.831046	47.921953
0.366667	633.486464	496.377044	619.202894	450.146762	-14.283569	-46.230282	48.386561
0.400000	634.018056	496.148080	619.696048	449.104812	-14.322008	-47.043269	49.175086
0.433333	635.260979	495.372401	620.616257	448.965281	-14.644722	-46.407120	48.663011
0.466667	635.951004	494.997433	620.857801	448.658797	-15.093204	-46.338636	48.734731
0.500000	636.979528	495.289853	621.746941	449.029393	-15.232587	-46.260460	48.703818
0.533333	637.526210	495.250252	622.750739	449.885458	-14.775472	-45.364794	47.710366
0.566667	636.937116	495.523493	621.489548	449.760790	-15.447568	-45.762703	48.299610
0.600000	636.304159	496.944426	620.648716	450.881346	-15.655442	-46.063080	48.650799
0.633333	636.264301	498.717839	620.746791	452.912521	-15.517510	-45.805318	48.362385
0.666667	636.342190	499.421256	620.443649	453.727970	-15.898541	-45.693286	48.380161
0.700000	636.288310	499.778877	620.810551	454.028229	-15.477759	-45.750648	48.297855
0.733333	636.603457	499.528714	621.057953	453.683427	-15.545505	-45.845287	48.409225
0.766667	637.077008	499.375443	620.752155	452.683179	-16.324853	-46.692264	49.463808
0.800000	636.827299	498.141434	621.070250	452.408291	-15.757049	-45.733143	48.371531
0.833333	637.321856	498.575140	621.294153	452.461005	-16.027703	-46.114135	48.820085
0.866667	638.611012	499.138215	621.922889	452.459872	-16.688124	-46.678343	49.571778
0.900000	638.363569	498.582860	622.984095	452.172720	-15.379474	-46.410140	48.892017
0.933333	637.746789	498.002113	622.311412	451.011705	-15.435378	-46.990408	49.460584
0.966667	636.877242	497.905893	621.212439	450.767225	-15.664803	-47.138668	49.673334
1.000000	636.057347	498.984952	620.460023	451.681872	-15.597324	-47.303080	49.808211
1.033333	635.604770	499.919822	618.558865	452.002637	-17.045905	-47.917185	50.858819
1.066667	634.189775	502.242911	617.686044	452.934785	-16.503731	-49.308126	51.996774
1.100000	634.319682	503.775475	617.300347	453.760676	-17.019335	-50.014799	52.831221
1.133333	633.433994	504.017557	616.045076	453.422963	-17.388919	-50.594594	53.499415
1.166667	631.959749	503.906775	616.052691	453.821445	-15.907059	-50.085331	52.550688
1.200000	634.286627	503.862940	617.003736	454.681516	-17.282892	-49.181424	52.129750
1.233333	635.753781	503.653107	617.819961	454.742103	-17.933820	-48.911004	52.095184
1.266667	636.579104	503.059563	618.756071	454.560719	-17.823033	-48.498844	51.670092
1.300000	636.089629	503.169835	618.549391	454.105788	-17.540238	-49.064047	52.105092
1.333333	635.831467	503.333111	618.319290	453.907663	-17.512177	-49.425448	52.436164
1.366667	636.168707	502.763295	619.797403	454.119784	-16.371304	-48.643511	51.324563
1.400000	637.511304	502.549600	621.325576	453.587053	-16.185728	-48.962547	51.568487
1.433333	638.922185	502.351434	622.780613	453.454571	-16.141572	-48.896864	51.492267
1.466667	637.804600	503.287730	624.029934	454.034318	-13.774666	-49.253413	51.143329
1.500000	638.563728	502.811700	623.904599	453.604256	-14.659130	-49.207445	51.344549
1.533333	639.743671	502.378949	624.708079	453.269667	-15.035592	-49.109283	51.359427
1.566667	640.452209	501.571894	625.939973	453.069629	-14.512236	-48.502265	50.626818
1.600000	641.090385	501.585019	626.175830	452.562047	-14.914555	-49.022972	51.241544
1.633333	642.414912	502.404622	626.589714	452.833196	-15.825198	-49.571427	52.036172
1.666667	641.569954	501.832958	626.319685	453.105497	-15.250269	-48.727461	51.058164
1.700000	641.047406	502.140033	625.209530	452.973382	-15.837876	-49.166651	51.654602
1.733333	640.100083	503.463911	624.660718	453.211163	-15.439365	-50.252748	52.571025
1.766667	639.404918	503.605865	623.879858	452.958469	-15.525060	-50.647396	52.973448
1.800000	639.762444	501.888504	623.585752	452.956239	-16.176693	-48.932265	51.536899
1.833333	638.794564	504.143093	624.322809	454.353793	-14.471755	-49.789300	51.849842
1.866667	639.606351	505.627831	623.873453	455.505248	-15.732897	-50.122583	52.533774
1.900000	638.717579	506.333745	623.018835	456.208043	-15.698744	-50.125702	52.526532
1.933333	637.330427	506.693924	622.477048	456.892719	-14.853379	-49.801205	51.969057
1.966667	636.292619	506.309773	620.910988	456.598864	-15.381631	-49.710910	52.036229
2.000000	635.675775	504.607591	620.261127	455.998921	-15.414648	-48.608670	50.994256
2.033333	635.715066	503.019811	619.988092	454.740430	-15.726975	-48.279382	50.776337
2.066667	632.438612	502.853296	618.910233	453.254489	-13.528379	-49.598807	51.410687
2.100000	632.312973	502.744282	618.638830	453.248170	-13.674143	-49.496112	51.350241
2.133333	632.358910	502.492858	618.378362	453.685479	-13.980548	-48.807379	50.770227
2.166667	631.762409	502.643388	617.574769	454.279975	-14.187641	-48.363413	50.401477
2.200000	631.329361	503.723747	617.452403	456.036688	-13.876957	-47.687060	49.665135
2.233333	631.263169	504.514719	617.268079	457.274920	-13.995090	-47.239799	49.269272
2.266667	632.152340	504.183304	617.686219	457.459861	-14.466121	-46.723443	48.911643
2.300000	634.203321	505.096934	619.239537	457.789084	-14.963784	-47.307849	49.618015
2.333333	633.803998	504.771561	619.847012	458.066899	-13.956987	-46.704662	48.745491
2.366667	634.536936	506.080606	620.417675	458.852015	-14.119261	-47.228592	49.293949
2.400000	636.368064	506.229398	621.648819	459.874510	-14.719244	-46.354888	48.635705
2.433333	637.547573	506.820859	621.788127	459.815741	-15.759446	-47.005118	49.576620
2.466667	637.534619	506.572332	622.293598	460.086672	-15.241021	-46.485661	48.920399
2.500000	637.231854	507.175421	622.691795	460.513583	-14.540059	-46.661838	48.874743
2.533333	637.725890	507.748231	621.862264	460.433815	-15.863626	-47.314416	49.902992
2.566667	637.287573	507.509894	621.217343	460.868798	-16.070230	-46.641096	49.331979
2.600000	637.122852	508.078097	620.580299	461.220934	-16.542553	-46.857163	49.691547
2.633333	636.527522	507.907132	620.082930	461.157207	-16.444592	-46.749924	49.557845
2.666667	635.252080	507.955390	620.041854	461.200656	-15.210226	-46.754734	49.166616
2.700000	634.643335	507.320635	618.812501	460.934962	-15.830834	-46.385673	49.012713
2.733333	634.768159	508.506468	617.860265	461.520126	-16.907895	-46.986341	49.935891
2.766667	634.826481	509.257922	618.545082	463.010952	-16.281399	-46.246970	49.029238
2.800000	635.838546	508.483011	618.570336	463.184396	-17.268210	-45.298615	48.478404
2.833333	635.744295	508.546574	618.473985	463.230628	-17.270310	-45.315946	48.495346
2.866667	635.489505	509.087385	618.775972	464.169682	-16.713533	-44.917704	47.926426
2.900000	634.737147	509.655281	617.985891	463.938932	-16.751257	-45.716349	48.688697
2.933333	635.829816	507.978311	618.281582	463.205836	-17.548234	-44.772475	48.088616
2.966667	636.200710	507.693922	619.287007	462.789308	-16.913704	-44.904615	47.984349
3.000000	635.015619	510.351591	619.304900	462.995804	-15.710719	-47.355788	49.893861
3.033333	634.831652	511.055431	619.405638	464.124712	-15.426014	-46.930719	49.400954
3.066667	635.528621	510.927335	619.149721	464.436696	-16.378900	-46.490639	49.291458
3.100000	635.534924	510.659655	618.831415	464.072184	-16.703509	-46.587471	49.491410
3.133333	636.312961	510.925653	619.726497	464.572737	-16.586464	-46.352916	49.231124
3.166667	636.618718	511.435231	620.212817	464.680117	-16.405901	-46.755114	49.549917
3.200000	636.859270	509.681290	620.259032	464.333130	-16.600238	-45.348160	48.291029
3.233333	636.998590	510.011761	620.649710	464.526883	-16.348880	-45.484879	48.333840
3.266667	636.204476	510.298663	620.343256	464.342557	-15.861220	-45.956106	48.616273
3.300000	636.974354	510.181728	620.859608	464.425003	-16.114746	-45.756725	48.511472
3.333333	637.801676	511.439748	622.268290	465.369663	-15.533386	-46.070085	48.618297
3.366667	637.719885	512.265687	622.190824	466.435126	-15.529061	-45.830561	48.390000
3.400000	637.022405	514.486492	622.408346	468.686204	-14.614059	-45.800288	48.075328
3.433333	637.940842	515.338341	622.828344	470.704176	-15.112498	-44.634165	47.123203
3.466667	638.546090	516.406716	622.558034	471.104429	-15.988056	-45.302287	48.040765
3.500000	639.648006	515.474168	623.194248	471.304337	-16.453759	-44.169830	47.134914
3.533333	639.648657	515.303932	623.684667	470.977566	-15.963990	-44.326365	47.113433
3.566667	639.696611	515.343623	623.230037	470.265447	-16.466573	-45.078177	47.991562
3.600000	638.801508	513.955562	623.217559	470.599052	-15.583949	-43.356510	46.072187
