etime(s)	ex	ey	tx	ty	dx	dy	ds
0.000000	591.782019	270.698086	596.100754	287.647041	4.318735	16.948955	17.490528
0.033333	593.887219	270.865060	595.986130	287.047819	2.098912	16.182759	16.318307
0.066667	593.437330	269.927905	596.753768	287.091458	3.316438	17.163554	17.481028
0.100000	592.625127	270.146286	596.635653	287.251071	4.010526	17.104784	17.568664
0.133333	590.883830	269.684113	596.448404	287.726108	5.564574	18.041995	18.880627
0.166667	588.182863	274.952932	595.911250	288.230717	7.728387	13.277784	15.363187
0.200000	587.989172	279.711242	594.919911	288.902954	6.930739	9.191712	11.511851
0.233333	587.063199	281.538481	594.710139	290.800409	7.646940	9.261928	12.010787
0.266667	587.441910	284.455892	593.813977	293.155590	6.372067	8.699697	10.783690
0.300000	587.099382	286.587086	594.000213	296.329987	6.900831	9.742900	11.939246
0.333333	587.107155	288.810469	593.203313	298.779036	6.096158	9.968567	11.684839
0.366667	586.609760	291.325096	592.969661	301.327070	6.359902	10.001974	11.852756
0.400000	587.185701	293.792790	592.528835	303.900541	5.343134	10.107751	11.433097
0.433333	587.521066	295.812981	592.398720	306.520669	4.877654	10.707688	11.766312
0.466667	587.357844	297.180075	592.902540	308.900606	5.544696	11.720532	12.965898
0.500000	588.784867	298.146482	592.828993	310.159756	4.044126	12.013274	12.675713
0.533333	588.777196	298.082545	593.518242	311.353593	4.741046	13.271048	14.092488
0.566667	588.906841	298.692953	592.808934	311.755060	3.902093	13.062106	13.632496
0.600000	588.648474	298.865084	593.095649	312.627438	4.447175	13.762354	14.463048
0.633333	589.237188	301.290063	592.929174	313.293370	3.691986	12.003307	12.558270
0.666667	588.807029	303.478750	593.149129	314.437567	4.342100	10.958818	11.787685
0.700000	583.175935	303.156817	593.304482	315.944126	10.128547	12.787309	16.312655
0.733333	585.245668	302.254875	593.200770	316.977835	7.955102	14.722960	16.734670
0.766667	585.327573	300.128695	594.046021	317.253007	8.718449	17.124312	19.215968
0.800000	586.796186	297.581577	594.213392	315.873474	7.417206	18.291897	19.738501
0.833333	586.334125	296.575537	595.235413	314.629805	8.901287	18.054268	20.129319
0.866667	587.159822	296.971991	595.044884	313.366093	7.885061	16.394102	18.191778
0.900000	587.742299	298.939167	595.465503	313.091698	7.723204	14.152530	16.122717
0.933333	588.561854	301.274893	595.802735	313.631153	7.240881	12.356260	14.321575
0.966667	588.770053	308.412778	596.176796	316.257024	7.406743	7.844246	10.788514
1.000000	588.236635	317.761206	596.428291	322.526582	8.191656	4.765376	9.476921
1.033333	587.837446	327.386415	595.594811	331.755767	7.757365	4.369351	8.903255
1.066667	588.511302	331.645171	595.845306	342.186758	7.334004	10.541588	12.841833
1.100000	590.365656	333.780465	595.600036	348.992508	5.234381	15.212043	16.087417
1.133333	592.164996	327.725040	596.954738	350.864428	4.789742	23.139388	23.629915
1.166667	591.627382	320.755735	597.866162	347.300464	6.238781	26.544729	27.268022
1.200000	592.325724	315.156703	598.959955	341.274661	6.634231	26.117958	26.947370
