etime(s)	ex	ey	tx	ty	dx	dy	ds
0.000000	576.573741	643.458054	562.670679	541.411059	-13.903061	-102.046995	102.989729
0.033333	574.519821	641.972810	561.836981	540.882097	-12.682840	-101.090713	101.883201
0.066667	574.936519	642.354043	562.846912	541.147221	-12.089607	-101.206822	101.926343
0.100000	575.464076	641.637965	563.888770	540.120984	-11.575307	-101.516981	102.174777
0.133333	577.083156	640.508284	565.454787	539.294543	-11.628369	-101.213740	101.879538
0.166667	578.236854	639.662280	566.019903	537.682534	-12.216950	-101.979747	102.708922
0.200000	576.884737	639.028089	565.191821	536.728515	-11.692915	-102.299574	102.965660
0.233333	578.019448	638.196387	563.996989	536.489013	-14.022459	-101.707375	102.669467
0.266667	576.629445	638.696079	562.240842	535.665742	-14.388603	-103.030337	104.030199
0.300000	575.579582	638.748282	561.181890	535.313342	-14.397692	-103.434940	104.432181
0.333333	575.258595	638.361217	559.304252	533.927447	-15.954342	-104.433770	105.645413
0.366667	572.793609	636.487693	556.875264	533.595587	-15.918346	-102.892106	104.116182
0.400000	571.246965	636.436484	553.073815	533.880169	-18.173150	-102.556315	104.154026
0.433333	566.626844	636.871755	547.039891	537.372428	-19.586953	-99.499327	101.408899
0.466667	560.978889	639.806953	536.941829	545.597291	-24.037060	-94.209663	97.227778
0.500000	549.347587	647.832578	518.476267	555.504874	-30.871320	-92.327704	97.352161
0.533333	529.378356	655.701791	490.134838	562.717253	-39.243518	-92.984537	100.926597
0.566667	499.836860	663.859341	446.692536	561.303561	-53.144324	-102.555780	115.507606
0.600000	454.588725	663.576851	389.534658	554.252172	-65.054067	-109.324679	127.216025
0.633333	403.629938	663.066503	324.756753	544.422941	-78.873185	-118.643562	142.468502
0.666667	334.607096	658.396416	256.450677	535.774044	-78.156419	-122.622372	145.412077
0.700000	275.785613	662.381112	178.080115	529.670540	-97.705498	-132.710572	164.798241
0.733333	182.505727	652.874289	94.861409	525.076261	-87.644319	-127.798028	154.964068
0.766667	87.498778	608.565691	37.568666	521.417825	-49.930113	-87.147866	100.437875
0.800000	50.619502	608.854972	19.987191	514.890867	-30.632311	-93.964105	98.831127
0.833333	13.059991	663.996577	23.569617	507.714302	10.509626	-156.282275	156.635250
0.866667	60.757329	703.039292	24.154448	500.239218	-36.602881	-202.800074	206.076784
0.900000	-223.046652	532.387574	23.968729	493.624652	247.015381	-38.762922	250.038322
0.933333	-205.333772	525.716989	25.542279	486.584781	230.876050	-39.132208	234.168914
0.966667	-305.173681	405.495855	22.375092	478.042600	327.548773	72.546744	335.486555
1.000000	-222.091747	442.884756	26.936819	472.303817	249.028566	29.419060	250.760260
1.033333	-119.985557	474.514902	64.467504	472.591451	184.453062	-1.923451	184.463090
1.066667	79.936251	591.168001	144.502475	482.869479	64.566224	-108.298522	126.084762
1.100000	207.699348	631.985730	242.429371	497.401182	34.730023	-134.584548	138.993435
1.133333	296.799410	627.874650	332.861197	510.391884	36.061787	-117.482767	122.892851
1.166667	383.769227	640.731066	407.642013	520.207240	23.872786	-120.523826	122.865384
1.200000	446.980886	636.802885	469.291642	528.978582	22.310756	-107.824303	110.108357
1.233333	504.779991	642.452922	519.992523	539.581704	15.212532	-102.871219	103.989946
1.266667	549.096578	646.308708	558.015083	548.302780	8.918506	-98.005928	98.410882
1.300000	586.000083	650.954336	588.665453	554.947625	2.665370	-96.006711	96.043702
1.333333	615.684150	654.008068	613.529008	557.360829	-2.155143	-96.647239	96.671265
1.366667	639.039516	654.793804	630.548566	556.769632	-8.490951	-98.024172	98.391232
1.400000	651.422878	652.001953	635.905222	555.067731	-15.517656	-96.934222	98.168432
1.433333	656.921162	651.253656	632.735460	553.868447	-24.185702	-97.385209	100.343545
