etime(s)	ex	ey	tx	ty	dx	dy	ds
0.000000	614.532122	424.976901	625.579122	561.368661	11.047001	136.391760	136.838403
0.033333	614.287309	424.483093	626.295228	563.048262	12.007918	138.565169	139.084493
0.066667	614.421566	426.042779	625.524077	563.713381	11.102511	137.670603	138.117561
0.100000	614.074011	426.233595	625.081947	564.205351	11.007935	137.971756	138.410187
0.133333	613.250107	425.845456	624.728505	564.462686	11.478398	138.617230	139.091661
0.166667	613.560686	427.894549	624.139497	564.943389	10.578811	137.048840	137.456523
0.200000	613.343630	427.894887	624.600262	566.359730	11.256631	138.464843	138.921649
0.233333	613.033083	428.027061	623.985576	566.147093	10.952493	138.120032	138.553601
0.266667	612.273257	428.640834	624.128479	566.625053	11.855222	137.984219	138.492566
0.300000	612.332238	429.812946	623.659500	567.186849	11.327262	137.373903	137.840110
0.333333	612.049842	430.049352	623.197882	567.702379	11.148040	137.653027	138.103710
0.366667	612.393971	430.044064	623.476160	568.387071	11.082189	138.343006	138.786175
0.400000	612.040744	430.999218	622.793156	568.613057	10.752412	137.613839	138.033267
0.433333	610.869901	432.975265	623.139409	570.566105	12.269508	137.590840	138.136817
0.466667	612.163001	432.483730	622.932729	571.704457	10.769728	139.220727	139.636664
0.500000	611.793231	433.067626	622.737313	572.046996	10.944082	138.979369	139.409605
0.533333	612.183993	433.245198	622.315521	572.856217	10.131528	139.611019	139.978157
0.566667	612.151405	434.683969	621.039037	574.365845	8.887632	139.681877	139.964341
0.600000	611.930640	435.520794	620.868718	576.568610	8.938078	141.047816	141.330731
0.633333	612.129081	435.086105	620.006746	576.354080	7.877665	141.267975	141.487449
0.666667	612.170389	434.542883	620.263885	576.132759	8.093496	141.589877	141.821006
0.700000	612.825784	431.783056	621.333427	575.470846	8.507643	143.687790	143.939435
0.733333	615.429239	429.050213	622.999289	573.052778	7.570051	144.002566	144.201403
0.766667	616.010216	425.487198	625.813040	570.678714	9.802823	145.191516	145.522066
0.800000	616.396179	426.281029	626.371469	567.725176	9.975290	141.444147	141.795462
0.833333	617.573556	422.229554	626.302342	565.633249	8.728787	143.403695	143.669104
0.866667	616.868870	420.686297	625.655999	562.864554	8.787129	142.178257	142.449536
0.900000	619.308731	418.449775	626.838377	560.619698	7.529646	142.169923	142.369177
0.933333	623.066860	420.187985	631.072302	560.411492	8.005442	140.223507	140.451839
