etime(s)	ex	ey	tx	ty	dx	dy	ds
0.000000	656.756320	413.561740	664.410323	559.427551	7.654003	145.865811	146.066487
0.033333	650.233575	414.535623	658.193954	558.853685	7.960378	144.318062	144.537437
0.066667	645.568563	414.450596	651.742894	558.757621	6.174331	144.307025	144.439052
0.100000	639.962489	417.129667	645.217588	558.994943	5.255098	141.865276	141.962574
0.133333	634.372641	420.572500	639.982200	561.650266	5.609560	141.077765	141.189245
0.166667	627.365580	422.396307	633.669238	564.510951	6.303658	142.114644	142.254379
0.200000	618.440722	424.605272	626.658321	567.258903	8.217599	142.653631	142.890124
0.233333	606.033494	426.599751	618.308000	569.484679	12.274505	142.884928	143.411179
0.266667	595.750966	425.146299	607.110021	570.017756	11.359055	144.871457	145.316094
0.300000	586.036261	422.478798	596.060848	569.550174	10.024586	147.071376	147.412625
0.333333	579.120756	419.924089	585.697494	566.278779	6.576739	146.354691	146.502385
0.366667	572.782742	415.449705	577.927040	562.423725	5.144298	146.974019	147.064021
0.400000	570.789610	413.294719	571.598498	558.729514	0.808888	145.434794	145.437044
0.433333	565.337662	411.557227	565.645936	555.239326	0.308274	143.682099	143.682430
0.466667	559.326508	406.928532	560.741538	552.631482	1.415030	145.702950	145.709821
0.500000	552.516182	401.893550	554.358456	548.565936	1.842274	146.672386	146.683955
0.533333	547.118258	397.518076	548.789698	544.395306	1.671441	146.877230	146.886740
0.566667	540.278732	390.840600	543.613998	539.255684	3.335266	148.415084	148.452555
0.600000	530.216613	387.262507	538.961547	533.954790	8.744934	146.692283	146.952713
0.633333	528.505757	384.302712	535.391415	529.710622	6.885658	145.407911	145.570852
0.666667	525.323207	380.358314	531.741729	525.396478	6.418522	145.038164	145.180117
0.700000	525.046646	377.250895	530.145981	522.317952	5.099334	145.067057	145.156654
0.733333	522.736887	374.377082	528.842462	518.608331	6.105576	144.231249	144.360422
0.766667	517.568715	370.606221	527.444714	514.708001	9.875999	144.101780	144.439808
0.800000	513.899538	366.241067	525.133396	511.167905	11.233857	144.926838	145.361577
0.833333	506.319581	361.579097	520.523690	506.916906	14.204109	145.337810	146.030256
0.866667	500.294361	354.776294	515.065271	502.156731	14.770909	147.380437	148.118780
0.900000	492.919064	348.395276	507.696741	495.361171	14.777678	146.965894	147.706986
0.933333	487.728970	341.466819	500.705818	489.175746	12.976847	147.708927	148.277866
0.966667	483.495839	335.591884	494.667751	483.203015	11.171913	147.611131	148.033299
1.000000	480.669994	333.086968	489.877071	476.744951	9.207077	143.657984	143.952723
1.033333	482.724351	332.280016	487.914089	472.605250	5.189738	140.325234	140.421169
1.066667	482.785205	330.098416	487.031842	470.294204	4.246637	140.195788	140.260090
1.100000	480.626167	328.468410	487.604729	469.580940	6.978562	141.112531	141.284984
1.133333	477.115031	325.680814	486.237566	467.581283	9.122535	141.900469	142.193403
1.166667	475.621330	326.172379	482.628775	465.747125	7.007445	139.574746	139.750542
1.200000	477.026304	329.716198	479.886659	466.206271	2.860355	136.490073	136.520041
1.233333	475.884295	331.737426	478.512812	467.436918	2.628517	135.699493	135.724947
1.266667	473.233981	335.891313	478.402080	470.439947	5.168100	134.548634	134.647853
1.300000	472.527607	341.100633	476.364027	473.910617	3.836421	132.809984	132.865383
1.333333	471.342195	343.788443	474.001486	477.921259	2.659291	134.132816	134.159175
1.366667	466.893369	348.317732	472.635495	481.924927	5.742126	133.607195	133.730530
1.400000	462.404855	352.565711	470.626787	485.196076	8.221932	132.630365	132.884965
1.433333	462.933674	354.660840	468.505219	488.925422	5.571545	134.264583	134.380134
1.466667	464.372808	355.528608	466.315376	491.079698	1.942568	135.551090	135.565008
1.500000	467.763836	353.281506	467.343114	492.174745	-0.420722	138.893239	138.893877
1.533333	470.426229	350.489101	470.531021	491.495880	0.104792	141.006779	141.006818
1.566667	469.503420	347.967906	473.090887	488.905868	3.587466	140.937962	140.983612
1.600000	469.222792	345.712002	474.161446	485.910624	4.938654	140.198622	140.285580
1.633333	462.294113	337.501420	472.077362	481.786271	9.783249	144.284850	144.616147
1.666667	455.377911	330.545667	469.462324	478.424616	14.084413	147.878949	148.548155
1.700000	456.855307	325.069429	466.494561	473.983572	9.639254	148.914143	149.225793
1.733333	461.440493	316.362808	465.584004	467.635051	4.143510	151.272243	151.328980
1.766667	469.868844	313.132706	469.398287	460.785152	-0.470557	147.652445	147.653195
1.800000	477.492220	312.803945	476.221658	454.764210	-1.270562	141.960265	141.965951
1.833333	481.631630	313.828735	484.237884	452.428801	2.606254	138.600066	138.624568
1.866667	487.616215	314.015314	489.831115	451.903625	2.214900	137.888311	137.906099
1.900000	489.810318	312.234761	494.022611	451.946683	4.212293	139.711922	139.775408
1.933333	493.153478	312.436030	497.768641	451.135313	4.615163	138.699283	138.776046
1.966667	498.536877	311.290000	500.858420	448.953911	2.321543	137.663911	137.683485
2.000000	503.245628	309.897805	505.088394	447.965787	1.842766	138.067982	138.080279
2.033333	504.519280	310.149044	508.985126	447.158899	4.465847	137.009855	137.082618
2.066667	504.840864	309.875262	512.069092	446.774894	7.228227	136.899632	137.090323
2.100000	503.563389	309.991582	512.846834	445.928588	9.283445	135.937006	136.253631
2.133333	504.465728	310.367858	512.091841	444.995402	7.626114	134.627544	134.843366
2.166667	505.118408	309.630090	511.947096	445.338774	6.828689	135.708684	135.880381
2.200000	503.515445	312.382561	510.870410	445.062551	7.354965	132.679990	132.883691
2.233333	501.524719	313.742913	509.972681	446.031703	8.447962	132.288790	132.558259
2.266667	497.496421	315.452583	508.115748	447.674437	10.619328	132.221854	132.647611
2.300000	493.633942	318.909948	505.503623	449.793968	11.869681	130.884020	131.421140
2.333333	486.853164	319.354099	502.529897	451.742799	15.676732	132.388700	133.313645
2.366667	479.447412	319.628979	497.137372	452.371257	17.689960	132.742278	133.915821
2.400000	473.936596	322.147571	490.259150	454.279515	16.322554	132.131943	133.136307
2.433333	468.374241	323.192070	483.032402	456.380430	14.658160	133.188360	133.992541
2.466667	463.604762	327.020923	478.150667	459.031717	14.545905	132.010794	132.809763
2.500000	454.956507	330.228267	473.399113	462.780000	18.442606	132.551734	133.828591
2.533333	448.984288	332.171811	465.065495	466.654197	16.081207	134.482386	135.440456
2.566667	445.581998	335.208070	456.794971	469.662487	11.212972	134.454417	134.921166
2.600000	444.705244	338.978300	451.732883	470.537946	7.027639	131.559647	131.747214
2.633333	439.643988	345.829961	450.213921	474.103081	10.569933	128.273120	128.707874
2.666667	433.794947	352.526901	447.403719	480.773529	13.608772	128.246629	128.966648
2.700000	430.445685	357.072126	441.479216	487.180768	11.033531	130.108643	130.575640
2.733333	428.619120	360.507687	436.228564	492.567444	7.609444	132.059756	132.278807
2.766667	429.773713	363.057951	432.934522	496.594436	3.160809	133.536485	133.573888
