etime(s)	ex	ey	tx	ty	dx	dy	ds
0.000000	286.362058	214.297097	283.905734	236.137493	-2.456324	21.840396	21.978090
0.040000	283.656949	215.473047	279.206781	240.204657	-4.450168	24.731610	25.128799
0.080000	280.918440	216.322060	272.967903	241.487196	-7.950537	25.165137	26.391195
0.120000	277.579400	217.214385	265.226695	241.073462	-12.352705	23.859076	26.867170
0.160000	270.976352	218.728683	253.824618	239.202539	-17.151734	20.473856	26.708814
0.200000	263.654129	219.780387	245.489476	237.638900	-18.164653	17.858513	25.473145
0.240000	257.226870	219.464064	239.114749	236.271680	-18.112121	16.807616	24.709207
0.280000	252.758743	217.896625	231.670257	233.128516	-21.088487	15.231891	26.014126
0.320000	248.221649	216.885971	228.656245	230.166925	-19.565404	13.280954	23.647173
0.360000	244.357200	215.934501	225.183622	223.604293	-19.173578	7.669792	20.650710
0.400000	242.536291	215.286193	221.527345	217.622023	-21.008946	2.335831	21.138400
0.440000	240.511662	214.667208	216.281417	215.978247	-24.230245	1.311040	24.265688
0.480000	236.511263	213.735235	210.571304	215.059079	-25.939959	1.323844	25.973718
0.520000	231.551091	213.335634	206.119509	214.234226	-25.431582	0.898591	25.447452
0.560000	226.844893	213.195792	201.505542	213.661251	-25.339352	0.465459	25.343626
0.600000	222.556701	213.265341	195.226703	215.901342	-27.329998	2.636001	27.456826
0.640000	219.723663	213.209768	192.387389	217.343988	-27.336273	4.134220	27.647127
0.680000	217.076229	213.126170	189.453264	219.448689	-27.622965	6.322519	28.337297
0.720000	213.690539	214.148892	185.515365	220.750446	-28.175175	6.601554	28.938227
0.760000	208.079162	216.559219	182.018589	222.137352	-26.060573	5.578134	26.650873
0.800000	202.583520	219.472414	178.676743	226.397929	-23.906777	6.925515	24.889691
0.840000	198.700930	222.343827	175.129008	235.204569	-23.571921	12.860743	26.852080
0.880000	193.732279	226.526873	168.732777	246.885703	-24.999502	20.358830	32.240612
0.920000	187.100260	231.295547	163.711770	250.863339	-23.388490	19.567792	30.494589
0.960000	184.457629	234.916183	160.662767	255.360072	-23.794861	20.443890	31.371134
1.000000	181.676824	239.544790	158.529333	261.251340	-23.147491	21.706550	31.732959
1.040000	180.793153	241.148391	158.857895	267.463112	-21.935258	26.314721	34.258139
1.080000	180.046274	242.614103	161.479804	270.604445	-18.566470	27.990342	33.588287
1.120000	179.608350	244.151426	164.903619	271.090021	-14.704731	26.938595	30.690667
1.160000	179.148125	245.100243	166.673770	271.503204	-12.474355	26.402961	29.201471
1.200000	177.479446	245.745462	167.624212	271.828120	-9.855235	26.082658	27.882444
1.240000	176.113881	246.459006	167.276447	269.426037	-8.837434	22.967031	24.608631
1.280000	175.372624	246.333640	165.601562	265.909472	-9.771062	19.575832	21.878914
1.320000	175.040882	245.517457	166.871339	260.867008	-8.169543	15.349551	17.388219
1.360000	174.663237	244.163897	170.630048	256.432567	-4.033189	12.268671	12.914600
1.400000	172.555610	242.392920	173.571813	251.854765	1.016203	9.461845	9.516259
1.440000	169.667650	240.486937	169.923834	246.597077	0.256183	6.110140	6.115509
1.480000	166.874790	238.673466	161.880783	245.598549	-4.994007	6.925083	8.537967
1.520000	164.946874	237.778217	154.794258	241.863106	-10.152616	4.084889	10.943579
1.560000	163.926176	237.732534	149.525805	239.206354	-14.400371	1.473820	14.475594
1.600000	162.957398	237.609458	143.838138	241.337147	-19.119261	3.727688	19.479266
1.640000	161.377896	237.542472	140.046394	244.097710	-21.331502	6.555237	22.316006
1.680000	157.394070	237.814639	136.408592	246.158838	-20.985477	8.344199	22.583532
1.720000	152.480108	238.067740	132.770791	248.219966	-19.709317	10.152226	22.170360
1.760000	148.850674	237.919886	129.275779	250.565281	-19.574895	12.645394	23.304131
1.800000	145.987804	238.174482	127.183141	253.592500	-18.804663	15.418018	24.317291
1.840000	143.428903	238.336077	127.253750	254.178224	-16.175152	15.842147	22.640874
1.880000	143.445469	239.772082	127.269364	252.040334	-16.176105	12.268252	20.302128
1.920000	144.717362	242.185382	126.973447	254.288813	-17.743915	12.103431	21.478816
1.960000	147.152614	244.841298	129.446832	261.512262	-17.705781	16.670965	24.319041
2.000000	150.501335	247.864561	137.542381	266.848068	-12.958954	18.983507	22.984952
2.040000	154.560869	250.903893	147.795108	270.875117	-6.765761	19.971224	21.086140
2.080000	156.169882	254.966040	154.507935	272.454676	-1.661947	17.488636	17.567426
2.120000	156.914166	257.240896	158.292157	279.438416	1.377991	22.197520	22.240251
2.160000	157.287762	257.899441	158.956268	286.183999	1.668506	28.284559	28.333729
2.200000	157.743330	258.980160	157.112323	284.804005	-0.631007	25.823844	25.831553
2.240000	157.277797	260.445402	153.909799	284.652444	-3.367998	24.207041	24.440218
2.280000	156.210480	257.925779	152.749472	286.185944	-3.461008	28.260165	28.471310
2.320000	159.318221	251.759896	151.458297	284.519277	-7.859924	32.759381	33.689100
2.360000	158.522079	248.776809	152.162310	276.337090	-6.359770	27.560281	28.284550
2.400000	154.123311	248.000141	158.488442	259.333517	4.365131	11.333376	12.144949
2.440000	147.789994	249.862696	157.028249	249.303729	9.238255	-0.558967	9.255150
2.480000	147.933672	249.590491	145.997006	252.989621	-1.936666	3.399130	3.912130
2.520000	154.543294	248.485634	135.320099	261.402294	-19.223196	12.916660	23.159692
2.560000	158.761098	249.500828	148.841383	256.404112	-9.919715	6.903284	12.085366
2.600000	161.492301	251.388216	163.785585	256.723377	2.293284	5.335161	5.807159
2.640000	163.045239	252.377287	167.056911	266.687072	4.011673	14.309786	14.861476
2.680000	164.194773	253.106055	168.103363	275.108159	3.908589	22.002104	22.346580
2.720000	164.914255	253.369171	169.011550	272.930123	4.097295	19.560953	19.985462
2.760000	165.856543	254.521858	167.758261	269.367877	1.901717	14.846020	14.967325
2.800000	166.606775	255.336046	160.324863	270.229540	-6.281912	14.893494	16.164114
2.840000	167.125390	255.453148	161.327108	274.328568	-5.798281	18.875419	19.745924
2.880000	167.392987	256.228195	165.170080	276.646432	-2.222906	20.418237	20.538883
2.920000	168.447192	257.479668	171.391420	276.550378	2.944228	19.070710	19.296643
2.960000	170.191712	258.359167	172.420058	276.850668	2.228346	18.491501	18.625283
3.000000	175.154026	258.091750	175.417735	275.149102	0.263709	17.057352	17.059391
3.040000	182.762348	255.310492	182.951584	272.091864	0.189236	16.781372	16.782438
3.080000	187.408653	253.035844	193.410279	270.045176	6.001626	17.009332	18.037097
3.120000	190.067842	252.246889	201.308703	265.606720	11.240861	13.359830	17.459726
3.160000	196.549834	248.148597	207.435968	255.754717	10.886134	7.606120	13.280097
3.200000	202.806296	242.846702	213.031076	248.689751	10.224780	5.843049	11.776560
3.240000	205.974928	240.526261	219.608419	240.555821	13.633491	0.029561	13.633523
3.280000	207.796769	239.467676	217.065953	235.805000	9.269184	-3.662676	9.966593
3.320000	208.343155	238.030371	201.093818	239.560666	-7.249338	1.530295	7.409096
3.360000	208.349449	236.671889	198.264745	240.311165	-10.084704	3.639276	10.721268
3.400000	208.109596	237.235401	196.233322	236.004606	-11.876274	-1.230795	11.939880
3.440000	208.077280	240.177152	197.277183	237.536153	-10.800098	-2.640999	11.118317
3.480000	208.018171	244.634903	198.796648	245.156116	-9.221523	0.521213	9.236241
3.520000	203.413295	251.402886	201.435059	255.350872	-1.978236	3.947986	4.415882
3.560000	197.453944	254.495942	195.936967	263.597467	-1.516977	9.101525	9.227078
3.600000	190.373287	254.100617	189.370147	271.588171	-1.003140	17.487554	17.516302
3.640000	185.216359	252.803552	185.046839	273.427378	-0.169520	20.623826	20.624522
3.680000	181.551384	251.677859	179.193466	267.823060	-2.357918	16.145201	16.316474
3.720000	171.194767	252.164696	173.556608	255.821945	2.361841	3.657248	4.353591
3.760000	160.727693	251.358816	161.940680	255.698149	1.212987	4.339333	4.505680
3.800000	152.773902	249.972982	139.591060	259.280348	-13.182842	9.307366	16.137360
3.840000	145.768704	248.799866	118.866731	259.783484	-26.901973	10.983618	29.057804
3.880000	138.830788	248.585312	112.004092	256.632284	-26.826697	8.046973	28.007596
3.920000	131.470064	249.239264	110.683649	255.685799	-20.786414	6.446534	21.763107
3.960000	122.859540	250.628794	101.173089	266.702014	-21.686451	16.073220	26.993528
4.000000	114.833791	253.020818	89.364484	275.512817	-25.469307	22.491999	33.979046
4.040000	106.759777	254.703664	79.376605	281.480552	-27.383173	26.776888	38.299346
4.080000	102.093964	257.251461	71.894696	286.134716	-30.199268	28.883255	41.788015
4.120000	97.268917	261.277541	70.985801	291.720158	-26.283116	30.442618	40.218841
4.160000	81.539335	268.856973	76.852644	298.808117	-4.686691	29.951145	30.315609
4.200000	78.790857	270.396293	77.735326	306.266105	-1.055532	35.869812	35.885339
4.240000	79.474690	273.858267	77.056933	312.387655	-2.417757	38.529388	38.605172
4.280000	81.764868	279.936977	76.478765	313.926340	-5.286103	33.989362	34.397960
4.320000	81.291278	282.734363	79.815362	314.023280	-1.475916	31.288917	31.323708
4.360000	76.594583	281.732313	81.696828	313.669394	5.102246	31.937081	32.342079
4.400000	73.224298	275.882940	75.527595	313.385535	2.303297	37.502595	37.573259
4.440000	71.503902	272.387427	67.924875	305.629818	-3.579027	33.242391	33.434503
