etime(s)	ex	ey	tx	ty	dx	dy	ds
0.000000	307.021271	133.778491	304.190570	132.714013	-2.830701	-1.064478	3.024232
0.040000	307.105297	133.783679	304.055364	132.479988	-3.049933	-1.303691	3.316881
0.080000	307.319783	133.677683	304.557239	132.326036	-2.762544	-1.351647	3.075483
0.120000	307.463470	133.523914	304.965588	132.181158	-2.497883	-1.342756	2.835915
0.160000	307.550392	133.208399	304.751527	132.109808	-2.798864	-1.098590	3.006749
0.200000	307.675571	132.723589	304.021637	131.538902	-3.653934	-1.184686	3.841187
0.240000	307.668065	132.537893	303.461907	130.817234	-4.206158	-1.720659	4.544495
0.280000	307.762518	132.411920	303.920920	130.866067	-3.841598	-1.545853	4.140958
0.320000	307.825999	132.232191	303.735318	130.818956	-4.090681	-1.413235	4.327921
0.360000	307.271389	132.037526	302.804398	130.978008	-4.466991	-1.059517	4.590924
0.400000	306.545184	131.809686	301.941907	131.176711	-4.603277	-0.632975	4.646592
0.440000	306.049653	131.462941	301.336380	130.976082	-4.713273	-0.486859	4.738351
0.480000	305.778040	131.297752	300.940836	131.114272	-4.837204	-0.183479	4.840683
0.520000	305.462863	131.350185	300.305459	131.158022	-5.157403	-0.192163	5.160982
0.560000	305.238547	131.330901	300.465740	131.325267	-4.772807	-0.005634	4.772810
0.600000	305.202319	131.339150	300.857752	131.499361	-4.344566	0.160211	4.347519
0.640000	305.168873	131.347273	301.019805	131.675550	-4.149069	0.328277	4.162035
0.680000	305.120319	131.348227	301.046547	131.787309	-4.073772	0.439082	4.097366
0.720000	304.449938	131.289870	301.430522	132.021396	-3.019415	0.731526	3.106767
0.760000	303.944593	131.226567	302.062848	132.046020	-1.881745	0.819454	2.052430
0.800000	303.634442	131.157081	302.028350	132.073686	-1.606091	0.916605	1.849242
0.840000	303.191713	130.789390	302.113490	132.026379	-1.078223	1.236989	1.640947
0.880000	302.676025	130.166516	302.484402	131.679399	-0.191623	1.512883	1.524970
0.920000	302.487476	129.978001	302.727634	131.536808	0.240158	1.558807	1.577199
0.960000	302.222311	129.648944	302.720125	131.770571	0.497815	2.121627	2.179247
1.000000	302.138848	129.778715	302.217343	132.042631	0.078494	2.263917	2.265277
1.040000	302.241001	129.995696	301.718432	132.314423	-0.522569	2.318727	2.376883
1.080000	302.350361	130.099521	301.857373	132.825191	-0.492988	2.725669	2.769894
1.120000	302.131981	129.947666	302.356023	133.316796	0.224042	3.369130	3.376571
1.160000	301.877333	129.795650	302.701089	133.609558	0.823756	3.813908	3.901854
1.200000	301.937011	129.878226	303.346224	133.584792	1.409213	3.706566	3.965414
1.240000	302.033801	129.688042	304.322786	133.073654	2.288986	3.385612	4.086787
1.280000	302.047726	129.668558	305.278369	132.447450	3.230643	2.778892	4.261373
1.320000	302.021356	129.558346	305.099531	131.772020	3.078175	2.213674	3.791506
1.360000	302.025163	129.408872	303.880753	131.164682	1.855590	1.755809	2.554620
1.400000	302.092681	129.275636	303.604873	130.387249	1.512192	1.111612	1.876808
1.440000	302.242370	129.109294	303.618817	130.007762	1.376447	0.898468	1.643730
1.480000	302.405765	129.149915	303.414221	129.987787	1.008456	0.837872	1.311111
1.520000	302.734764	129.213504	303.217019	129.854639	0.482255	0.641135	0.802261
1.560000	302.809647	129.390023	303.624891	130.522942	0.815244	1.132919	1.395753
1.600000	302.727718	129.381322	303.873807	131.454223	1.146089	2.072900	2.368636
1.640000	302.653202	129.231305	304.036004	131.870475	1.382802	2.639170	2.979490
1.680000	302.697743	129.254218	304.084350	132.391910	1.386606	3.137692	3.430421
1.720000	302.797040	129.311548	303.795285	132.741391	0.998245	3.429843	3.572158
1.760000	302.797770	129.348554	303.843853	132.720482	1.046083	3.371928	3.530466
1.800000	302.874805	129.600777	303.402213	132.677028	0.527408	3.076251	3.121135
1.840000	302.974716	129.884747	302.887659	132.717765	-0.087057	2.833018	2.834356
1.880000	303.001382	130.198011	301.994045	132.824117	-1.007337	2.626106	2.812679
1.920000	303.268883	130.877685	301.520176	133.148036	-1.748707	2.270351	2.865741
1.960000	303.290087	131.488441	301.826829	133.609111	-1.463258	2.120670	2.576503
2.000000	303.307985	132.026830	301.716565	133.582550	-1.591420	1.555720	2.225507
2.040000	303.530172	132.182958	301.863617	133.123443	-1.666555	0.940485	1.913614
2.080000	303.767811	131.860928	302.281629	132.210137	-1.486182	0.349209	1.526658
2.120000	303.796364	131.581405	301.674418	131.270413	-2.121946	-0.310992	2.144614
2.160000	303.688020	131.427537	301.715344	129.570198	-1.972676	-1.857339	2.709457
2.200000	303.696981	131.145895	302.443674	128.535156	-1.253307	-2.610739	2.895986
2.240000	303.689072	130.940981	303.028303	128.061108	-0.660769	-2.879873	2.954706
2.280000	303.682079	130.242568	303.691020	127.729503	0.008941	-2.513065	2.513080
2.320000	303.654224	129.625043	303.924750	128.493576	0.270526	-1.131467	1.163358
2.360000	303.646115	129.350673	304.055092	129.433842	0.408977	0.083169	0.417348
2.400000	303.751396	129.389582	305.012681	130.144710	1.261285	0.755128	1.470054
2.440000	303.889838	129.381496	305.554043	130.661494	1.664206	1.279999	2.099518
2.480000	304.036099	129.484092	305.196522	131.226901	1.160423	1.742809	2.093792
2.520000	304.213022	129.646486	305.480090	131.574998	1.267068	1.928512	2.307514
2.560000	304.324916	129.716643	305.213787	132.116248	0.888871	2.399605	2.558945
2.600000	304.431019	129.755127	304.591430	132.501776	0.160411	2.746649	2.751329
2.640000	304.513833	129.866713	304.269396	132.659748	-0.244438	2.793035	2.803711
2.680000	304.638589	130.210597	303.855945	132.740638	-0.782644	2.530041	2.648327
2.720000	304.872865	130.477745	303.865637	132.800418	-1.007228	2.322672	2.531663
2.760000	304.906692	130.397377	303.938891	132.879835	-0.967800	2.482458	2.664439
2.800000	304.945710	130.325318	304.344688	132.590676	-0.601022	2.265358	2.343731
2.840000	305.147883	130.185836	305.317598	132.482402	0.169715	2.296566	2.302828
2.880000	305.492220	130.091884	305.843269	132.412051	0.351049	2.320167	2.346574
2.920000	305.603426	130.077509	305.963622	132.072664	0.360195	1.995154	2.027408
2.960000	305.703281	129.963331	305.652900	131.906271	-0.050381	1.942940	1.943593
3.000000	305.691407	129.877254	305.259801	131.766031	-0.431606	1.888776	1.937462
3.040000	305.814102	129.887264	305.468850	131.693735	-0.345252	1.806471	1.839168
3.080000	305.964186	129.983625	305.781314	131.821055	-0.182872	1.837430	1.846508
3.120000	306.251191	130.171003	306.099832	131.887328	-0.151358	1.716325	1.722986
3.160000	306.360626	130.328139	306.376078	131.825029	0.015452	1.496890	1.496970
3.200000	306.497081	130.534927	306.703405	132.004799	0.206323	1.469871	1.484281
3.240000	306.513432	130.639609	306.669380	132.466821	0.155948	1.827212	1.833855
3.280000	306.509378	130.671992	305.989777	133.314266	-0.519601	2.642274	2.692879
3.320000	306.521835	130.673125	305.974210	133.649822	-0.547625	2.976697	3.026652
3.360000	306.550845	130.921622	306.141224	133.919549	-0.409622	2.997927	3.025782
3.400000	306.543366	131.362459	305.966883	133.978140	-0.576482	2.615681	2.678455
3.440000	306.491330	131.373618	305.185200	133.881026	-1.306130	2.507408	2.827202
3.480000	306.381494	131.716986	304.811713	133.938873	-1.569782	2.221887	2.720477
3.520000	306.360460	132.060481	305.137814	134.067041	-1.222646	2.006560	2.349712
3.560000	306.388940	132.212168	305.661682	134.388896	-0.727259	2.176727	2.295005
3.600000	306.364286	132.224142	305.674546	134.692462	-0.689740	2.468320	2.562879
3.640000	306.403518	132.171753	305.425130	134.925964	-0.978388	2.754211	2.922828
3.680000	306.329267	132.147584	305.734939	135.247515	-0.594328	3.099931	3.156390
3.720000	306.418518	132.233016	305.893096	135.527067	-0.525423	3.294051	3.335692
3.760000	306.541813	132.611432	305.840930	135.923161	-0.700883	3.311729	3.385083
3.800000	306.582593	133.013663	305.327513	136.380296	-1.255080	3.366633	3.592971
3.840000	306.591319	133.316926	305.288385	136.322285	-1.302934	3.005359	3.275640
3.880000	306.748663	133.440779	305.342612	136.247713	-1.406051	2.806934	3.139404
3.920000	306.730208	133.571211	305.188108	135.912058	-1.542100	2.340847	2.803148
3.960000	306.528540	133.643680	304.941118	135.721529	-1.587423	2.077848	2.614836
4.000000	306.510098	133.802180	305.069486	135.736776	-1.440612	1.934596	2.412058
4.040000	306.502922	133.772923	305.016194	135.605283	-1.486729	1.832360	2.359641
4.080000	306.434472	133.811610	304.947806	135.335459	-1.486666	1.523848	2.128917
4.120000	306.278063	133.761842	304.318485	135.238502	-1.959578	1.476660	2.453665
4.160000	306.106202	133.942702	303.672077	135.388941	-2.434125	1.446239	2.831355
4.200000	306.035410	133.648436	303.957131	135.576342	-2.078279	1.927906	2.834796
4.240000	306.061902	133.357324	304.068633	135.603244	-1.993270	2.245920	3.002879
4.280000	306.000196	133.203576	303.518384	135.638175	-2.481811	2.434599	3.476587
4.320000	306.024903	133.387821	303.455414	135.912334	-2.569488	2.524514	3.602144
4.360000	305.994601	133.513756	304.101837	136.490433	-1.892764	2.976677	3.527486
4.400000	305.866893	133.534338	304.189320	136.942253	-1.677573	3.407915	3.798438
4.440000	305.927691	133.722966	304.438604	137.290029	-1.489087	3.567063	3.865401
4.480000	306.234229	133.953876	305.127897	138.030121	-1.106332	4.076245	4.223712
4.520000	306.386836	134.064364	305.377524	137.974895	-1.009312	3.910530	4.038683
4.560000	306.627771	134.301166	305.147343	137.848002	-1.480428	3.546836	3.843399
4.600000	306.657115	134.449758	304.720334	137.532713	-1.936781	3.082955	3.640842
4.640000	306.611788	134.495350	304.388587	137.369463	-2.223200	2.874113	3.633613
4.680000	306.669729	134.569492	304.697584	137.263641	-1.972145	2.694149	3.338832
4.720000	306.842218	134.660788	304.972316	137.003051	-1.869902	2.342262	2.997119
4.760000	306.886019	134.891698	305.213015	136.850256	-1.673003	1.958558	2.575828
