etime(s)	ex	ey	tx	ty	dx	dy	ds
0.000000	308.823242	206.769517	304.910364	242.296661	-3.912877	35.527144	35.741972
0.040000	308.672000	206.967427	303.586870	241.272534	-5.085130	34.305108	34.679950
0.080000	308.398789	206.729546	302.958925	240.563022	-5.439864	33.833476	34.268006
0.120000	307.900365	206.521481	302.495394	240.613736	-5.404971	34.092255	34.518047
0.160000	307.419094	206.368865	302.419199	240.317483	-4.999894	33.948618	34.314831
0.200000	306.812877	206.430865	302.262726	240.335826	-4.550150	33.904961	34.208921
0.240000	306.206659	206.492864	301.747122	241.390595	-4.459537	34.897731	35.181516
0.280000	305.041725	207.688907	300.496251	243.001510	-4.545474	35.312603	35.603950
0.320000	304.350314	208.357881	298.883433	244.381259	-5.466880	36.023377	36.435841
0.360000	303.129155	208.273568	297.342905	245.780239	-5.786250	37.506671	37.950377
0.400000	302.382062	208.896000	296.495517	246.390890	-5.886545	37.494890	37.954159
0.440000	302.151979	208.601888	296.728270	247.212127	-5.423709	38.610239	38.989322
0.480000	301.036567	208.263494	297.364771	248.435982	-3.671796	40.172488	40.339941
0.520000	300.453944	208.229881	298.054786	249.393956	-2.399158	41.164074	41.233930
0.560000	299.747067	208.730040	299.274688	250.519865	-0.472378	41.789825	41.792495
0.600000	299.496480	209.629564	300.608499	250.839912	1.112019	41.210348	41.225348
0.640000	300.078845	211.366036	301.672014	252.314899	1.593170	40.948863	40.979843
0.680000	301.816466	213.354350	303.009626	254.597486	1.193159	41.243136	41.260392
0.720000	302.265617	213.343181	303.829956	255.892344	1.564339	42.549163	42.577910
0.760000	302.690190	213.104614	304.569342	256.534424	1.879151	43.429810	43.470445
0.800000	302.952124	212.850649	305.657491	256.774651	2.705367	43.924002	44.007238
0.840000	302.974354	212.653361	306.156926	256.835869	3.182572	44.182507	44.296983
0.880000	303.241593	212.710627	306.218480	256.308421	2.976887	43.597794	43.699308
0.920000	304.116060	212.925015	306.186004	255.835125	2.069943	42.910110	42.960007
0.960000	304.539801	213.099150	306.354499	254.748555	1.814699	41.649405	41.688920
1.000000	304.704286	212.911499	306.685334	253.011958	1.981048	40.100459	40.149363
1.040000	304.958546	213.020184	306.658119	253.750829	1.699573	40.730645	40.766089
1.080000	304.619651	212.883815	306.204958	254.863287	1.585307	41.979471	42.009394
1.120000	305.054037	213.503657	305.955295	255.236460	0.901258	41.732803	41.742534
1.160000	305.067254	213.471559	305.464051	254.608184	0.396797	41.136624	41.138538
1.200000	304.882331	213.564119	304.838417	253.403284	-0.043914	39.839166	39.839190
1.240000	304.547539	212.905751	304.288849	252.828955	-0.258690	39.923203	39.924041
1.280000	303.909540	211.676776	304.306049	251.928154	0.396509	40.251378	40.253331
1.320000	304.274378	210.887169	304.289687	251.196025	0.015309	40.308857	40.308860
1.360000	304.692424	210.903820	304.099012	251.051185	-0.593412	40.147365	40.151750
1.400000	304.647873	210.502860	304.021198	251.470257	-0.626676	40.967397	40.972190
1.440000	304.891637	210.620728	304.009328	251.602436	-0.882309	40.981708	40.991205
1.480000	305.281051	209.757636	303.911811	251.860954	-1.369240	42.103317	42.125576
1.520000	305.158926	207.972986	303.835537	250.958551	-1.323389	42.985565	43.005932
1.560000	304.438972	206.623073	303.250555	247.310537	-1.188418	40.687464	40.704816
1.600000	304.043603	206.209054	302.177103	243.634579	-1.866501	37.425525	37.472040
1.640000	303.194517	205.269345	301.586292	241.523919	-1.608225	36.254573	36.290226
1.680000	302.803035	204.473595	301.729383	240.403975	-1.073652	35.930381	35.946418
1.720000	301.979886	203.528401	301.745808	239.554935	-0.234079	36.026534	36.027295
1.760000	301.391120	202.924220	301.927634	239.499172	0.536514	36.574952	36.578887
1.800000	301.573897	201.963031	301.728415	239.487418	0.154518	37.524387	37.524705
1.840000	302.594885	201.545482	301.633853	239.526463	-0.961032	37.980981	37.993138
1.880000	302.886860	201.209710	302.890413	239.770241	0.003552	38.560531	38.560531
1.920000	303.178836	200.873939	304.086323	239.907178	0.907488	39.033239	39.043787
1.960000	303.433683	200.555691	304.246155	240.027047	0.812473	39.471356	39.479717
2.000000	303.636994	200.247239	304.301822	240.154695	0.664828	39.907456	39.912993
2.040000	305.089058	199.127075	304.365579	240.277896	-0.723479	41.150821	41.157180
2.080000	305.958276	198.691759	304.342398	240.561854	-1.615878	41.870095	41.901264
2.120000	306.057267	199.025213	304.122478	242.072522	-1.934789	43.047309	43.090767
2.160000	305.889535	198.587041	303.088106	244.092363	-2.801428	45.505322	45.591472
2.200000	305.779765	198.374824	301.728131	244.175416	-4.051634	45.800592	45.979451
2.240000	305.627011	198.292719	301.494681	242.199669	-4.132329	43.906951	44.100980
2.280000	305.499212	198.237948	301.963366	240.955277	-3.535847	42.717329	42.863416
2.320000	305.371414	198.183177	302.138295	240.383472	-3.233119	42.200295	42.323964
2.360000	305.141793	198.057621	301.795185	239.432472	-3.346609	41.374851	41.509976
2.400000	303.992312	197.836223	301.516334	238.536130	-2.475977	40.699906	40.775150
2.440000	303.553686	197.808000	301.142151	237.612563	-2.411536	39.804563	39.877547
2.480000	303.616000	196.647573	301.131345	237.039661	-2.484655	40.392088	40.468435
2.520000	303.726379	195.886150	301.435976	236.704265	-2.290403	40.818114	40.882324
2.560000	303.930712	195.306194	301.689883	236.400029	-2.240829	41.093835	41.154886
2.600000	304.207885	194.788317	302.203366	236.090421	-2.004519	41.302104	41.350718
2.640000	304.576000	193.776000	302.838560	235.319790	-1.737440	41.543790	41.580105
2.680000	304.926913	193.759551	303.947693	235.017109	-0.979220	41.257558	41.269177
2.720000	306.725522	193.994571	304.189500	234.876323	-2.536022	40.881752	40.960335
2.760000	307.771470	192.642747	305.388409	235.282232	-2.383061	42.639485	42.706026
2.800000	308.887630	192.648410	306.883941	236.051642	-2.003689	43.403232	43.449457
2.840000	309.900715	192.556768	308.238287	237.237810	-1.662428	44.681042	44.711958
2.880000	310.838804	192.908552	309.811096	238.101750	-1.027708	45.193198	45.204882
2.920000	312.527722	192.646672	310.242558	238.277476	-2.285163	45.630804	45.687988
2.960000	312.586885	192.384983	310.640326	238.366265	-1.946559	45.981282	46.022466
3.000000	312.990165	191.912422	311.107453	238.307741	-1.882712	46.395319	46.433503
3.040000	312.788627	191.358029	311.175131	237.941407	-1.613496	46.583378	46.611313
3.080000	313.327709	192.006808	310.634297	237.237311	-2.693413	45.230503	45.310627
3.120000	312.896000	192.232495	309.514141	236.338842	-3.381859	44.106347	44.235809
3.160000	312.946169	191.949831	308.408357	235.844740	-4.537813	43.894910	44.128844
3.200000	313.261619	191.531295	308.426254	235.491749	-4.835365	43.960455	44.225585
3.240000	313.524465	190.992000	309.643114	235.323095	-3.881351	44.331095	44.500684
3.280000	313.808967	190.320577	310.025042	235.042890	-3.783925	44.722313	44.882105
3.320000	313.103554	190.544415	310.260527	234.764405	-2.843027	44.219990	44.311288
3.360000	313.262373	190.072352	310.337527	235.202774	-2.924846	45.130422	45.225101
3.400000	313.578946	189.486323	310.635563	235.905695	-2.943383	46.419372	46.512596
3.440000	313.124540	189.161356	310.431111	236.842676	-2.693429	47.681319	47.757332
3.480000	313.146215	190.237558	310.294682	238.108517	-2.851533	47.870959	47.955813
3.520000	312.586593	190.686235	310.107284	238.320194	-2.479308	47.633960	47.698439
3.560000	311.804384	190.715661	310.290644	238.197916	-1.513739	47.482255	47.506378
3.600000	311.146013	190.678487	309.378683	237.513956	-1.767329	46.835469	46.868802
3.640000	310.642868	191.193067	307.833861	236.869189	-2.809007	45.676122	45.762415
3.680000	310.143372	191.784801	306.734745	236.380079	-3.408627	44.595278	44.725357
3.720000	309.580547	192.262227	306.066563	236.050953	-3.513984	43.788727	43.929497
3.760000	308.852410	192.500453	305.877349	235.906905	-2.975061	43.406452	43.508288
3.800000	307.814372	193.009490	305.555437	235.781185	-2.258935	42.771695	42.831305
3.840000	306.522472	192.289091	304.242041	235.134691	-2.280431	42.845600	42.906244
3.880000	305.231153	191.586318	301.970708	234.670390	-3.260445	43.084072	43.207266
3.920000	305.137005	191.816747	299.131364	234.455846	-6.005640	42.639098	43.059963
3.960000	304.849873	191.984241	298.446391	235.243377	-6.403482	43.259136	43.730509
4.000000	304.561601	192.131401	298.322564	235.991877	-6.239037	43.860476	44.301997
4.040000	304.249767	191.858546	298.250649	235.961931	-5.999118	44.103385	44.509527
4.080000	303.915489	191.730231	298.408445	235.635191	-5.507044	43.904960	44.248989
4.120000	303.433122	191.512507	298.714951	235.050043	-4.718171	43.537536	43.792444
4.160000	302.545231	190.941231	299.562434	234.183812	-2.982797	43.242581	43.345333
4.200000	302.016000	191.141479	301.045339	233.473302	-0.970661	42.331823	42.342950
4.240000	301.925457	190.791005	301.880644	233.028485	-0.044813	42.237480	42.237503
4.280000	301.973669	190.826304	302.200328	232.859451	0.226659	42.033147	42.033758
4.320000	301.954919	191.278540	302.749585	232.518755	0.794666	41.240214	41.247870
4.360000	301.999408	191.457782	303.116675	232.436336	1.117266	40.978554	40.993782
4.400000	301.768294	191.557156	303.926697	232.692199	2.158403	41.135043	41.191631
4.440000	302.180613	192.336988	304.233034	233.212448	2.052422	40.875459	40.926954
4.480000	302.303613	192.998469	303.633713	233.753247	1.330100	40.754779	40.776478
4.520000	301.958186	192.846959	303.438010	233.856026	1.479824	41.009067	41.035758
4.560000	301.956461	193.571164	302.951751	233.821812	0.995291	40.250649	40.262952
4.600000	302.051880	193.743271	302.418099	233.838814	0.366220	40.095543	40.097216
4.640000	302.067417	194.216660	302.095007	234.665748	0.027590	40.449088	40.449097
4.680000	302.464000	194.448526	302.159436	235.166950	-0.304564	40.718425	40.719564
4.720000	302.464000	194.489823	302.325874	234.812792	-0.138126	40.322969	40.323205
4.760000	302.464000	194.531121	301.883713	234.590172	-0.580287	40.059051	40.063254
4.800000	302.251668	194.026441	301.325514	234.840640	-0.926154	40.814199	40.824705
4.840000	302.210659	195.510907	300.838746	235.579338	-1.371913	40.068431	40.091911
4.880000	302.889825	196.919053	300.410713	236.272243	-2.479112	39.353190	39.431200
4.920000	303.926310	197.239267	301.068056	236.566860	-2.858254	39.327593	39.431322
4.960000	304.648772	196.945645	302.123555	236.991978	-2.525217	40.046333	40.125871
5.000000	305.858944	195.941976	303.477146	237.406974	-2.381797	41.464997	41.533348
5.040000	306.978835	195.435024	305.982289	237.194179	-0.996546	41.759155	41.771045
5.080000	307.949630	195.159301	307.720147	236.589978	-0.229483	41.430677	41.431313
5.120000	308.396080	194.525880	309.490513	235.680240	1.094433	41.154360	41.168910
5.160000	308.898214	194.215447	308.799430	234.642883	-0.098783	40.427436	40.427557
5.200000	309.364501	193.718246	307.974122	233.720805	-1.390379	40.002559	40.026715
5.240000	310.591538	194.224575	308.387265	232.808052	-2.204273	38.583477	38.646391
5.280000	310.394823	193.729411	309.323764	232.086518	-1.071060	38.357108	38.372059
5.320000	310.354850	193.369647	309.615833	232.223821	-0.739017	38.854174	38.861202
5.360000	310.374627	192.591625	309.938133	232.536001	-0.436494	39.944375	39.946760
5.400000	310.601383	192.222207	310.220060	232.645608	-0.381323	40.423400	40.425199
5.440000	310.776540	192.430824	310.223533	232.436095	-0.553007	40.005271	40.009093
5.480000	311.056603	192.789339	309.851262	232.161954	-1.205341	39.372615	39.391060
5.520000	311.472711	193.515912	309.062775	231.986114	-2.409936	38.470202	38.545612
5.560000	311.511652	194.617044	308.381786	232.576783	-3.129866	37.959738	38.088552
5.600000	310.904054	194.879007	307.296382	233.149183	-3.607671	38.270176	38.439845
5.640000	310.245491	194.154887	306.297592	232.848530	-3.947899	38.693643	38.894523
5.680000	310.061508	193.707738	305.798369	231.678166	-4.263139	37.970428	38.209001
5.720000	309.974541	193.807094	305.696985	230.558210	-4.277556	36.751115	36.999216
5.760000	310.288702	193.866088	305.827612	230.149251	-4.461090	36.283163	36.556384
5.800000	310.080838	194.356398	306.290458	230.412784	-3.790380	36.056386	36.255067
5.840000	309.954437	194.688000	307.119548	230.603996	-2.834889	35.915996	36.027703
5.880000	309.906877	194.829237	307.939534	230.406918	-1.967343	35.577681	35.632034
5.920000	310.577096	194.960877	308.720554	231.179017	-1.856542	36.218140	36.265692
5.960000	310.912000	195.830045	309.249651	231.323094	-1.662349	35.493050	35.531957
6.000000	310.836874	195.792000	308.801608	229.626482	-2.035266	33.834482	33.895641
6.040000	310.533118	195.792000	307.970862	230.121304	-2.562257	34.329304	34.424792
6.080000	310.336000	195.045572	307.872467	231.278476	-2.463533	36.232904	36.316557
6.120000	311.631287	194.067579	308.585473	231.598645	-3.045815	37.531065	37.654453
6.160000	312.297585	194.128811	309.591845	231.706848	-2.705740	37.578037	37.675322
6.200000	312.929062	193.619124	310.176831	231.979759	-2.752231	38.360635	38.459240
