etime(s)	ex	ey	tx	ty	dx	dy	ds
0.000000	292.972829	220.983649	297.591959	244.230074	4.619130	23.246425	23.700900
0.040000	292.548421	220.114791	298.637102	243.695629	6.088681	23.580838	24.354219
0.080000	292.422901	219.581327	299.849083	242.806977	7.426183	23.225650	24.383991
0.120000	291.964362	219.152995	300.753708	242.282982	8.789346	23.129988	24.743664
0.160000	291.835628	218.637541	301.363149	242.035484	9.527522	23.397943	25.263361
0.200000	291.475136	218.444970	301.528431	242.031977	10.053295	23.587007	25.640118
0.240000	291.595717	217.063089	300.983710	242.061676	9.387993	24.998587	26.703254
0.280000	293.164876	213.763249	300.859266	242.090462	7.694390	28.327213	29.353614
0.320000	293.892156	212.653520	300.803265	241.954490	6.911109	29.300969	30.104987
0.360000	294.619436	211.543792	300.471593	241.801114	5.852157	30.257323	30.818068
0.400000	294.656000	211.488000	300.691842	242.237200	6.035842	30.749200	31.335997
0.440000	294.656000	211.488000	301.003806	243.204036	6.347806	31.716036	32.345039
0.480000	300.506747	211.473470	301.522999	243.913928	1.016252	32.440458	32.456372
0.520000	312.224060	211.444371	302.327332	244.306391	-9.896727	32.862020	34.319930
0.560000	311.594000	205.290347	303.125997	244.659681	-8.468004	39.369334	40.269735
0.600000	307.453434	205.211465	304.335556	244.986378	-3.117878	39.774913	39.896928
0.640000	301.057735	217.286105	305.516694	245.239044	4.458960	27.952939	28.306344
0.680000	295.182621	222.134445	306.277890	245.339278	11.095270	23.204833	25.720989
0.720000	289.865339	226.164291	306.922643	245.393537	17.057304	19.229246	25.704387
0.760000	285.414034	229.877497	307.543647	245.075551	22.129613	15.198054	26.845867
0.800000	283.612966	230.438898	308.191339	243.853207	24.578373	13.414309	28.000717
0.840000	284.122104	229.591685	308.332541	242.554788	24.210437	12.963103	27.462471
0.880000	285.273134	228.592218	308.214595	241.354313	22.941461	12.762095	26.252271
0.920000	285.648818	227.948005	307.198772	240.800189	21.549954	12.852184	25.091416
0.960000	285.780563	227.513521	305.887477	240.842025	20.106915	13.328503	24.123371
1.000000	285.880785	227.107621	305.807664	241.314632	19.926879	14.207011	24.472835
1.040000	285.981007	226.701720	305.038605	242.179676	19.057598	15.477956	24.551154
1.080000	286.465968	226.095970	302.770566	243.137519	16.304597	17.041549	23.585044
1.120000	286.528000	225.984000	300.735299	244.077033	14.207299	18.093033	23.004460
1.160000	286.528000	225.984000	298.474501	245.091248	11.946501	19.107248	22.534547
1.200000	291.801751	219.491996	297.350848	246.178442	5.549096	26.686446	27.257272
1.240000	301.739569	207.258512	297.624507	246.940205	-4.115062	39.681693	39.894492
1.280000	300.611972	201.133915	297.631902	247.522744	-2.980070	46.388829	46.484452
1.320000	286.070540	203.687803	297.717666	247.044979	11.647126	43.357176	44.894323
1.360000	293.024632	205.848539	297.601686	246.200346	4.577054	40.351807	40.610562
1.400000	288.305035	216.890069	298.591719	245.306685	10.286684	28.416616	30.221183
1.440000	286.865882	223.763813	299.899372	245.185921	13.033490	21.422108	25.075458
1.480000	291.157513	224.678940	300.540413	245.732585	9.382900	21.053645	23.049832
1.520000	292.942137	227.032199	300.730825	245.970011	7.788687	18.937812	20.476923
1.560000	293.349547	228.249920	300.317374	245.970360	6.967828	17.720440	19.041130
1.600000	293.045891	227.772623	300.059296	245.799763	7.013404	18.027140	19.343361
1.640000	292.277662	226.666713	300.183702	245.784972	7.906039	19.118258	20.688481
1.680000	292.025119	226.097787	300.307529	245.846075	8.282410	19.748288	21.414789
1.720000	291.135926	225.465534	300.225686	246.292909	9.089759	20.827376	22.724509
1.760000	290.524693	224.930577	300.383363	246.274179	9.858671	21.343602	23.510481
1.800000	290.105400	224.640000	300.194955	246.130144	10.089555	21.490144	23.740797
1.840000	289.901582	224.516374	300.269606	246.241125	10.368024	21.724751	24.071990
1.880000	289.650270	224.157140	300.933387	246.673314	11.283117	22.516175	25.185052
1.920000	288.683361	223.955700	301.761899	246.922117	13.078539	22.966417	26.429235
1.960000	287.785417	223.238828	302.491826	246.767904	14.706409	23.529076	27.746998
2.000000	288.771215	221.839203	303.434702	246.379873	14.663487	24.540670	28.587801
2.040000	288.726223	221.970832	304.316117	245.707663	15.589894	23.736831	28.398626
2.080000	289.717223	220.670145	304.526675	244.776895	14.809452	24.106750	28.292318
2.120000	290.310087	219.896391	304.622174	243.616003	14.312087	23.719611	27.702993
2.160000	290.432000	219.744000	304.238504	242.463906	13.806504	22.719906	26.585968
2.200000	290.432000	219.744000	304.079928	241.629076	13.647928	21.885076	25.791907
2.240000	294.702505	215.619080	303.457787	240.655598	8.755282	25.036517	26.523238
2.280000	309.560311	201.267790	303.026177	240.338769	-6.534134	39.070979	39.613587
2.320000	306.830388	204.100848	302.972097	240.746472	-3.858291	36.645624	36.848177
2.360000	301.450179	206.430932	302.431376	240.595827	0.981197	34.164895	34.178981
2.400000	296.244376	201.132169	301.388355	240.447187	5.143979	39.315018	39.650109
2.440000	284.777361	193.334241	300.254773	240.659262	15.477412	47.325022	49.791645
2.480000	277.865129	189.598008	298.702289	240.750037	20.837159	51.152029	55.233299
2.520000	274.957761	189.678295	297.509581	240.904001	22.551820	51.225706	55.970149
2.560000	277.022081	193.274027	297.131841	241.298930	20.109760	48.024903	52.065284
2.600000	279.734521	194.030501	297.091006	241.306947	17.356485	47.276446	50.361790
2.640000	282.986393	194.525923	296.949898	241.689378	13.963505	47.163455	49.187102
2.680000	285.965886	195.123894	296.796726	241.991058	10.830841	46.867164	48.102371
2.720000	287.083870	195.583721	296.519329	242.050111	9.435459	46.466390	47.414694
2.760000	287.476301	196.275380	296.840806	242.585449	9.364505	46.310070	47.247397
2.800000	287.868731	196.967038	297.151378	243.835019	9.282647	46.867981	47.778396
2.840000	288.920235	197.895243	297.516554	244.821028	8.596319	46.925785	47.706666
2.880000	290.758394	199.341114	297.937574	245.722516	7.179180	46.381402	46.933730
2.920000	292.351419	200.174924	298.322805	246.712756	5.971386	46.537832	46.919370
2.960000	294.407570	200.739964	299.238962	247.412698	4.831393	46.672734	46.922132
3.000000	297.235831	203.136000	300.559921	247.035144	3.324090	43.899144	44.024816
3.040000	295.879410	219.700338	301.028280	246.821178	5.148869	27.120840	27.605268
3.080000	291.085336	226.784914	301.464439	247.182159	10.379102	20.397245	22.886096
3.120000	288.704000	230.304000	302.869052	247.285826	14.165052	16.981826	22.114048
3.160000	289.059615	229.847302	304.324431	246.640194	15.264815	16.792892	22.693960
3.200000	305.599864	208.605544	305.128839	246.441432	-0.471025	37.835888	37.838819
3.240000	304.044547	213.136618	305.616694	246.593422	1.572147	33.456805	33.493722
3.280000	301.132212	215.762197	306.006209	247.371435	4.873997	31.609238	31.982804
3.320000	297.813536	216.783741	306.589104	248.004890	8.775568	31.221148	32.431014
3.360000	291.498563	224.835332	306.725981	248.149949	15.227418	23.314617	27.846824
3.400000	287.441618	228.680332	307.160252	248.306486	19.718635	19.626154	27.821044
3.440000	286.208000	228.602541	306.840352	248.258216	20.632352	19.655674	28.496307
3.480000	285.846308	228.605075	306.224838	248.103031	20.378529	19.497956	28.203808
3.520000	287.128527	226.655840	305.933054	247.922832	18.804527	21.266992	28.388293
3.560000	288.861536	224.334279	305.080844	247.912534	16.219308	23.578255	28.618177
3.600000	289.945409	223.683955	304.460972	247.815916	14.515563	24.131961	28.161199
3.640000	290.680228	222.494896	303.054229	247.873073	12.374001	25.378177	28.234159
3.680000	292.127005	220.169687	302.484823	247.822714	10.357819	27.653026	29.529211
3.720000	292.705780	218.167669	302.818942	247.553236	10.113161	29.385567	31.077123
3.760000	292.288000	217.298210	303.428765	246.637891	11.140765	29.339681	31.383651
3.800000	291.914330	215.985336	304.185505	245.599424	12.271175	29.614088	32.055826
3.840000	292.696407	215.359674	304.499544	244.608804	11.803136	29.249130	31.540857
3.880000	292.799637	214.558457	305.165168	244.244790	12.365531	29.686333	32.158743
3.920000	292.735361	214.285284	305.695646	243.956039	12.960285	29.670755	32.377812
3.960000	292.671085	214.012112	306.758055	243.745515	14.086970	29.733403	32.901641
4.000000	292.622708	213.730963	306.778041	243.857919	14.155333	30.126955	33.286738
4.040000	293.407358	212.705193	307.269804	243.828486	13.862446	31.123293	34.070908
4.080000	294.144990	211.056248	307.510692	243.902063	13.365701	32.845816	35.461100
4.120000	294.345137	211.069736	308.297081	243.695802	13.951944	32.626066	35.484038
4.160000	294.477456	210.902728	309.785377	242.910668	15.307922	32.007940	35.480145
4.200000	294.950890	211.348798	310.402356	241.990632	15.451466	30.641835	34.317194
4.240000	295.140522	211.675435	310.596018	241.103647	15.455496	29.428212	33.239916
4.280000	296.317103	211.416850	310.382504	240.447706	14.065401	29.030857	32.258737
4.320000	296.562841	210.937661	310.377623	239.987534	13.814783	29.049873	32.167427
4.360000	296.576000	210.648137	310.632396	240.379701	14.056396	29.731563	32.886899
4.400000	297.343942	209.880109	310.138607	240.378019	12.794665	30.497910	33.073040
4.440000	298.304508	208.181987	309.311993	239.936152	11.007485	31.754166	33.607912
4.480000	299.635523	206.031355	308.637753	239.532951	9.002229	33.501596	34.690014
4.520000	301.546021	202.878401	307.809464	239.051809	6.263443	36.173409	36.711663
4.560000	302.780629	201.266529	307.224700	238.306594	4.444072	37.040066	37.305713
4.600000	304.466300	199.636875	306.735580	237.705705	2.269280	38.068830	38.136406
4.640000	305.154366	198.531054	305.856442	237.406641	0.702076	38.875587	38.881926
4.680000	306.765390	197.488749	305.325869	237.634042	-1.439522	40.145293	40.171094
4.720000	307.511753	196.444952	305.382843	237.942306	-2.128910	41.497354	41.551927
4.760000	307.529135	195.284609	305.387677	237.973959	-2.141458	42.689350	42.743028
4.800000	307.520135	194.352000	305.382605	237.837053	-2.137529	43.485053	43.537557
4.840000	308.407662	194.764183	305.766844	237.458840	-2.640818	42.694656	42.776250
4.880000	308.308227	194.806685	306.835600	236.870628	-1.472627	42.063943	42.089713
4.920000	308.203981	194.304014	308.048819	236.273071	-0.155161	41.969057	41.969344
4.960000	307.486566	194.835821	309.122493	235.364665	1.635927	40.528844	40.561848
5.000000	307.811907	194.876488	310.078119	234.591334	2.266213	39.714845	39.779450
5.040000	308.137248	194.917156	312.373984	233.260099	4.236736	38.342943	38.576304
5.080000	308.760912	194.958976	314.900320	232.115371	6.139408	37.156395	37.660192
5.120000	308.885794	194.688778	316.482552	233.308836	7.596758	38.620059	39.360128
5.160000	308.991418	193.682618	317.993263	232.423267	9.001845	38.740649	39.772743
5.200000	310.380955	193.762079	316.795387	230.877987	6.414432	37.115908	37.666106
5.240000	311.333508	194.347536	313.773805	233.740764	2.440296	39.393228	39.468740
5.280000	312.625568	194.832920	308.797606	242.376047	-3.827962	47.543127	47.696984
5.320000	311.859259	197.082770	305.567378	248.316202	-6.291882	51.233432	51.618333
5.360000	310.807963	199.387419	306.060340	250.491261	-4.747623	51.103842	51.323899
5.400000	310.258524	201.071566	306.240408	256.649826	-4.018117	55.578259	55.723318
5.440000	309.709086	202.755714	305.329396	264.638472	-4.379690	61.882758	62.037548
5.480000	307.281494	206.930188	302.631943	265.938671	-4.649551	59.008483	59.191379
5.520000	295.980510	210.392133	299.615017	263.781407	3.634507	53.389274	53.512841
5.560000	288.392081	215.478946	297.160002	262.949744	8.767921	47.470799	48.273732
5.600000	285.101830	219.360626	295.835527	259.957312	10.733698	40.596687	41.991704
5.640000	282.242882	217.272841	294.712679	254.528221	12.469798	37.255380	39.286883
5.680000	280.020587	214.692026	293.808378	251.737963	13.787791	37.045936	39.528529
5.720000	278.457321	212.083210	291.765418	250.201560	13.308097	38.118349	40.374670
5.760000	278.380153	213.414353	288.925505	248.741024	10.545352	35.326670	36.867032
5.800000	278.216969	214.555411	286.816916	255.008950	8.599946	40.453539	41.357561
5.840000	277.938746	215.442247	284.790501	265.654798	6.851755	50.212552	50.677874
5.880000	278.136621	249.230068	282.965398	279.377198	4.828776	30.147130	30.531402
5.920000	273.219209	281.767969	281.394368	301.387077	8.175159	19.619109	21.254238
5.960000	253.771725	247.457466	280.289731	320.127286	26.518006	72.669821	77.357013
6.000000	259.480604	248.171076	281.357443	302.156728	21.876839	53.985653	58.249865
6.040000	266.446414	251.552490	282.836704	288.668524	16.390290	37.116034	40.573903
6.080000	273.400911	255.703625	284.481794	285.804755	11.080883	30.101130	32.075910
6.120000	276.747047	254.892831	286.138222	282.739425	9.391175	27.846594	29.387531
6.160000	246.944844	274.959387	287.022503	282.024353	40.077659	7.064966	40.695607
6.200000	227.387805	289.214060	287.885661	277.996489	60.497856	-11.217571	61.529054
6.240000	218.933876	297.135818	288.546311	273.594741	69.612435	-23.541077	73.485192
6.280000	210.479946	305.057576	289.027459	273.388195	78.547513	-31.669381	84.691567
6.320000	204.864000	310.320000	286.620266	296.323699	81.756266	-13.996301	82.945666
6.360000	204.864000	310.320000	283.797966	331.885384	78.933966	21.565384	81.826871
6.400000	204.864000	310.320000	280.884186	380.706273	76.020186	70.386273	103.601622
6.440000	204.864000	310.320000	283.074410	390.182877	78.210410	79.862877	111.780801
6.480000	204.864000	310.320000	288.418006	373.341501	83.554006	63.021501	104.656493
6.520000	233.526580	290.483191	293.390271	358.828963	59.863690	68.345773	90.855964
6.560000	286.028044	254.073754	299.035950	337.363496	13.007906	83.289742	84.299388
6.600000	283.249629	252.028533	304.955855	317.044522	21.706225	65.015989	68.543702
6.640000	292.848100	246.570827	306.005380	305.071776	13.157280	58.500948	59.962279
6.680000	299.667627	240.037793	304.645988	294.506986	4.978361	54.469193	54.696225
6.720000	298.326864	236.943253	302.620288	280.264140	4.293425	43.320887	43.533122
6.760000	285.190644	267.196685	300.443034	278.981458	15.252389	11.784773	19.274757
6.800000	281.073543	278.865080	298.692008	281.680469	17.618465	2.815389	17.841993
6.840000	281.492772	268.562741	296.093477	292.477220	14.600705	23.914480	28.019331
6.880000	277.842941	240.721656	292.529828	310.740429	14.686887	70.018774	71.542528
6.920000	277.320830	215.899498	287.651104	313.453443	10.330274	97.553945	98.099371
6.960000	279.373627	199.673506	285.419059	292.764080	6.045432	93.090574	93.286667
7.000000	284.031770	193.242795	284.148009	262.182718	0.116238	68.939923	68.940021
7.040000	284.950090	189.920984	281.242635	247.295101	-3.707455	57.374117	57.493778
7.080000	285.584634	187.927472	280.108323	240.107341	-5.476311	52.179869	52.466453
7.120000	286.372541	187.270882	280.135616	237.451314	-6.236925	50.180432	50.566540
7.160000	281.767093	200.810461	281.708155	231.572960	-0.058939	30.762499	30.762556
7.200000	277.511988	213.003927	284.855220	225.466437	7.343232	12.462510	14.465035
7.240000	275.712000	218.112000	289.102946	222.954132	13.390946	4.842132	14.239511
7.280000	275.712000	218.112000	291.714726	235.352031	16.002726	17.240031	23.522456
7.320000	275.712000	218.112000	293.802575	250.120215	18.090575	32.008215	36.766761
7.360000	275.712000	218.112000	294.656143	280.505385	18.944143	62.393385	65.205944
7.400000	275.712000	218.112000	298.332952	291.360261	22.620952	73.248261	76.661693
7.440000	275.712000	218.112000	304.449954	282.584491	28.737954	64.472491	70.587337
7.480000	275.712000	218.112000	310.018983	268.082106	34.306983	49.970106	60.613370
7.520000	275.712000	218.112000	315.596932	273.051993	39.884932	54.939993	67.891168
7.560000	275.712000	218.112000	318.869448	286.963533	43.157448	68.851533	81.259454
7.600000	275.712000	218.112000	321.198051	297.273304	45.486051	79.161304	91.298921
7.640000	286.684000	224.656323	320.814405	297.215349	34.130404	72.559025	80.185389
7.680000	307.588839	240.038398	318.883139	295.049547	11.294300	55.011149	56.158595
7.720000	297.910200	278.657799	316.897952	297.189195	18.987752	18.531396	26.532006
7.760000	290.490862	270.393017	311.408591	303.261903	20.917729	32.868886	38.960429
7.800000	287.993818	255.548557	306.863858	311.225981	18.870040	55.677424	58.788212
7.840000	292.205701	239.688863	303.854378	312.270932	11.648677	72.582070	73.510874
7.880000	288.452846	239.319817	299.470425	297.295607	11.017579	57.975790	59.013382
7.920000	293.172552	240.544609	297.023761	285.931628	3.851210	45.387019	45.550119
7.960000	299.435516	222.804618	296.061232	278.227949	-3.374284	55.423331	55.525953
8.000000	299.410397	182.912457	296.262247	275.630124	-3.148150	92.717666	92.771097
8.040000	299.674809	178.549647	295.270416	270.459197	-4.404393	91.909550	92.015021
8.080000	300.138368	170.435022	297.304376	251.572092	-2.833992	81.137070	81.186549
8.120000	300.672000	160.944000	300.269712	235.342726	-0.402288	74.398726	74.399813
8.160000	300.672000	160.944000	301.018113	242.133244	0.346113	81.189244	81.189982
8.200000	300.672000	160.944000	299.335232	254.959829	-1.336768	94.015829	94.025332
8.240000	300.672000	160.944000	296.665994	278.873303	-4.006006	117.929303	117.997324
8.280000	300.672000	160.944000	293.481064	309.986999	-7.190936	149.042999	149.216370
8.320000	305.276025	179.976710	292.646646	314.872244	-12.629379	134.895534	135.485447
8.360000	311.330262	205.305066	292.052011	286.325982	-19.278251	81.020916	83.282890
8.400000	307.131468	201.411023	290.355354	259.071419	-16.776115	57.660396	60.051305
8.440000	313.192542	193.811224	290.028723	251.793727	-23.163819	57.982503	62.438235
8.480000	320.668906	185.883064	290.110805	248.477369	-30.558100	62.594305	69.655183
8.520000	316.714127	182.478809	290.863637	242.923221	-25.850491	60.444412	65.740207
8.560000	311.043722	195.377418	292.174976	232.856331	-18.868746	37.478913	41.960678
8.600000	305.746409	211.105321	294.134804	227.816453	-11.611605	16.711132	20.349233
8.640000	304.038965	232.156857	295.114190	231.305587	-8.924775	-0.851269	8.965282
8.680000	304.492936	234.088150	293.777587	243.622300	-10.715350	9.534150	14.342898
8.720000	308.819401	219.622283	293.209215	262.418616	-15.610186	42.796333	45.554407
8.760000	318.606520	196.728184	293.601250	285.869885	-25.005270	89.141701	92.582430
8.800000	313.912816	181.571499	297.899160	264.442708	-16.013655	82.871209	84.404232
8.840000	307.866858	171.399457	301.601836	241.173742	-6.265021	69.774285	70.054988
8.880000	305.106218	164.956676	303.979164	223.948819	-1.127055	58.992143	59.002908
8.920000	313.110031	165.725335	302.950763	222.619476	-10.159269	56.894141	57.794066
8.960000	318.469497	163.945585	301.596744	222.349422	-16.872753	58.403837	60.792253
9.000000	320.320000	163.104000	301.291781	220.938525	-19.028219	57.834525	60.884361
9.040000	320.320000	163.104000	302.990809	221.958479	-17.329191	58.854479	61.352673
9.080000	320.320000	163.104000	304.951356	232.715272	-15.368644	69.611272	71.287618
9.120000	320.320000	163.104000	305.876637	240.690856	-14.443363	77.586856	78.919775
9.160000	320.320000	163.104000	306.407200	252.621862	-13.912800	89.517862	90.592570
9.200000	320.320000	163.104000	305.416717	281.690312	-14.903283	118.586312	119.519125
9.240000	320.320000	163.104000	306.205861	290.957362	-14.114139	127.853362	128.630055
9.280000	337.548119	176.094186	309.237841	278.066949	-28.310278	101.972763	105.829657
9.320000	338.338146	183.203919	317.329190	262.310543	-21.008956	79.106624	81.848849
9.360000	331.978788	185.587116	323.466557	245.789185	-8.512231	60.202069	60.800881
9.400000	333.728716	185.660030	322.733643	238.958133	-10.995074	53.298103	54.420395
9.440000	328.165161	178.008702	319.514391	235.793162	-8.650770	57.784461	58.428415
9.480000	318.368404	184.588395	315.669264	232.101011	-2.699140	47.512616	47.589222
9.520000	309.474028	195.836601	313.580049	227.173561	4.106021	31.336960	31.604817
