etime(s)	ex	ey	tx	ty	dx	dy	ds
0.000000	300.074567	283.348086	288.686657	278.767533	-11.387910	-4.580553	12.274606
0.040000	300.101956	283.351941	288.233366	278.729018	-11.868589	-4.622923	12.737144
0.080000	299.633182	282.959200	287.780076	278.690503	-11.853107	-4.268697	12.598330
0.120000	299.303683	282.488988	287.326785	278.651988	-11.976898	-3.837000	12.576512
0.160000	299.146879	282.243928	287.170439	278.895008	-11.976440	-3.348920	12.435851
0.200000	299.087045	282.072564	287.223833	279.098096	-11.863211	-2.974468	12.230423
0.240000	298.897813	282.086233	287.089770	278.999061	-11.808043	-3.087172	12.204938
0.280000	298.600503	281.985621	286.883723	278.757371	-11.716780	-3.228250	12.153375
0.320000	298.028426	281.965402	286.723209	278.438427	-11.305217	-3.526976	11.842614
0.360000	297.422185	281.668771	286.450315	277.766450	-10.971870	-3.902321	11.645172
0.400000	296.012045	280.721502	285.905762	277.074284	-10.106283	-3.647218	10.744262
0.440000	294.330008	280.198657	284.487565	276.632391	-9.842443	-3.566266	10.468617
0.480000	292.373910	279.620792	282.111764	275.758660	-10.262146	-3.862131	10.964839
0.520000	290.793159	278.463201	276.477079	274.929236	-14.316080	-3.533965	14.745815
0.560000	289.438992	277.784579	273.006778	274.295302	-16.432214	-3.489277	16.798593
0.600000	287.860417	277.183502	270.521903	273.385942	-17.338514	-3.797560	17.749522
0.640000	286.112030	276.779838	267.301100	273.576787	-18.810930	-3.203051	19.081683
0.680000	284.830867	276.655195	265.906106	273.243774	-18.924761	-3.411420	19.229778
0.720000	284.404897	276.751366	264.617061	273.395472	-19.787836	-3.355894	20.070388
0.760000	283.931966	276.802118	262.993249	275.019421	-20.938717	-1.782697	21.014468
0.800000	283.179056	276.883621	262.362341	275.521163	-20.816715	-1.362457	20.861254
0.840000	281.737894	277.573835	262.304218	275.180804	-19.433675	-2.393031	19.580458
0.880000	281.016623	278.066565	262.264320	274.810083	-18.752303	-3.256482	19.032960
0.920000	280.988964	277.926061	262.224422	274.439362	-18.764542	-3.486699	19.085731
0.960000	281.680912	278.108798	262.230966	274.363813	-19.449946	-3.744985	19.807203
1.000000	283.033788	277.787494	264.085936	276.906531	-18.947852	-0.880963	18.968321
1.040000	283.996030	277.720321	268.145967	276.510866	-15.850063	-1.209455	15.896140
1.080000	284.612631	277.681117	272.876703	275.708468	-11.735927	-1.972650	11.900560
1.120000	284.938158	277.524598	277.651388	276.352642	-7.286769	-1.171956	7.380412
1.160000	283.997449	276.814056	279.394809	276.544569	-4.602641	-0.269488	4.610523
1.200000	278.927387	275.543485	279.560906	276.113824	0.633519	0.570339	0.852428
1.240000	271.670158	273.687308	278.437455	274.825503	6.767296	1.138195	6.862346
1.280000	261.591164	270.398476	267.107355	271.324940	5.516191	0.926464	5.593452
1.320000	252.830225	267.969905	250.478209	268.769320	-2.352016	0.799415	2.484159
1.360000	249.524913	266.528749	235.427805	267.465260	-14.097108	0.936511	14.128181
1.400000	247.807560	266.088021	221.943555	268.713740	-25.864005	2.625719	25.996945
1.440000	246.169882	265.396994	211.951541	270.388653	-34.218340	4.991660	34.580507
1.480000	242.979737	264.569938	206.791053	270.994565	-36.188684	6.424627	36.754546
1.520000	237.759757	262.709409	202.300012	271.219256	-35.459745	8.509847	36.466573
1.560000	231.726609	260.735966	197.808971	271.443947	-33.917638	10.707981	35.567781
1.600000	226.885000	259.894985	193.317929	271.668637	-33.567070	11.773653	35.571999
1.640000	223.790999	259.364469	190.597669	266.358371	-33.193330	6.993902	33.922143
1.680000	219.135401	258.918327	190.558841	262.915442	-28.576560	3.997115	28.854752
