etime(s)	ex	ey	tx	ty	dx	dy	ds
0.000000	855.169528	393.745108	838.589607	412.098967	-16.579920	18.353859	24.733740
0.040000	854.571700	394.303953	838.600077	412.335270	-15.971623	18.031316	24.087779
0.080000	853.629102	400.832328	838.276469	412.006980	-15.352632	11.174652	18.988843
0.120000	853.356631	408.693785	838.310458	412.358634	-15.046173	3.664848	15.486072
0.160000	853.001485	419.226790	838.394657	412.901747	-14.606828	-6.325042	15.917462
0.200000	852.417330	424.710211	838.769812	412.474322	-13.647518	-12.235889	18.329532
0.240000	852.129905	421.732391	838.819096	411.575208	-13.310809	-10.157182	16.743536
0.280000	851.374793	423.188413	838.097478	410.931205	-13.277315	-12.257207	18.070037
0.320000	851.310196	415.097339	837.398520	410.191054	-13.911676	-4.906285	14.751487
0.360000	853.355788	385.674336	837.385075	409.508402	-15.970713	23.834066	28.690179
0.400000	851.966010	407.372486	837.871082	409.657472	-14.094928	2.284986	14.278941
0.440000	851.238846	414.066187	837.102890	409.668416	-14.135956	-4.397771	14.804244
0.480000	851.412049	412.564914	835.835456	409.330291	-15.576592	-3.234623	15.908897
0.520000	851.375381	412.119792	835.452836	409.328020	-15.922545	-2.791772	16.165440
0.560000	852.750733	383.666113	835.872446	409.538172	-16.878287	25.872059	30.890775
0.600000	853.055494	372.958729	836.233048	409.726967	-16.822447	36.768238	40.433873
0.640000	854.029440	374.769715	835.330643	409.773669	-18.698797	35.003954	39.685285
0.680000	854.505624	374.873675	834.944779	410.094107	-19.560845	35.220431	40.287783
0.720000	854.220017	376.289074	834.872383	410.143524	-19.347633	33.854450	38.993008
0.760000	853.820567	373.765754	834.240077	409.922215	-19.580490	36.156460	41.117942
0.800000	852.630493	372.334614	834.385586	409.687792	-18.244908	37.353179	41.570862
0.840000	851.015226	370.480338	835.139584	408.775373	-15.875642	38.295035	41.455346
0.880000	849.868349	367.156417	836.417886	408.218707	-13.450463	41.062290	43.209104
0.920000	849.253765	363.935237	836.606445	408.110393	-12.647319	44.175156	45.949963
0.960000	849.484716	363.929760	836.164081	408.191017	-13.320635	44.261258	46.222270
1.000000	849.712006	362.774182	836.004860	408.486872	-13.707146	45.712690	47.723536
1.040000	849.482981	362.818576	835.451147	408.497825	-14.031834	45.679249	47.785836
1.080000	849.370678	364.837150	835.182527	408.511698	-14.188151	43.674548	45.921343
1.120000	849.296517	366.438198	835.306317	408.965953	-13.990200	42.527755	44.769807
1.160000	848.694706	366.886370	835.635324	409.816846	-13.059382	42.930476	44.872856
1.200000	848.174684	369.249118	835.289710	410.024615	-12.884974	40.775497	42.762878
1.240000	847.970716	369.490786	834.499139	409.403894	-13.471577	39.913108	42.125285
1.280000	847.662135	368.787442	834.465661	408.898666	-13.196474	40.111224	42.226262
1.320000	847.729865	368.389000	834.837165	408.955960	-12.892700	40.566959	42.566418
1.360000	848.072134	369.639684	835.083228	409.719600	-12.988906	40.079916	42.132070
1.400000	848.465979	370.063850	834.454330	410.279074	-14.011649	40.215224	42.586272
1.440000	848.995952	371.660110	833.873224	410.358516	-15.122728	38.698406	41.548327
1.480000	849.185319	373.120530	833.986331	410.464469	-15.198988	37.343938	40.318469
1.520000	848.526947	376.660439	834.205858	410.522960	-14.321090	33.862520	36.766342
1.560000	848.350671	376.502118	834.558041	410.671426	-13.792630	34.169308	36.848043
1.600000	848.048315	379.991163	834.507324	410.806267	-13.540990	30.815104	33.659011
1.640000	847.659016	376.631104	834.550956	410.919073	-13.108061	34.287970	36.708121
1.680000	844.861135	403.236283	834.078388	410.798100	-10.782747	7.561817	13.169993
1.720000	844.734909	401.429310	833.282437	410.338237	-11.452472	8.908927	14.509587
1.760000	845.609543	388.612842	833.577026	409.684057	-12.032516	21.071216	24.264739
1.800000	845.370491	389.033373	834.116189	409.122437	-11.254302	20.089064	23.026720
1.840000	845.831272	386.169018	834.627831	409.636152	-11.203441	23.467135	26.004298
1.880000	846.076547	391.005684	834.118864	410.439856	-11.957684	19.434171	22.818265
1.920000	847.172715	392.010067	834.119641	411.017369	-13.053074	19.007301	23.057759
1.960000	847.520020	398.619125	835.097398	411.431953	-12.422622	12.812828	17.846291
2.000000	846.829484	408.707953	834.735433	411.138255	-12.094050	2.430303	12.335819
2.040000	843.727103	448.271447	833.738376	410.424604	-9.988727	-37.846843	39.142792
2.080000	841.718490	470.254990	833.226026	409.964602	-8.492464	-60.290388	60.885571
