etime(s)	ex	ey	tx	ty	dx	dy	ds
0.000000	874.447612	358.981129	879.368591	323.298418	4.920980	-35.682711	36.020437
0.040000	874.989267	355.814178	880.316159	322.330728	5.326892	-33.483450	33.904530
0.080000	874.892291	351.611507	880.840406	322.464298	5.948115	-29.147209	29.747939
0.120000	875.089097	350.367755	881.553020	323.442588	6.463923	-26.925167	27.690195
0.160000	876.204274	350.451643	882.353782	323.526176	6.149508	-26.925468	27.618784
0.200000	877.571043	349.883269	882.907997	322.865217	5.336954	-27.018052	27.540120
0.240000	878.570772	349.154487	883.302792	322.615817	4.732020	-26.538670	26.957244
0.280000	879.158817	348.616963	882.793791	322.109345	3.634974	-26.507618	26.755688
0.320000	878.988822	348.066424	882.416126	321.206221	3.427304	-26.860203	27.077978
0.360000	878.373022	347.660743	881.837879	320.744231	3.464858	-26.916512	27.138605
0.400000	877.018626	348.210984	880.939660	321.073401	3.921034	-27.137583	27.419389
0.440000	875.714931	348.964038	880.660042	321.611888	4.945111	-27.352150	27.795580
0.480000	874.878995	349.635837	881.112659	322.020311	6.233663	-27.615526	28.310348
0.520000	874.831898	351.150275	881.723900	322.580501	6.892002	-28.569775	29.389313
0.560000	874.955719	352.505613	882.672093	323.766263	7.716374	-28.739349	29.757228
0.600000	875.404757	352.797112	883.025703	324.529424	7.620945	-28.267688	29.276971
0.640000	876.233429	352.954672	883.160211	324.550565	6.926781	-28.404107	29.236511
0.680000	877.018781	353.659569	883.103193	325.227661	6.084412	-28.431908	29.075650
0.720000	877.255400	354.517232	882.961209	326.264681	5.705809	-28.252551	28.822958
0.760000	877.873825	355.652683	883.437378	326.193224	5.563554	-29.459460	29.980208
0.800000	878.481400	356.366942	884.409400	325.687990	5.927999	-30.678952	31.246428
0.840000	878.703181	357.567120	884.893338	325.588603	6.190157	-31.978517	32.572129
0.880000	879.402839	358.265373	885.529700	325.658844	6.126861	-32.606529	33.177163
0.920000	881.186443	356.872675	886.147117	325.174731	4.960674	-31.697944	32.083765
0.960000	882.848510	354.984117	886.970230	324.469553	4.121719	-30.514564	30.791674
1.000000	884.278370	354.838738	887.759550	324.236587	3.481181	-30.602152	30.799518
1.040000	885.724802	354.766398	888.738254	324.541935	3.013452	-30.224464	30.374316
1.080000	887.693597	354.276311	889.870460	324.484037	2.176863	-29.792274	29.871698
1.120000	888.910519	354.023839	891.187922	324.376843	2.277404	-29.646996	29.734340
1.160000	889.894141	353.615361	892.278571	324.460773	2.384430	-29.154588	29.251932
1.200000	890.653190	352.867255	892.898229	323.888541	2.245039	-28.978713	29.065547
1.240000	890.554559	351.220141	892.399939	322.711202	1.845381	-28.508939	28.568602
1.280000	890.369998	349.551809	891.328387	322.010716	0.958388	-27.541093	27.557763
1.320000	889.724171	347.540428	890.146260	321.672625	0.422089	-25.867803	25.871247
1.360000	889.302130	345.675691	889.184363	320.930659	-0.117767	-24.745032	24.745312
1.400000	888.785451	343.238692	888.748669	320.129575	-0.036783	-23.109118	23.109147
1.440000	888.215676	342.238407	888.441198	319.823904	0.225522	-22.414503	22.415637
1.480000	886.988407	340.343489	887.459878	319.813084	0.471472	-20.530405	20.535818
1.520000	885.787556	338.180017	886.547111	319.680504	0.759555	-18.499514	18.515100
1.560000	883.899896	336.816094	884.997685	319.448373	1.097789	-17.367720	17.402381
