etime(s)	ex	ey	tx	ty	dx	dy	ds
0.000000	925.817783	339.716930	932.201257	304.111641	6.383474	-35.605289	36.172992
0.040000	925.846465	340.665793	932.461948	304.076293	6.615483	-36.589501	37.182740
0.080000	925.488712	340.722360	932.679222	303.936511	7.190510	-36.785849	37.482024
0.120000	925.697967	340.190516	932.860704	303.281204	7.162737	-36.909312	37.597900
0.160000	925.867756	340.062312	933.683885	302.968936	7.816129	-37.093376	37.907920
0.200000	925.993031	339.350412	933.936467	302.172653	7.943436	-37.177758	38.016890
0.240000	926.328612	338.260368	934.504482	300.536695	8.175870	-37.723672	38.599486
0.280000	926.850839	337.053973	934.904662	299.053057	8.053823	-38.000916	38.844996
0.320000	927.037825	336.265468	934.906684	298.571045	7.868859	-37.694423	38.506993
0.360000	927.236712	336.241167	935.292450	298.316234	8.055738	-37.924933	38.771065
0.400000	927.079537	335.638836	935.832761	297.761406	8.753224	-37.877429	38.875681
0.440000	926.946614	334.251165	936.411005	297.370973	9.464391	-36.880193	38.075232
0.480000	926.732428	334.557349	936.906601	297.837885	10.174173	-36.719464	38.102924
0.520000	926.234717	335.371722	935.834823	298.374273	9.600106	-36.997449	38.222680
0.560000	926.091962	335.889139	934.601646	298.033986	8.509684	-37.855152	38.799836
0.600000	926.007439	335.908739	933.019710	297.611811	7.012271	-38.296928	38.933619
0.640000	924.779436	336.547224	930.643374	295.530597	5.863938	-41.016627	41.433675
0.680000	922.778413	336.308756	927.618855	290.790449	4.840442	-45.518308	45.774952
0.720000	920.847152	333.842999	924.257054	286.376432	3.409903	-47.466568	47.588890
0.760000	915.098501	326.903081	921.415152	286.489967	6.316651	-40.413114	40.903787
0.800000	909.175784	321.254145	919.606944	291.218995	10.431160	-30.035150	31.794957
0.840000	907.542398	324.351066	917.294278	296.579566	9.751880	-27.771500	29.433915
0.880000	906.575585	322.975400	914.187098	302.128800	7.611513	-20.846600	22.192699
0.920000	894.019053	333.157826	910.148298	306.745761	16.129245	-26.412065	30.947532
0.960000	875.310422	351.673102	905.278665	312.415776	29.968243	-39.257325	49.388594
1.000000	878.359139	349.290270	900.685542	319.259060	22.326403	-30.031210	37.421142
1.040000	889.275784	346.678560	898.542161	324.232184	9.266376	-22.446376	24.283853
1.080000	888.171165	355.814117	897.802859	328.377412	9.631694	-27.436706	29.078211
1.120000	890.988952	364.686676	897.027244	333.208290	6.038292	-31.478386	32.052297
1.160000	894.503448	368.410134	895.771172	338.357764	1.267724	-30.052370	30.079097
1.200000	897.448462	374.129248	892.875572	344.062936	-4.572891	-30.066312	30.412077
1.240000	895.125692	378.964453	887.841073	351.761165	-7.284619	-27.203289	28.161757
1.280000	891.657739	379.344784	881.758190	359.833439	-9.899549	-19.511345	21.879069
1.320000	878.716495	379.720665	875.352110	365.624067	-3.364385	-14.096598	14.492521
1.360000	864.679523	382.521916	870.495550	370.002614	5.816027	-12.519301	13.804314
1.400000	860.697898	387.534308	867.349813	374.664073	6.651914	-12.870235	14.487613
