etime(s)	ex	ey	tx	ty	dx	dy	ds
0.000000	900.235465	543.629620	880.864011	558.442424	-19.371454	14.812804	24.385906
0.040000	900.801336	545.139658	879.663885	555.805330	-21.137451	10.665672	23.675903
0.080000	901.983279	545.567824	878.442264	555.055760	-23.541015	9.487936	25.381101
0.120000	902.029998	543.907942	876.868701	556.633130	-25.161297	12.725188	28.196121
0.160000	900.451896	541.463310	873.293816	559.266264	-27.158081	17.802954	32.473166
0.200000	897.989623	540.820726	870.917112	560.889160	-27.072512	20.068434	33.699598
0.240000	896.418019	541.486779	870.862652	561.949907	-25.555367	20.463127	32.738607
0.280000	894.443761	541.665354	870.658693	563.687144	-23.785068	22.021789	32.414328
0.320000	892.668830	543.119353	868.151127	563.220625	-24.517703	20.101273	31.704557
0.360000	890.535346	545.323057	866.187019	560.561596	-24.348326	15.238539	28.723755
0.400000	888.265672	545.714352	865.021304	558.144216	-23.244368	12.429864	26.359100
0.440000	886.920982	544.637272	863.741457	557.775759	-23.179525	13.138487	26.644141
0.480000	886.441723	543.185789	861.246658	558.907497	-25.195065	15.721709	29.697869
0.520000	884.935656	541.725881	860.542163	561.534394	-24.393493	19.808513	31.423234
0.560000	883.685407	540.105069	861.453508	562.390833	-22.231900	22.285764	31.478765
0.600000	884.267239	539.437448	862.066092	560.659743	-22.201147	21.222295	30.712810
0.640000	885.375041	539.519867	860.574999	559.563529	-24.800042	20.043662	31.887152
0.680000	885.453341	540.372483	860.051558	562.196072	-25.401783	21.823589	33.489097
0.720000	888.012241	540.888137	860.863995	565.797621	-27.148246	24.909484	36.844398
0.760000	890.835594	541.899791	861.597862	567.130296	-29.237733	25.230505	38.618951
0.800000	890.806139	543.614771	861.347365	564.500003	-29.458774	20.885233	36.111111
0.840000	890.607101	545.240328	861.604094	560.166715	-29.003007	14.926387	32.618575
0.880000	890.744129	544.475388	862.433654	558.498403	-28.310475	14.023015	31.593163
0.920000	889.759292	542.599566	863.410918	559.746559	-26.348374	17.146992	31.436541
0.960000	888.551488	541.735024	864.074072	559.491034	-24.477416	17.756010	30.239375
1.000000	888.644860	539.710268	864.883016	557.990092	-23.761845	18.279824	29.979614
1.040000	888.183644	537.940297	865.032941	557.316807	-23.150703	19.376510	30.189471
1.080000	887.023851	535.688091	864.508560	556.534423	-22.515291	20.846332	30.684001
1.120000	887.270096	534.799468	864.381459	555.488992	-22.888637	20.689524	30.853624
1.160000	887.679606	532.583603	864.189885	555.403913	-23.489721	22.820310	32.749558
1.200000	888.365259	530.364896	863.583391	555.843234	-24.781868	25.478338	35.542744
1.240000	888.278143	530.396772	863.181899	555.239299	-25.096245	24.842527	35.312500
1.280000	887.768961	529.319649	863.265743	554.720754	-24.503218	25.401105	35.293396
1.320000	887.558395	528.120174	863.328372	556.044741	-24.230023	27.924567	36.971279
1.360000	887.525740	527.127186	863.745127	557.205832	-23.780613	30.078647	38.343742
1.400000	886.541114	527.044306	863.811844	556.344081	-22.729270	29.299774	37.082294
1.440000	885.057328	527.172662	863.648579	556.136002	-21.408749	28.963341	36.016797
1.480000	884.316743	528.665250	862.898843	556.098374	-21.417900	27.433124	34.803775
1.520000	882.103172	530.517655	862.535077	555.767390	-19.568095	25.249735	31.944631
1.560000	879.812420	532.859648	861.905879	555.737140	-17.906541	22.877492	29.052089
1.600000	880.455693	534.645323	861.819161	556.243695	-18.636532	21.598372	28.527355
1.640000	880.478721	535.719162	862.486028	557.612045	-17.992693	21.892883	28.337878
1.680000	879.630535	536.748786	863.512536	559.574827	-16.117999	22.826041	27.943122
1.720000	881.421872	537.240959	862.673486	560.647308	-18.748385	23.406349	29.989317
1.760000	880.987687	539.707137	862.674723	563.674893	-18.312964	23.967756	30.163189
1.800000	878.631951	543.683775	863.461116	565.581778	-15.170835	21.898004	26.639760
1.840000	877.791478	547.262297	863.489893	563.238556	-14.301585	15.976259	21.442392
1.880000	878.971232	549.142040	861.662711	558.765114	-17.308522	9.623074	19.803749
1.920000	877.670288	549.941080	859.998132	555.434119	-17.672156	5.493039	18.506177
1.960000	879.791785	547.197924	858.176540	554.973711	-21.615245	7.775788	22.971323
2.000000	880.386896	543.784591	856.511199	555.883719	-23.875698	12.099128	26.766357
2.040000	878.201643	539.536026	856.020008	555.166622	-22.181635	15.630597	27.135595
2.080000	875.285862	537.760576	858.775396	556.630027	-16.510467	18.869451	25.072927
2.120000	874.810766	540.032209	864.085223	559.589661	-10.725543	19.557452	22.305408
2.160000	879.142776	544.783455	870.233486	559.995294	-8.909289	15.211839	17.628825
2.200000	886.680379	547.224476	874.856381	558.868207	-11.823997	11.643731	16.594680
2.240000	888.670445	547.984911	876.605149	557.451143	-12.065296	9.466232	15.335610
2.280000	890.588133	548.531465	874.922679	556.954734	-15.665454	8.423269	17.786453
2.320000	894.297221	548.059244	870.451918	559.367175	-23.845304	11.307931	26.390677
2.360000	893.453841	549.923776	865.635100	562.783039	-27.818741	12.859263	30.647072
2.400000	889.667801	552.362802	863.770421	565.297190	-25.897380	12.934388	28.947757
2.440000	887.458303	554.999096	865.009102	566.230151	-22.449201	11.231055	25.101857
2.480000	885.349215	556.991854	866.624234	564.360926	-18.724981	7.369071	20.122826
2.520000	884.622454	557.818239	868.049728	561.995182	-16.572726	4.176943	17.090994
2.560000	879.564629	556.891213	869.282815	562.672075	-10.281814	5.780863	11.795511
2.600000	886.523995	557.007672	870.040859	565.720516	-16.483136	8.712843	18.644233
2.640000	887.362817	556.797651	868.583077	568.227127	-18.779740	11.429476	21.984348
2.680000	887.569905	558.377928	865.893445	570.191963	-21.676461	11.814035	24.686846
2.720000	888.467421	561.535535	864.921072	570.583773	-23.546349	9.048239	25.225011
2.760000	886.482707	562.082120	866.503605	569.513619	-19.979102	7.431499	21.316466
2.800000	888.080866	560.930974	867.645672	566.902703	-20.435194	5.971729	21.289873
2.840000	885.876938	560.661049	869.053863	563.485374	-16.823075	2.824325	17.058507
2.880000	886.721845	558.940178	869.769697	561.904368	-16.952148	2.964190	17.209351
2.920000	887.411549	556.386793	870.522513	561.806114	-16.889036	5.419321	17.737209
2.960000	887.222226	555.210746	872.036770	559.323370	-15.185456	4.112624	15.732506
3.000000	886.592265	554.943740	874.899288	557.072487	-11.692977	2.128747	11.885170
3.040000	891.683867	551.253214	877.371593	553.490258	-14.312275	2.237044	14.486047
3.080000	897.279926	548.169499	878.971208	546.169235	-18.308718	-2.000264	18.417660
3.120000	902.699981	544.163877	878.179086	539.420616	-24.520895	-4.743261	24.975445
3.160000	908.761455	541.813056	877.684989	538.684512	-31.076466	-3.128544	31.233548
3.200000	914.187466	538.874432	878.413115	543.018911	-35.774351	4.144478	36.013620
3.240000	915.959149	535.366400	879.702846	549.725053	-36.256303	14.358652	38.996030
3.280000	914.035765	534.868703	880.405889	554.149715	-33.629876	19.281011	38.765009
3.320000	913.221861	536.581311	880.787438	554.347790	-32.434423	17.766479	36.981611
3.360000	914.247466	536.587228	880.155738	553.536467	-34.091728	16.949239	38.072597
3.400000	912.194200	535.477171	878.288685	555.665953	-33.905515	20.188782	39.461004
3.440000	910.914492	538.916706	876.142343	562.436446	-34.772149	23.519740	41.979525
3.480000	907.274523	552.030225	876.494644	575.162472	-30.779879	23.132247	38.503270
3.520000	907.903579	574.462252	878.528849	590.620361	-29.374730	16.158110	33.525502
3.560000	915.379802	587.919359	879.303861	604.365527	-36.075941	16.446168	39.647824
3.600000	910.836521	604.813352	878.794899	615.883780	-32.041622	11.070428	33.900146
3.640000	903.775065	618.393680	878.638309	621.084423	-25.136756	2.690743	25.280360
3.680000	904.565187	607.215870	879.238846	611.207900	-25.326341	3.992030	25.639030
3.720000	903.735323	599.580757	879.295691	595.708206	-24.439632	-3.872551	24.744540
3.760000	907.472121	591.583632	878.632963	587.370008	-28.839158	-4.213624	29.145354
3.800000	905.782842	584.065195	878.479336	576.779029	-27.303506	-7.286166	28.258975
3.840000	912.214575	568.841691	879.788196	568.177776	-32.426379	-0.663916	32.433175
3.880000	914.895422	548.554301	881.173260	562.211372	-33.722162	13.657071	36.382685
3.920000	909.260039	534.154796	883.391226	547.687801	-25.868813	13.533005	29.194824
3.960000	917.992000	531.008857	887.666058	547.804950	-30.325942	16.796093	34.666576
4.000000	923.069053	535.662619	894.153209	559.479663	-28.915844	23.817043	37.461682
4.040000	925.655042	510.371964	897.074376	549.041855	-28.580666	38.669890	48.085496
4.080000	922.068264	507.020686	892.799346	542.202812	-29.268919	35.182126	45.765179
4.120000	927.120217	541.797720	885.748035	562.466653	-41.372182	20.668933	46.247835
4.160000	925.414990	581.233672	885.247770	590.126793	-40.167220	8.893121	41.139922
4.200000	928.668601	608.703654	890.210724	607.445421	-38.457877	-1.258233	38.478454
4.240000	940.287692	604.566485	895.911046	608.506929	-44.376646	3.940445	44.551249
4.280000	936.299979	595.353918	900.041656	600.035623	-36.258323	4.681706	36.559327
4.320000	947.113799	592.708420	903.236020	589.420696	-43.877778	-3.287723	44.000779
4.360000	931.653738	591.848433	904.882635	576.587254	-26.771103	-15.261179	30.815508
4.400000	942.964673	573.986501	908.741306	571.927133	-34.223367	-2.059368	34.285272
4.440000	960.183751	577.738404	914.106074	570.456322	-46.077677	-7.282082	46.649556
4.480000	953.273971	544.434317	916.644449	557.759637	-36.629522	13.325319	38.978020
4.520000	956.449063	536.842638	912.669985	551.135614	-43.779078	14.292976	46.053195
4.560000	943.758188	559.997710	905.450279	572.992764	-38.307908	12.995055	40.452037
4.600000	953.480340	591.059802	903.516513	601.508716	-49.963827	10.448915	51.044724
4.640000	948.829706	620.270505	907.084719	615.752909	-41.744987	-4.517596	41.988720
4.680000	937.303668	621.781352	907.416298	623.311366	-29.887370	1.530014	29.926507
4.720000	941.153067	616.525979	905.971716	621.175695	-35.181351	4.649716	35.487284
4.760000	943.963412	612.372275	906.419948	610.816835	-37.543464	-1.555440	37.575671
4.800000	942.434546	604.445378	908.182217	602.839483	-34.252329	-1.605895	34.289954
4.840000	948.468741	590.567730	911.107952	601.202317	-37.360789	10.634588	38.844858
4.880000	941.139006	597.718990	911.459077	607.720468	-29.679928	10.001477	31.319765
4.920000	932.196148	550.232038	906.790467	597.319153	-25.405681	47.087115	53.503692
4.960000	930.555162	531.376664	897.727048	577.142558	-32.828114	45.765894	56.322306
5.000000	929.765002	565.810767	886.892329	590.935299	-42.872672	25.124533	49.692134
5.040000	922.642628	588.645127	882.721839	609.698264	-39.920789	21.053137	45.132072
5.080000	921.219966	603.981334	887.729220	612.278040	-33.490746	8.296705	34.503121
5.120000	921.472730	610.791349	892.000583	621.491264	-29.472147	10.699915	31.354356
5.160000	922.453496	610.141207	892.593540	619.799861	-29.859956	9.658655	31.383221
5.200000	928.035024	606.717127	892.823087	604.565147	-35.211936	-2.151980	35.277634
5.240000	922.269694	558.577928	894.151520	587.596313	-28.118174	29.018385	40.406662
5.280000	945.410577	537.604793	895.826212	573.959302	-49.584365	36.354509	61.483816
5.320000	946.701318	539.130197	901.151980	578.260540	-45.549338	39.130342	60.049362
5.360000	955.512616	526.551929	908.490173	568.842211	-47.022443	42.290282	63.242217
5.400000	952.900059	520.628295	910.102667	553.384634	-42.797392	32.756339	53.894290
5.440000	947.147048	551.286044	901.591843	575.980476	-45.555204	24.694432	51.817870
5.480000	949.091152	593.337943	893.331816	601.286033	-55.759337	7.948090	56.322960
5.520000	930.604364	610.621667	892.255285	607.823988	-38.349079	-2.797679	38.450993
5.560000	944.602537	605.121282	894.614920	611.332703	-49.987617	6.211421	50.372052
5.600000	943.164215	600.195597	895.095888	600.169445	-48.068327	-0.026152	48.068334
5.640000	940.008331	594.709642	896.463586	588.262449	-43.544745	-6.447193	44.019440
5.680000	925.593943	593.848455	898.604274	585.433657	-26.989669	-8.414798	28.271028
5.720000	920.641737	577.545453	900.810715	583.315223	-19.831022	5.769770	20.653321
5.760000	936.020921	586.971835	904.215192	584.201293	-31.805729	-2.770542	31.926170
5.800000	928.597290	570.620975	909.121882	574.429088	-19.475408	3.808112	19.844224
5.840000	935.316308	533.868710	911.989377	553.307612	-23.326931	19.438902	30.364726
5.880000	943.702703	553.865454	908.911644	549.438757	-34.791060	-4.426697	35.071548
5.920000	945.242904	577.645490	899.264805	563.842765	-45.978099	-13.802725	48.005216
5.960000	945.482742	586.280195	890.004436	575.748015	-55.478306	-10.532180	56.469189
6.000000	930.316414	595.719910	885.417663	583.560537	-44.898752	-12.159372	46.516107
6.040000	913.315245	600.640086	883.891184	589.112904	-29.424060	-11.527181	31.601444
6.080000	929.755271	593.500170	883.643486	587.554480	-46.111784	-5.945690	46.493525
6.120000	928.082746	588.685354	883.578064	585.767377	-44.504682	-2.917978	44.600239
6.160000	908.909342	589.854643	884.788425	584.024696	-24.120917	-5.829947	24.815457
6.200000	895.777450	587.404632	887.360998	588.446847	-8.416452	1.042215	8.480736
6.240000	897.373930	601.970914	890.997917	604.411907	-6.376013	2.440993	6.827298
6.280000	906.960978	582.263254	897.100485	601.904022	-9.860494	19.640768	21.977013
6.320000	914.354251	574.220274	900.115871	592.202732	-14.238379	17.982458	22.936875
6.360000	905.629562	610.521721	891.244495	609.053932	-14.385067	-1.467790	14.459756
6.400000	897.511591	635.558976	878.804114	628.574658	-18.707476	-6.984318	19.968735
6.440000	891.590888	633.622997	875.893112	639.070318	-15.697775	5.447321	16.616060
6.480000	893.994648	630.640544	881.886045	646.050077	-12.108603	15.409532	19.597754
6.520000	905.478457	630.876652	886.340865	639.587202	-19.137593	8.710550	21.026677
6.560000	909.532917	630.615203	887.929231	630.107391	-21.603687	-0.507812	21.609654
6.600000	903.358256	630.134912	891.037299	620.474192	-12.320957	-9.660720	15.656803
6.640000	905.628950	620.570402	896.773928	619.499381	-8.855022	-1.071021	8.919557
6.680000	907.763115	633.692090	899.365426	634.296459	-8.397690	0.604370	8.419409
6.720000	906.518300	642.671043	899.694917	634.114046	-6.823383	-8.556997	10.944439
6.760000	912.261437	624.099079	901.207967	617.922234	-11.053470	-6.176846	12.662252
6.800000	910.070824	621.683025	902.248682	617.233611	-7.822142	-4.449413	8.999066
6.840000	912.011180	623.251667	898.837015	626.866421	-13.174165	3.614754	13.661078
6.880000	910.471941	624.530765	896.307928	632.624165	-14.164014	8.093400	16.313258
6.920000	919.054690	618.888739	896.534810	630.484769	-22.519880	11.596030	25.330079
6.960000	936.247568	604.825746	899.080708	616.598495	-37.166860	11.772748	38.986832
7.000000	940.195467	597.840445	902.992476	595.756095	-37.202991	-2.084350	37.261335
7.040000	932.383392	582.732877	905.218428	580.353010	-27.164964	-2.379867	27.269012
7.080000	925.327168	556.994664	907.294184	576.593947	-18.032984	19.599283	26.633070
7.120000	942.600889	567.449107	911.775236	587.019746	-30.825652	19.570638	36.513432
7.160000	937.735802	573.602303	913.853773	594.786488	-23.882029	21.184184	31.923674
7.200000	930.907950	527.926202	911.598854	574.193773	-19.309097	46.267571	50.135111
7.240000	933.385884	534.538653	903.009838	546.815730	-30.376047	12.277076	32.763254
7.280000	916.913885	522.157792	891.577883	544.637862	-25.336002	22.480070	33.871323
7.320000	910.464301	519.348203	885.963611	551.831083	-24.500690	32.482880	40.686869
7.360000	910.484820	530.258273	883.667405	554.412668	-26.817415	24.154395	36.091668
7.400000	910.342540	532.372044	882.765633	554.633657	-27.576907	22.261613	35.441010
7.440000	912.782306	517.611967	883.487565	556.824268	-29.294741	39.212302	48.946771
7.480000	911.184182	526.191840	882.140653	566.439671	-29.043529	40.247832	49.632797
7.520000	900.508208	572.797799	883.683919	575.461975	-16.824289	2.664176	17.033923
7.560000	897.515880	601.545900	890.067621	590.954433	-7.448259	-10.591466	12.948194
7.600000	902.756045	599.807358	894.063886	604.637048	-8.692159	4.829691	9.943819
7.640000	918.124796	577.454727	897.927462	593.342904	-20.197334	15.888177	25.697597
7.680000	912.024405	602.579743	901.232636	592.863692	-10.791770	-9.716051	14.521155
7.720000	918.505153	622.465232	900.790241	614.417298	-17.714912	-8.047934	19.457321
7.760000	926.680379	624.566384	899.134092	620.138323	-27.546287	-4.428061	27.899922
7.800000	929.147331	622.638851	898.474246	620.614373	-30.673084	-2.024478	30.739821
7.840000	928.333886	600.815073	896.946160	618.959671	-31.387726	18.144597	36.254872
7.880000	927.360795	587.398903	898.049927	610.153315	-29.310868	22.754412	37.106472
7.920000	927.123600	592.072531	899.803031	609.486105	-27.320570	17.413574	32.398242
7.960000	912.086640	624.295957	899.666495	612.800443	-12.420146	-11.495514	16.923559
8.000000	916.057159	643.026850	903.110032	625.217929	-12.947127	-17.808921	22.017851
8.040000	920.281992	651.466339	912.981059	638.164517	-7.300933	-13.301822	15.173730
8.080000	918.454471	647.578744	914.382925	628.021287	-4.071545	-19.557457	19.976777
8.120000	907.477471	644.525705	902.904549	621.924673	-4.572921	-22.601032	23.059017
8.160000	906.460549	637.070897	892.063367	623.450690	-14.397182	-13.620207	19.818902
8.200000	906.761301	620.308642	887.758487	616.221172	-19.002815	-4.087470	19.437448
8.240000	899.004339	615.953288	885.041496	610.040647	-13.962842	-5.912641	15.163123
8.280000	881.212228	613.883293	887.106870	597.390699	5.894642	-16.492594	17.514350
8.320000	891.899127	598.215354	891.987435	586.145372	0.088308	-12.069982	12.070305
8.360000	894.634884	594.682640	893.334978	587.149146	-1.299906	-7.533494	7.644821
8.400000	905.062874	584.172844	894.463836	588.765005	-10.599038	4.592162	11.551084
8.440000	924.499785	590.053889	899.260711	603.572440	-25.239074	13.518551	28.631487
8.480000	924.676641	607.286108	904.117089	614.930197	-20.559551	7.644089	21.934613
8.520000	921.740281	601.883361	907.811311	607.064669	-13.928970	5.181308	14.861432
8.560000	921.582622	616.849468	911.251150	615.656637	-10.331472	-1.192831	10.400104
8.600000	932.793484	640.080418	913.784115	633.518120	-19.009369	-6.562298	20.110193
8.640000	953.724810	636.875486	915.208898	638.000361	-38.515912	1.124875	38.532335
8.680000	952.170068	637.362954	913.626367	641.933201	-38.543701	4.570247	38.813710
8.720000	945.621478	638.932054	909.577403	642.709708	-36.044075	3.777654	36.241495
8.760000	932.571957	641.742363	908.858078	638.462144	-23.713878	-3.280220	23.939671
8.800000	924.146106	639.468733	911.604296	639.453935	-12.541810	-0.014798	12.541818
8.840000	916.567519	651.510867	913.283315	641.766806	-3.284204	-9.744062	10.282642
8.880000	921.331495	660.788752	917.533901	645.306919	-3.797594	-15.481833	15.940793
8.920000	921.170688	663.648535	923.201836	650.085316	2.031147	-13.563219	13.714462
8.960000	924.353248	658.839120	925.219546	642.890779	0.866299	-15.948341	15.971852
9.000000	926.116800	653.324148	921.670201	630.946074	-4.446599	-22.378074	22.815574
9.040000	915.028190	655.795861	915.377248	638.457501	0.349058	-17.338360	17.341873
9.080000	934.590071	648.287503	910.123192	648.706851	-24.466879	0.419349	24.470473
9.120000	932.735127	639.748502	907.287092	646.936369	-25.448035	7.187867	26.443674
9.160000	926.308962	637.801365	903.606734	643.332335	-22.702228	5.530970	23.366275
9.200000	923.774153	635.879179	902.516356	637.311553	-21.257797	1.432374	21.306000
9.240000	923.811683	632.234531	903.663948	637.094420	-20.147736	4.859889	20.725583
9.280000	924.382128	634.123006	904.379790	640.097447	-20.002339	5.974442	20.875524
9.320000	928.552115	644.843388	905.827950	638.450752	-22.724165	-6.392636	23.606217
