etime(s)	ex	ey	tx	ty	dx	dy	ds
0.000000	895.180197	540.658954	866.217280	514.241898	-28.962917	-26.417056	39.200911
0.040000	896.247157	546.362779	864.466760	517.573893	-31.780397	-28.788885	42.881156
0.080000	893.619198	549.666446	863.424766	521.475787	-30.194432	-28.190658	41.308800
0.120000	889.301587	551.050834	863.364868	525.277660	-25.936720	-25.773174	36.564599
0.160000	886.357085	548.359335	862.718983	525.381262	-23.638102	-22.978074	32.965917
0.200000	881.495643	539.351939	860.083126	523.757554	-21.412518	-15.594385	26.489257
0.240000	868.725381	530.602152	853.509701	521.893985	-15.215681	-8.708167	17.531375
0.280000	852.595578	527.059000	843.591622	518.064042	-9.003956	-8.994958	12.727156
0.320000	844.372223	522.876714	833.561739	514.279359	-10.810484	-8.597355	13.812353
0.360000	836.654358	523.588276	823.932877	512.737053	-12.721481	-10.851223	16.720799
0.400000	818.974675	530.327970	813.648616	513.014993	-5.326060	-17.312977	18.113699
0.440000	809.237740	530.722250	803.615338	513.670732	-5.622402	-17.051518	17.954545
0.480000	804.134747	533.580276	795.184978	513.752200	-8.949769	-19.828076	21.754332
0.520000	798.617443	537.918998	788.349774	513.883384	-10.267669	-24.035614	26.136866
0.560000	791.573427	539.978716	783.367591	514.375366	-8.205835	-25.603351	26.886192
0.600000	785.060791	546.437505	777.155988	513.943557	-7.904803	-32.493948	33.441629
0.640000	780.504563	549.133452	768.548444	513.839035	-11.956119	-35.294417	37.264523
0.680000	770.644828	547.344395	762.131201	514.509459	-8.513627	-32.834936	33.920715
0.720000	766.544414	548.425546	760.870436	514.178653	-5.673978	-34.246894	34.713740
0.760000	763.693761	548.561795	759.031689	512.415951	-4.662073	-36.145844	36.445259
0.800000	758.592316	545.220620	755.338309	512.275524	-3.254007	-32.945096	33.105406
0.840000	754.842699	544.364813	752.808825	513.581391	-2.033874	-30.783422	30.850538
0.880000	755.646086	547.091400	751.449296	516.507820	-4.196790	-30.583580	30.870186
0.920000	747.439147	546.610709	747.349690	519.767858	-0.089456	-26.842851	26.843000
0.960000	737.666200	549.275739	740.925810	520.814527	3.259610	-28.461212	28.647263
1.000000	723.921925	553.885961	731.673168	520.050091	7.751243	-33.835870	34.712359
1.040000	789.104497	566.634901	722.871567	520.473955	-66.232930	-46.160947	80.731865
1.080000	754.618582	558.482238	716.464297	520.323645	-38.154285	-38.158593	53.961354
1.120000	691.517051	547.944086	709.877430	520.082137	18.360379	-27.861949	33.367525
1.160000	699.213430	548.072615	702.564440	521.048943	3.351009	-27.023672	27.230646
1.200000	690.931644	545.140092	697.426462	521.791384	6.494818	-23.348708	24.235198
1.240000	690.712808	547.588027	692.777436	520.413585	2.064628	-27.174441	27.252760
1.280000	687.128133	549.614841	689.609740	519.233890	2.481607	-30.380951	30.482135
1.320000	685.114983	550.489575	688.685634	519.695841	3.570650	-30.793734	31.000058
1.360000	678.144975	550.053931	686.844070	519.472166	8.699095	-30.581765	31.794946
1.400000	674.032837	551.675700	682.484193	518.724120	8.451356	-32.951580	34.018114
1.440000	674.237171	552.046467	679.225135	521.155581	4.987964	-30.890885	31.290998
1.480000	672.618071	551.110117	678.408576	523.040296	5.790505	-28.069821	28.660858
1.520000	671.967494	549.833781	676.154171	520.505785	4.186677	-29.327996	29.625320
1.560000	670.341767	550.841657	670.223568	519.560376	-0.118199	-31.281281	31.281504
1.600000	676.385479	552.614740	665.682920	523.811221	-10.702559	-28.803519	30.727634
1.640000	681.123814	553.711604	668.398659	528.499631	-12.725155	-25.211973	28.241338
1.680000	686.961544	556.555081	674.885129	530.259955	-12.076414	-26.295126	28.935678
1.720000	693.237220	560.326643	679.715150	530.283470	-13.522070	-30.043174	32.945996
1.760000	692.991233	564.777361	684.846694	529.458267	-8.144538	-35.319094	36.245992
1.800000	691.730446	564.535265	690.578222	527.830834	-1.152224	-36.704430	36.722511
1.840000	689.574033	565.356645	692.148587	525.331002	2.574553	-40.025643	40.108358
1.880000	680.521292	565.839018	690.290732	523.184102	9.769440	-42.654916	43.759386
1.920000	671.973709	564.207217	686.092623	521.887286	14.118914	-42.319931	44.613006
1.960000	665.874226	562.328358	679.804908	521.614084	13.930682	-40.714274	43.031570
2.000000	661.615035	560.781015	672.206342	520.879052	10.591307	-39.901963	41.283683
2.040000	655.172839	559.483888	664.294395	520.500413	9.121555	-38.983475	40.036409
2.080000	649.528575	560.695543	656.241897	522.420972	6.713322	-38.274571	38.858866
2.120000	643.773443	565.315109	649.854564	526.281571	6.081120	-39.033538	39.504394
2.160000	639.946672	567.803050	643.022507	528.435533	3.075835	-39.367516	39.487493
2.200000	636.452840	570.007588	636.322437	528.998859	-0.130403	-41.008729	41.008936
2.240000	633.518221	571.075815	634.015850	527.868214	0.497629	-43.207601	43.210466
2.280000	633.461515	568.713827	636.969312	525.935865	3.507797	-42.777962	42.921541
2.320000	632.002922	567.897026	637.670981	525.689560	5.668059	-42.207465	42.586348
2.360000	629.253591	569.329074	634.499937	529.063654	5.246346	-40.265421	40.605766
2.400000	628.472294	568.429796	631.705491	532.436470	3.233197	-35.993326	36.138249
2.440000	626.345180	564.698951	630.827087	530.958817	4.481907	-33.740134	34.036512
2.480000	623.516478	562.952341	629.114071	525.733591	5.597594	-37.218750	37.637327
2.520000	619.350477	561.130366	626.755131	523.710710	7.404654	-37.419656	38.145243
2.560000	616.306262	558.225155	624.325955	524.480365	8.019694	-33.744790	34.684670
2.600000	616.210079	556.159801	621.549591	523.952267	5.339512	-32.207534	32.647138
2.640000	612.404137	553.364354	618.391171	522.577660	5.987034	-30.786694	31.363436
2.680000	609.544530	552.849706	615.938518	521.772630	6.393988	-31.077076	31.728028
2.720000	607.967222	552.678252	614.102552	521.888281	6.135330	-30.789971	31.395296
2.760000	609.579451	553.088127	611.381283	522.034885	1.801832	-31.053242	31.105473
2.800000	610.684760	555.282426	608.221905	519.946555	-2.462855	-35.335871	35.421596
2.840000	604.802658	546.880135	607.714399	515.786862	2.911741	-31.093273	31.229311
2.880000	601.582972	545.588259	609.326845	509.156478	7.743873	-36.431781	37.245701
