etime(s)	ex	ey	tx	ty	dx	dy	ds
0.000000	938.278071	557.302333	950.976670	556.746924	12.698599	-0.555409	12.710739
0.040000	939.179778	557.206410	950.421815	557.297068	11.242038	0.090658	11.242403
0.080000	937.954669	555.680459	948.801597	556.882102	10.846928	1.201643	10.913285
0.120000	935.445902	556.489948	947.970825	556.508200	12.524923	0.018252	12.524937
0.160000	933.309906	559.382011	947.833279	556.382303	14.523373	-2.999708	14.829923
0.200000	934.203604	562.036237	947.988997	556.178157	13.785393	-5.858080	14.978456
0.240000	933.502954	559.694256	948.096685	555.706934	14.593731	-3.987322	15.128640
0.280000	930.768037	557.064123	946.643993	554.550689	15.875956	-2.513434	16.073684
0.320000	927.941628	555.992785	945.788022	554.170463	17.846394	-1.822322	17.939193
0.360000	926.783473	555.676983	945.736723	554.189133	18.953250	-1.487850	19.011559
0.400000	927.835104	554.348900	945.882586	554.019169	18.047482	-0.329731	18.050494
0.440000	928.490034	553.175050	945.665516	553.843481	17.175482	0.668431	17.188484
0.480000	927.643475	553.783131	943.933496	552.994139	16.290021	-0.788993	16.309117
0.520000	925.617084	554.441310	943.142777	552.393228	17.525693	-2.048082	17.644959
0.560000	925.795020	553.333895	943.212514	552.371310	17.417494	-0.962585	17.444072
0.600000	926.788791	552.771337	943.361755	552.946887	16.572965	0.175550	16.573894
0.640000	927.651385	552.105210	943.575587	553.656189	15.924201	1.550979	15.999554
0.680000	928.148518	550.648604	942.525521	553.422322	14.377003	2.773717	14.642122
0.720000	928.510068	549.994783	941.684068	553.236355	13.174000	3.241572	13.566948
0.760000	928.239101	551.960414	941.397317	553.169561	13.158216	1.209147	13.213656
0.800000	928.315490	553.206500	941.650196	553.151852	13.334706	-0.054647	13.334818
0.840000	927.912854	552.804667	942.224198	553.415561	14.311344	0.610894	14.324376
0.880000	927.094174	551.233165	941.801822	553.294413	14.707648	2.061248	14.851386
0.920000	927.011486	550.283120	941.686717	553.394085	14.675232	3.110964	15.001351
0.960000	926.861357	551.148823	941.816951	553.766189	14.955594	2.617366	15.182898
1.000000	926.446098	552.001482	942.616688	554.315443	16.170590	2.313961	16.335311
1.040000	926.178795	551.417453	944.053501	554.651508	17.874705	3.234055	18.164917
1.080000	927.945519	550.941270	944.057659	553.764129	16.112140	2.822859	16.357555
1.120000	930.322059	552.463282	943.846859	552.720437	13.524800	0.257155	13.527245
1.160000	933.336043	555.001596	943.722836	552.174507	10.386793	-2.827089	10.764659
1.200000	933.662358	554.129198	943.795303	551.871869	10.132945	-2.257329	10.381334
1.240000	933.005585	553.048944	944.275851	551.477173	11.270266	-1.571771	11.379340
1.280000	931.352363	553.223088	943.872925	550.751680	12.520562	-2.471408	12.762144
1.320000	931.288088	551.957013	943.518289	550.338983	12.230201	-1.618030	12.336768
1.360000	930.901463	549.577446	942.869498	549.742896	11.968035	0.165451	11.969179
1.400000	930.485178	548.194354	942.207945	549.155881	11.722767	0.961527	11.762135
1.440000	930.016995	547.986168	942.380280	548.931169	12.363285	0.945001	12.399348
1.480000	929.170340	549.444610	942.290713	548.317014	13.120373	-1.127596	13.168738
1.520000	928.097923	550.876400	942.417983	548.067122	14.320060	-2.809278	14.593018
1.560000	928.331701	549.573824	942.359380	548.288696	14.027679	-1.285128	14.086424
1.600000	929.374003	547.444829	942.506865	548.678400	13.132862	1.233570	13.190670
1.640000	930.241427	546.912306	942.784808	548.977059	12.543381	2.064752	12.712183
1.680000	930.456933	546.683446	941.830292	548.837871	11.373359	2.154425	11.575615
1.720000	930.304749	547.062464	941.514162	549.287855	11.209413	2.225391	11.428180
1.760000	930.764822	548.278291	941.725861	549.942468	10.961039	1.664178	11.086652
1.800000	931.132352	548.591378	941.981454	550.451572	10.849102	1.860194	11.007422
1.840000	931.622268	548.246354	942.250777	550.825208	10.628509	2.578854	10.936896
1.880000	932.699317	549.881104	941.523981	550.465897	8.824664	0.584792	8.844019
1.920000	933.219892	551.434775	941.422268	550.321625	8.202376	-1.113150	8.277565
1.960000	932.401343	549.923581	941.563135	550.456750	9.161792	0.533169	9.177293
2.000000	931.326048	547.441576	941.695293	550.909343	10.369246	3.467767	10.933740
2.040000	931.518679	547.091935	941.953872	551.610712	10.435194	4.518777	11.371570
2.080000	931.478203	548.064883	941.022055	551.723345	9.543852	3.658462	10.221030
2.120000	931.834129	548.998283	940.449287	552.275427	8.615157	3.277144	9.217408
2.160000	931.329064	548.940319	940.244892	553.462886	8.915828	4.522568	9.997280
2.200000	930.687231	547.700549	940.314936	555.155459	9.627704	7.454910	12.176550
2.240000	930.400429	547.894445	940.805605	556.903149	10.405177	9.008704	13.763155
2.280000	931.705367	550.688474	940.157796	557.609819	8.452428	6.921345	10.924677
2.320000	931.693091	553.975471	939.340863	558.090368	7.647773	4.114897	8.684515
2.360000	930.266300	555.585594	938.594084	558.286766	8.327784	2.701172	8.754902
