etime(s)	ex	ey	tx	ty	dx	dy	ds
0.000000	901.729999	586.352082	907.154531	583.265394	5.424532	-3.086688	6.241249
0.040000	902.815803	587.034827	907.263225	583.174752	4.447423	-3.860075	5.888951
0.080000	903.249733	587.232766	907.966202	582.669454	4.716469	-4.563313	6.562690
0.120000	902.142500	583.547898	908.573817	582.253198	6.431317	-1.294700	6.560342
0.160000	902.302032	582.793372	907.573379	582.030512	5.271347	-0.762860	5.326261
0.200000	901.949002	582.817575	906.874362	581.918281	4.925360	-0.899294	5.006786
0.240000	902.634511	585.484276	906.370739	580.862482	3.736228	-4.621794	5.943095
0.280000	902.635501	584.450658	906.547888	580.354396	3.912387	-4.096263	5.664463
0.320000	901.925101	582.161336	908.097287	581.544453	6.172186	-0.616883	6.202937
0.360000	900.355119	580.655736	908.731105	581.706341	8.375986	1.050605	8.441618
0.400000	901.541650	582.807753	909.032343	580.556794	7.490693	-2.250959	7.821592
0.440000	901.993472	583.283418	909.180181	579.806737	7.186710	-3.476681	7.983490
0.480000	901.431707	581.260217	909.238926	579.926196	7.807220	-1.334021	7.920372
0.520000	899.109981	577.938728	909.499959	579.933022	10.389978	1.994294	10.579643
0.560000	898.111047	576.471485	908.947124	579.245066	10.836077	2.773581	11.185406
0.600000	897.380585	575.799104	908.521937	578.997597	11.141352	3.198494	11.591380
0.640000	895.231202	575.276830	908.075550	578.864757	12.844348	3.587927	13.336060
0.680000	891.655007	574.456976	908.199850	578.616665	16.544843	4.159689	17.059743
0.720000	891.653229	574.362246	908.491357	577.888846	16.838128	3.526600	17.203472
0.760000	893.960844	575.289707	907.017052	576.077545	13.056207	0.787838	13.079956
0.800000	895.587243	574.641153	906.169405	574.313550	10.582162	-0.327603	10.587232
0.840000	896.656283	570.814470	906.614516	572.001746	9.958233	1.187276	10.028760
0.880000	898.754041	567.266834	907.524909	570.313191	8.770868	3.046356	9.284849
0.920000	899.264595	566.803271	908.232181	570.659463	8.967587	3.856192	9.761548
0.960000	898.240905	567.367788	907.293154	570.840046	9.052249	3.472257	9.695349
1.000000	898.826099	566.921434	906.428460	570.639634	7.602360	3.718200	8.462913
1.040000	901.066339	567.005236	906.315434	570.517552	5.249096	3.512316	6.315803
1.080000	902.372752	566.470686	906.814981	570.973972	4.442229	4.503285	6.325581
1.120000	902.855853	567.347558	907.444834	571.777222	4.588981	4.429664	6.378140
1.160000	902.279399	567.908165	907.287646	571.713872	5.008247	3.805707	6.290146
1.200000	900.940613	567.316949	907.954181	572.068218	7.013568	4.751269	8.471405
1.240000	904.804185	569.947251	908.825889	572.834564	4.021704	2.887313	4.950826
1.280000	908.458359	572.561091	909.565780	573.587779	1.107421	1.026688	1.510122
1.320000	910.568470	575.776236	910.318564	574.445891	-0.249906	-1.330345	1.353614
1.360000	907.948520	577.754073	909.754841	574.748035	1.806321	-3.006038	3.507001
1.400000	906.163493	575.755935	909.400445	575.151533	3.236952	-0.604402	3.292895
1.440000	905.286707	576.159626	909.640164	575.522692	4.353458	-0.636934	4.399804
1.480000	907.692109	581.869821	910.320800	576.204321	2.628691	-5.665500	6.245631
1.520000	907.344540	578.599509	910.913437	577.104232	3.568897	-1.495277	3.869480
1.560000	904.180186	571.009264	909.904239	576.700635	5.724053	5.691370	8.071957
1.600000	903.107479	570.575578	908.971678	576.233674	5.864199	5.658096	8.148796
