etime(s)	ex	ey	tx	ty	dx	dy	ds
0.000000	975.218187	493.524057	976.565077	491.172349	1.346890	-2.351708	2.710100
0.040000	975.540965	493.999019	975.709588	491.074466	0.168623	-2.924553	2.929410
0.080000	975.676469	491.680426	975.403551	491.015607	-0.272918	-0.664819	0.718657
0.120000	975.744803	493.306619	976.211418	490.960308	0.466615	-2.346310	2.392259
0.160000	976.069834	494.210414	977.387113	490.932252	1.317279	-3.278162	3.532927
0.200000	978.086424	494.948759	977.588517	491.021824	-0.497907	-3.926935	3.958375
0.240000	980.226265	494.500067	977.418580	491.065326	-2.807685	-3.434741	4.436276
0.280000	980.087346	494.873407	977.292113	491.041728	-2.795233	-3.831679	4.742899
0.320000	979.207703	496.225911	977.320464	490.668277	-1.887239	-5.557635	5.869325
0.360000	979.273914	497.632998	977.375218	490.343857	-1.898697	-7.289141	7.532372
0.400000	980.004988	497.462164	977.467053	490.294029	-2.537935	-7.168135	7.604162
0.440000	980.931806	497.131444	977.914372	490.258558	-3.017434	-6.872885	7.506095
0.480000	981.908311	495.644854	978.447132	490.178919	-3.461179	-5.465935	6.469638
0.520000	981.426237	494.295464	978.505481	490.007653	-2.920757	-4.287812	5.188078
0.560000	979.132491	494.074242	977.598030	490.060178	-1.534461	-4.014064	4.297358
0.600000	977.628804	493.941182	975.751191	490.696383	-1.877613	-3.244798	3.748886
0.640000	976.465464	495.268255	973.448894	492.474272	-3.016570	-2.793983	4.111695
0.680000	974.957587	497.462582	970.881779	495.506895	-4.075809	-1.955686	4.520722
0.720000	972.074808	501.816814	967.850201	498.749601	-4.224606	-3.067213	5.220641
0.760000	969.487865	505.069150	965.033005	500.887450	-4.454860	-4.181700	6.110024
0.800000	968.271311	507.438753	962.923070	501.720986	-5.348241	-5.717766	7.829210
0.840000	967.097105	507.434383	961.128019	501.920639	-5.969085	-5.513744	8.125968
0.880000	965.041658	507.278153	959.265315	502.456034	-5.776342	-4.822118	7.524557
0.920000	963.284680	507.185536	956.574812	504.266957	-6.709868	-2.918578	7.317133
0.960000	958.321329	508.345035	952.625444	507.329459	-5.695884	-1.015576	5.785715
1.000000	953.734250	512.383914	947.790644	511.011633	-5.943606	-1.372281	6.099968
1.040000	950.274243	516.169425	942.125030	512.977403	-8.149213	-3.192022	8.752067
1.080000	945.439265	518.264868	936.192812	513.095999	-9.246453	-5.168870	10.593116
1.120000	940.415174	519.836642	930.927043	515.236655	-9.488131	-4.599987	10.544406
1.160000	936.791328	526.900108	926.214654	521.999167	-10.576673	-4.900940	11.656982
1.200000	934.289400	533.436763	921.907746	529.434818	-12.381654	-4.001945	13.012337
