etime(s)	ex	ey	tx	ty	dx	dy	ds
0.000000	880.989045	717.611787	886.912762	691.417902	5.923716	-26.193885	26.855353
0.040000	885.563091	702.461202	885.784984	691.261977	0.221894	-11.199225	11.201423
0.080000	878.942890	702.393956	885.529436	690.987395	6.586546	-11.406560	13.171644
0.120000	879.326201	701.540594	885.427203	690.328834	6.101002	-11.211760	12.764239
0.160000	879.587290	700.597971	886.181396	689.298004	6.594105	-11.299967	13.083252
0.200000	880.969957	700.066418	887.234927	688.687300	6.264970	-11.379117	12.989771
0.240000	882.198107	697.478439	888.153728	688.309873	5.955621	-9.168566	10.933070
0.280000	884.170257	694.133480	889.203444	687.356651	5.033186	-6.776829	8.441468
0.320000	883.852075	690.930981	890.084078	686.838964	6.232003	-4.092017	7.455365
0.360000	879.441185	690.914770	890.469404	686.848449	11.028219	-4.066321	11.754003
0.400000	877.457476	689.752786	890.811648	687.167123	13.354172	-2.585664	13.602190
0.440000	881.398754	688.555184	891.424874	687.774475	10.026120	-0.780710	10.056470
0.480000	885.292980	687.981039	891.550990	687.602144	6.258010	-0.378895	6.269469
0.520000	886.317483	687.782860	891.449786	687.492388	5.132303	-0.290472	5.140516
0.560000	886.057035	689.137174	890.713301	686.739257	4.656266	-2.397917	5.237444
0.600000	886.829788	689.339178	890.201324	685.327213	3.371536	-4.011965	5.240526
0.640000	886.932612	688.502028	889.885653	683.997163	2.953041	-4.504864	5.386488
0.680000	887.803103	688.128896	889.287158	683.134951	1.484055	-4.993945	5.209789
0.720000	888.058994	687.698283	889.051787	683.315481	0.992793	-4.382802	4.493839
0.760000	888.706385	688.240428	889.324742	684.824732	0.618357	-3.415696	3.471217
0.800000	887.312611	691.207783	889.335060	686.818571	2.022449	-4.389212	4.832751
0.840000	886.482178	691.894045	887.319255	687.420613	0.837077	-4.473432	4.551076
0.880000	885.715628	691.441502	883.822212	686.996213	-1.893416	-4.445289	4.831731
0.920000	883.175977	690.650218	879.949443	685.052255	-3.226534	-5.597963	6.461247
0.960000	878.064945	689.747311	877.259493	683.084864	-0.805452	-6.662447	6.710958
1.000000	875.463388	690.766850	876.478675	683.337767	1.015287	-7.429083	7.498139
1.040000	876.685925	692.264638	878.048780	685.921518	1.362855	-6.343119	6.487876
1.080000	878.819420	694.425215	881.645387	689.654975	2.825967	-4.770240	5.544482
