etime(s)	ex	ey	tx	ty	dx	dy	ds
0.000000	912.000588	691.508033	914.162705	681.549169	2.162117	-9.958864	10.190865
0.040000	907.218911	690.804298	907.910656	678.965717	0.691746	-11.838581	11.858774
0.080000	902.826094	688.211440	900.648522	675.320039	-2.177572	-12.891401	13.074021
0.120000	898.261031	682.843345	894.266823	671.155596	-3.994209	-11.687749	12.351404
0.160000	893.274074	680.011694	888.494503	667.244093	-4.779571	-12.767601	13.632899
0.200000	890.119120	677.344843	883.045576	664.359666	-7.073544	-12.985177	14.786813
0.240000	883.982136	673.962799	877.572641	660.920758	-6.409495	-13.042041	14.531912
0.280000	878.437076	669.340591	873.636953	656.136725	-4.800123	-13.203866	14.049315
0.320000	873.932043	660.746492	872.590184	651.422693	-1.341860	-9.323799	9.419863
0.360000	873.875046	659.739310	874.550975	648.235420	0.675930	-11.503890	11.523730
0.400000	873.534066	660.068685	873.276402	648.404048	-0.257665	-11.664636	11.667482
0.440000	870.970437	663.159228	865.266734	650.946967	-5.703704	-12.212261	13.478559
0.480000	865.981590	660.500809	858.221441	653.251552	-7.760149	-7.249257	10.619399
0.520000	859.390455	659.106333	853.480386	654.840978	-5.910069	-4.265355	7.288495
0.560000	852.865743	660.652725	848.888623	654.647531	-3.977120	-6.005195	7.202767
0.600000	845.882212	664.491701	844.827182	652.587144	-1.055030	-11.904557	11.951217
0.640000	840.971424	664.490925	840.284581	651.038854	-0.686843	-13.452071	13.469594
0.680000	838.397384	661.974291	836.336019	651.436890	-2.061365	-10.537400	10.737133
0.720000	834.729192	660.042613	832.976766	652.011028	-1.752426	-8.031585	8.220545
0.760000	830.859020	659.966792	828.703968	653.554297	-2.155052	-6.412495	6.764935
0.800000	813.526446	660.032273	825.018927	656.276504	11.492481	-3.755769	12.090613
0.840000	814.634767	664.353866	822.010892	657.235441	7.376125	-7.118425	10.250815
0.880000	803.571173	667.296630	818.377473	657.859496	14.806300	-9.437134	17.558075
0.920000	790.705801	661.100172	814.066957	658.060038	23.361155	-3.040134	23.558141
0.960000	797.146767	666.573152	809.282625	655.882953	12.135858	-10.690200	16.172799
1.000000	801.181863	665.153450	804.324539	652.643579	3.142676	-12.509871	12.898577
1.040000	809.674817	666.588751	800.244893	651.558012	-9.429924	-15.030739	17.743917
1.080000	808.017198	664.382670	800.461482	649.645058	-7.555716	-14.737612	16.561584
1.120000	809.314306	655.888265	802.165615	642.810372	-7.148692	-13.077892	14.904196
1.160000	802.232093	653.820363	803.659940	635.668334	1.427846	-18.152029	18.208100
1.200000	805.473383	654.771713	808.964851	632.080827	3.491468	-22.690886	22.957932
1.240000	809.392426	649.722164	814.906503	630.596244	5.514077	-19.125920	19.904921
1.280000	810.078914	643.202316	820.617013	629.959845	10.538099	-13.242471	16.923787
1.320000	815.351467	643.213593	826.197715	629.653330	10.846249	-13.560262	17.364384
1.360000	821.621307	634.418027	830.645922	630.657836	9.024615	-3.760192	9.776642
1.400000	822.972707	642.067485	833.419460	632.839965	10.446753	-9.227520	13.938500
1.440000	820.802182	658.176201	833.134644	633.779011	12.332462	-24.397190	27.337017
1.480000	824.893926	644.970343	829.392852	633.215060	4.498926	-11.755283	12.586779
1.520000	824.283277	634.634794	824.311039	632.656971	0.027762	-1.977823	1.978018
1.560000	816.742096	640.301834	819.148523	632.274341	2.406427	-8.027493	8.380426
1.600000	812.961268	648.262687	812.739753	632.187828	-0.221515	-16.074859	16.076385
